"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"25-0083-P0001","RossCOWYClimateEngineSubaward","Sarah Michelle Collins","Submitted to Sponsor","Colorado State University","National Science Foundation","Zoology & Physiology","1/1/2025","12/31/2025","New",NA,"25-0083","Zoology & Physiology","Institutions of Higher Education",NA,"8/23/2024 03:17:46 pm","48312","9/3/2024","Towards operational remote sensing of water availability, both quantity and quality, for Colorado and Wyoming","Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Sarah Michelle Collins > John Ruess","8/27/2024 02:47:42 pm > 8/23/2024 03:17:45 pm > 8/27/2024 01:42:14 pm > 8/27/2024 01:45:18 pm > 8/28/2024 12:40:48 pm","submitted",NA,NA,NA,"8/27/2024 02:20:16 pm > 8/27/2024 01:42:25 pm > 8/27/2024 01:45:18 pm > 8/27/2024 02:20:20 pm > 8/27/2024 02:20:12 pm > 8/27/2024 02:47:42 pm","Approved > Certified",NA,"33434","14878","48312","A Subrecipient","No",2024-08-28 12:40:48,NA,"FY2025","250083A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"07/28/2023","07/28/2023"
"23-1826-P0001","Ruth L. Kirschstein National Research Service Award (NRSA) Individual Predoctoral Fellowship to Promote Diversity in Health-Related Research","Naomi Vista Boldon","Not Funded","National Institutes of Health/Department of Health and Human Services",NA,"Electrical Engineering & Computer Science","12/17/2023","12/16/2026","Resubmission",NA,"23-1826","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"6/26/2023 02:37:49 pm","130316","4/7/2023","Discovering the role of maternal choline supplementation in epigenomic programming and behavioral outcomes","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Bryce Howard > Thomas Abraham Lentner","6/26/2023 02:37:49 pm > 3/27/2024 02:15:29 pm > 3/27/2024 02:15:42 pm","Submitted 04/07/2023 > Not recommended for funding.  See notes",NA,"Not Funded",NA,NA,"Not Completed",NA,"120662.96","9653.04","130316",NA,"Yes",2024-03-27 14:15:29,NA,"FY2024","231826A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"07/07/2023","07/07/2023"
"24-0940-P0001","Rx for Change: Tobacco Cessation Training in U.S. Schools of Pharmacy","Nervana Elkhadragy","Not Funded","Purdue University","National Institutes of Health/Department of Health and Human Services","School of Pharmacy","4/1/2025","3/31/2030","New",NA,"24-0940","School of Pharmacy","Institutions of Higher Education",NA,"4/15/2024 07:18:49 am","72711","5/10/2024","Rx for Change: Tobacco Cessation Training in U.S. Schools of Pharmacy","Form was edited in 'Under Review' status > Certified > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Status was changed from: Approved to In Development > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Proposal Created > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Nervana Elkhadragy > John Ruess > Thomas Abraham Lentner > Marissa K. Gannon","5/9/2024 05:22:37 am > 5/10/2024 12:06:47 pm > 5/9/2024 05:23:10 am > 5/8/2024 10:16:01 am > 5/9/2024 05:22:02 am > 5/10/2024 09:47:46 am > 5/6/2024 05:08:41 pm > 5/10/2024 09:56:21 am > 4/15/2024 06:44:53 pm > 5/10/2024 05:27:07 pm > 5/6/2024 04:40:08 pm > 5/6/2024 11:54:04 am > 2/6/2025 02:23:52 pm > 4/15/2024 07:18:48 am > 5/8/2024 10:04:10 am > 5/8/2024 01:10:50 pm > 6/10/2024 01:54:30 pm","Sponsor needed major revisions, working on edits then rerouting > Approving on behalf of FJR (in consultation with CR) due to travel.  Subrecipient documents sent at 5:25pm > edits > Not Funded > submitted",NA,"Not Funded","I approve > please prioritize reviews, proposal is by at EOD","5/10/2024 12:06:47 pm > 5/10/2024 12:09:39 pm > 5/8/2024 10:16:35 am > 5/8/2024 04:41:20 pm > 5/8/2024 01:10:50 pm > 5/8/2024 04:28:38 pm > 5/9/2024 05:23:10 am > 5/10/2024 10:20:16 am > 5/10/2024 04:54:52 pm","Not Completed > Certified > Approved",NA,"67325","5386","72711","A Subrecipient","No",2024-06-10 13:54:30,NA,"FY2024","240940A0001",NA,NA,"College of Health Sciences",0,1,0,0,1,"01/22/2024",NA
"24-0374-P0001","SABER - Site-Air-Basin Emissions Reconciliation","Shane Michael Murphy","Funded","Colorado State University","U.S. Department of Energy","Atmospheric Science","8/1/2023","7/31/2026","New",NA,"24-0374","Atmospheric Science","U.S. Federal Government",NA,"9/1/2023 01:07:48 pm","750000","10/18/2022","SABER - Site-Air-Basin Emissions Reconciliation","Certified > Status was changed from: In Development to Under Review > Status was changed from: Closed to In Development > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: Approved to Closed. Resolution set to: Not Funded > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Submitted to Sponsor","Shane Michael Murphy > John Ruess > Tashina Lemons > Farrell Jean Rapp","9/21/2023 03:43:52 pm > 9/5/2023 10:26:26 am > 9/22/2023 12:59:46 pm > 9/18/2023 08:07:34 am > 9/22/2023 11:54:34 am > 9/1/2023 01:07:48 pm > 9/22/2023 12:59:34 pm > 10/4/2023 11:40:31 am > 9/22/2023 01:01:52 pm","Adminstrative Edit > Administrative Edit > Funded. > Legacy",NA,NA,"Please correct sponsor information.  And ensure subaward is in queue to be reviewed.","9/21/2023 05:21:29 pm > 9/22/2023 11:54:35 am > 9/21/2023 05:24:41 pm > 9/21/2023 03:43:52 pm > 9/22/2023 01:00:39 pm > 9/19/2023 03:58:58 pm","Approved > Not Yet Active > Certified > Cancelled","150000","575275","174716","750000","A Subrecipient","No",2023-09-22 13:01:52,"2023-10-04 11:40:31","FY2024","240374A0001",462522,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,1,"08/17/2023","09/22/2023"
"23-1841-P0001","SAI: Strengthening energy infrastructure resilience and equity during extreme cold weather events","Charles F. Mason","Funded","Pennsylvania State University","National Science Foundation","Economics","9/15/2023","8/31/2026","New",NA,"23-1841","Economics","Institutions of Higher Education",NA,"6/26/2023 04:17:10 pm","49999.99","3/10/2023","SAI: Strengthening energy infrastructure resilience and equity during extreme cold weather events","Certified > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Status was changed from: In Development to Closed. Resolution set to: Withdrawn > Status was changed from: Under Consideration to Funded > Status was changed from: Closed to In Development > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Proposal Created","Charles F. Mason > Farrell Jean Rapp > Tashina Lemons > Bryce Howard","11/30/2023 04:54:07 pm > 12/1/2023 02:10:08 pm > 11/30/2023 04:43:33 pm > 11/21/2023 09:11:47 am > 1/18/2024 10:12:34 am > 11/21/2023 09:14:10 am > 12/20/2023 12:22:57 pm > 12/20/2023 12:23:14 pm > 6/26/2023 04:17:10 pm","Duplicate Entry > Funded. > Proposal still active. Updates needed. > Previously submitted to sponsor, routed in lieu of Greensheet > Award currently in review and negotiation",NA,NA,NA,"11/30/2023 04:43:43 pm > 11/18/2023 10:10:17 am > 11/30/2023 04:54:07 pm > 12/1/2023 01:16:19 pm > 11/30/2023 07:46:53 pm > 12/1/2023 02:10:09 pm","Approved > Cancelled > Certified",NA,"37131.42","12686.57","49999.99","A Subrecipient","No",2023-12-20 12:22:57,"2024-01-18 10:12:34","FY2024","231841A0001",50000,"NONE","College of Business",1,0,0,0,1,"12/20/2023",NA
"23-1419-P0002","SAMHSA 2022 Arkansas State Opioid Response Grant","Andria Blackwood","Funded","Arkansas Department of Human Services","Substance Abuse & Mental Health Services Administration/Department of Health and Human Services","Wyoming Survey & Analysis Center","5/1/2024","9/30/2024","Supplement",NA,"23-1419","Wyoming Survey & Analysis Center","Other State and Local Governmental Entities",NA,"4/4/2024 10:43:10 am","80938","4/8/2024","SAMHSA 2022 Arkansas State Opioid Response Grant FY24","Status was changed from: Under Review to Approved > Certified > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Under Review > Proposal Created","Farrell Jean Rapp > Andria Blackwood > Tashina Lemons > Thao Pham McVay","4/5/2024 11:24:36 am > 4/4/2024 11:21:54 am > 4/8/2024 12:53:53 pm > 4/4/2024 11:10:59 am > 4/18/2024 12:41:24 pm > 4/4/2024 11:19:00 am > 4/4/2024 10:43:09 am","amendment provided by sponsor > Funded.",NA,NA,NA,"4/5/2024 11:24:36 am > 4/4/2024 01:47:38 pm > 4/4/2024 11:21:54 am > 4/5/2024 10:44:22 am > 4/4/2024 11:20:29 am","Approved > Certified",NA,"73580","7358","80938","A Subrecipient","No",2024-04-08 12:53:53,"2024-04-18 12:41:24","FY2024","231419A0002",NA,NA,"Research",1,0,0,0,1,"04/08/2024",NA
"23-1435-P0002","SARE State Implementation Grant 2020","Bridger Feuz","Funded","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","UW Extension","1/1/2023","12/31/2025","Renewal",NA,"23-1435","UW Extension","Institutions of Higher Education",NA,"1/10/2024 11:19:25 am","90000","1/19/2024","2023 WY SARE PDP State Implementation Program","Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Unassigned from SP Proposal Administrator: Tashina Lemons > Status was changed from: Under Consideration to Funded > Certified","Inna Willis > Tashina Lemons > Farrell Jean Rapp > Bridger Feuz","6/20/2024 12:11:20 pm > 1/10/2024 11:19:24 am > 1/11/2024 08:39:51 am > 6/20/2024 12:11:10 pm > 2/7/2024 03:57:45 pm > 1/12/2024 02:21:46 pm","Funded.",NA,NA,"Please add Beki Hovet to Wyocloud access","1/12/2024 03:58:22 pm > 1/12/2024 02:35:30 pm > 1/12/2024 12:39:18 pm > 1/12/2024 02:21:46 pm > 1/12/2024 02:35:23 pm","Approved > Certified",NA,"81818","8182","90000","A Subrecipient","No",NA,"2024-02-07 15:57:45",NA,"231435A0002",90000,"10TDC","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"11/29/2023",NA
"24-0769-P0001","SBA - Growth Accelerator Fund Competition (GAFC)","Derrek Alton Jerred","Funded","Small Business Administration",NA,"IMPACT 307","1/16/2024","5/31/2026","New",NA,"24-0769","IMPACT 307","U.S. Federal Government",NA,"1/29/2024 04:41:03 pm","49580","2/16/2024","SBA Growth Accelerator Fund Competition (GAFC) - 2024","Status was changed from: Under Consideration to Funded > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Under Consideration > Certified > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: Under Review to Approved > Proposal Created","Farrell Jean Rapp > Tashina Lemons > Derrek Alton Jerred > Arundeep Pradhan > Bryce William Howard > Joshua S. Keefe","6/27/2024 08:51:28 am > 2/21/2024 06:14:35 pm > 2/14/2024 03:59:19 pm > 4/25/2024 10:31:39 am > 2/15/2024 10:30:26 am > 2/14/2024 04:08:11 pm > 1/30/2024 01:02:19 pm > 2/21/2024 02:06:19 pm > 1/29/2024 04:41:02 pm","Funded. > Proposal has been submitted to sponsor > PI provided notice they are recommended for funding 4/25/2024",NA,NA,NA,"2/21/2024 11:35:04 am > 2/14/2024 04:08:11 pm > 2/21/2024 02:06:20 pm > 2/21/2024 11:33:14 am > 2/21/2024 11:33:19 am > 2/15/2024 10:30:26 am > 2/15/2024 10:49:35 am > 2/14/2024 03:59:30 pm","Approved > Certified",NA,"37000","12580","49580",NA,"Yes",2024-02-21 18:14:35,"2024-06-27 08:51:28","FY2024","240769A0001",50000,"34MTDC1","Economic Development",1,0,0,0,1,"08/03/2023","08/03/2023"
"24-1094-P0001","SBA - Growth Accelerator Fund Competition (GAFC) Phase II","Joshua S. Keefe","Submitted to Sponsor","Small Business Administration",NA,"IMPACT 307","10/1/2024","9/30/2026","New",NA,"24-1094","IMPACT 307","U.S. Federal Government",NA,"6/20/2024 11:25:04 pm","149182.28","7/3/2024","Small Business Administration (SBA) Growth Accelerator Fund Competition (GAFC) - PHASE II","Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Certified > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Submitted to Sponsor > Proposal Created > Status was changed from: Under Review to In Development","Inna Willis > Joshua S. Keefe > Thomas Abraham Lentner > Arundeep Pradhan","6/25/2024 12:49:40 pm > 6/28/2024 07:14:02 pm > 6/28/2024 02:53:58 pm > 6/28/2024 02:31:41 pm > 7/10/2024 04:08:05 pm > 6/20/2024 11:25:04 pm > 6/28/2024 02:53:23 pm > 7/3/2024 08:10:30 am","Submitted by PI 07/03/2024 > updating form fields",NA,NA,"Passes pre-award checks.  No IDC per sponsor policy on this opportunity.  See notes and attachments.","7/3/2024 08:10:30 am > 6/28/2024 07:14:02 pm > 6/28/2024 02:54:27 pm > 7/3/2024 09:15:41 am","Certified > Not Completed > Approved",NA,"149182.28","0","149182.28",NA,"Yes",2024-07-10 16:08:05,NA,"FY2025","241094A0001",NA,NA,"Economic Development",0,0,1,0,1,"11/09/2023","07/10/2024"
"24-1033-P0001","SBA Federal and State Technology (FAST) 2024","Jill K Kline","Funded","Small Business Administration",NA,"Small Business Development Center","9/30/2024","9/29/2025","New",NA,"24-1033","Small Business Development Center","U.S. Federal Government",NA,"5/21/2024 11:55:33 am","200000","6/18/2024","Federal and State Technology (FAST) Partnership Program FY 2024","Certified > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Proposal Created","Jill K Kline > Farrell Jean Rapp > Thomas Abraham Lentner","6/13/2024 03:20:05 pm > 6/11/2024 04:00:29 pm > 9/17/2024 03:15:47 pm > 6/13/2024 02:57:43 pm > 6/13/2024 04:13:38 pm > 6/13/2024 02:56:47 pm > 6/18/2024 02:45:38 pm > 6/3/2024 11:56:52 am > 5/21/2024 11:55:32 am","Agreement Under Review. > updating form fields\n > Submitted on 06/18/2024. Tracking number GRANT14190165",NA,NA,"Passes preaward checks.  Match required in 1:2 ratio to federal dollars.  Source is third party cash match.","6/13/2024 04:13:39 pm > 6/13/2024 04:07:21 pm > 6/13/2024 03:20:49 pm > 6/13/2024 03:20:56 pm > 6/13/2024 03:20:05 pm > 6/13/2024 02:58:21 pm","Approved > Certified","1e+05","223881","50746","300000",NA,"Yes",2024-06-18 14:45:38,"2024-09-17 15:15:47","FY2024","241033A0001",2e+05,"34MTDC1","Economic Development",1,0,0,0,1,"06/06/2023","06/06/2023"
"24-0989-P0001","SBA PRIME 2024","Jill K Kline","Submitted to Sponsor","Small Business Administration",NA,"Small Business Development Center","9/30/2024","9/29/2025","New",NA,"24-0989","Small Business Development Center","U.S. Federal Government",NA,"4/29/2024 10:22:25 pm","103756","4/30/2024","Wyoming SBDC - SBA PRIME 2024","Form was edited in 'Under Review' status > Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Under Review to Approved > Certified > Status was changed from: Under Review to In Development > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Jill K Kline > Thomas Abraham Lentner","4/30/2024 01:43:18 pm > 4/29/2024 10:45:22 pm > 4/29/2024 10:22:24 pm > 4/30/2024 01:41:07 pm > 4/30/2024 01:44:53 pm > 4/30/2024 11:45:52 am > 4/30/2024 12:09:13 pm > 4/30/2024 10:53:29 am > 4/30/2024 02:53:46 pm","Updating admin unit and details during review > Submitted on 04/30/2024 at 2:50pm",NA,NA,"Includes cost share of 50% of federal (33% of total). Source is departmental returned indirect and WBC (state) grant funds. > There is no one listed for WYOCLOUD Access. - Should be Andi Kelley","4/30/2024 01:44:53 pm > 4/30/2024 12:09:13 pm > 4/30/2024 11:47:45 am > 4/30/2024 12:34:51 pm > 4/30/2024 12:35:07 pm > 4/30/2024 12:35:01 pm > 4/30/2024 12:35:41 pm","Approved > Certified","51878","77430","26326","155634",NA,"Yes",2024-04-30 14:53:46,NA,"FY2024","240989A0001",NA,NA,"Economic Development",0,0,1,0,1,"06/06/2023","06/06/2023"
"25-0010-P0001","SBDC SBA 2025+","Jill K Kline","Funded","Small Business Administration",NA,"Small Business Development Center","1/1/2025","12/31/2028","New",NA,"25-0010","Small Business Development Center","U.S. Federal Government",NA,"7/10/2024 09:11:03 am","126208.17","8/19/2024","Wyoming SBDC 2025 Multi-year opportunity","Status was changed from: Submitted to Sponsor to Funded > Assigned to SP Proposal Administrator: Kayleigh Ann Edgar > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Proposal Created > Status was changed from: Under Review to In Development > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved","Farrell Jean Rapp > Thomas Abraham Lentner > Kayleigh Ann Edgar > Inna Willis > Jill K Kline","12/17/2024 10:47:50 am > 8/13/2024 07:47:19 am > 8/20/2024 03:36:42 pm > 8/1/2024 01:31:05 pm > 7/10/2024 09:11:02 am > 8/14/2024 04:16:05 pm > 8/14/2024 04:34:57 pm > 8/16/2024 01:56:07 pm > 8/4/2024 07:52:18 pm > 8/20/2024 10:17:04 am","Funded. > 8/20/24 Submitted to sponsor via grant solutions > updating fields",NA,NA,"Passes pre-award checks.  IDC capped at 20%","8/19/2024 09:44:26 am > 8/16/2024 01:56:07 pm > 8/16/2024 01:47:37 pm > 8/19/2024 09:44:21 am > 8/20/2024 10:17:04 am > 8/20/2024 10:15:27 am","Approved > Certified","777777","658707.5","11906950","1555554",NA,"Yes",2024-08-20 15:36:42,"2024-12-17 10:47:50","FY2025","250010A0001",42780,"20MTDC1","Economic Development",1,0,0,0,1,"06/06/2023","06/06/2023"
"24-0564-P0001","SBIR/STTR: Nanowires for high current field emission","Wenyong Wang","Submitted to Sponsor","ADD NEW","National Science Foundation","Physics & Astronomy","6/1/2024","5/31/2025","New",NA,"24-0564","Physics & Astronomy","Industry",NA,"11/13/2023 02:47:38 pm","63743","12/10/2023","Low work function LaB6 nanowire for high current field emission electron source","Status was changed from: Under Review to Approved > Certified > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: Under Review to In Development","Farrell Jean Rapp > Wenyong Wang > Tashina Lemons > Thomas Abraham Lentner > John Ruess","12/5/2023 01:54:34 pm > 12/5/2023 11:51:20 am > 12/4/2023 09:37:47 am > 11/29/2023 05:02:34 pm > 11/30/2023 06:01:56 pm > 12/5/2023 11:08:28 am > 12/6/2023 01:27:31 pm > 11/13/2023 02:47:38 pm > 12/5/2023 11:06:46 am > 11/30/2023 03:38:51 pm","UW PI submitted to primary applicant on 12/6/23 at 12:30pm via email (in attachments). > admin unit, updates needed. > fixing errors\n",NA,NA,"Per AL; provided full review.","12/5/2023 11:20:09 am > 12/5/2023 01:20:25 pm > 12/5/2023 11:51:20 am > 12/5/2023 01:54:35 pm > 12/5/2023 12:03:20 pm","Approved > Certified",NA,"47293","16451","63743","A Subrecipient","No",2023-12-06 13:27:31,NA,"FY2024","240564A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"12/06/2023",NA
"24-0463-P0002","SBIR: Boosting Industrial Biofermentation with Microbial Stem Cells","Grant Robert Bowman","Submitted to Sponsor","ASIMICA, Inc.","National Science Foundation","Molecular Biology","11/24/2025","11/25/2027","New",NA,"24-0463","Molecular Biology","Industry",NA,"2/27/2025 12:21:19 pm","386216","3/5/2025","Microbial Stem Cell Technology (MiST) for High-Yield Terpene Biomanufacturing","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved > Certified > Status was changed from: Under Review to In Development > Form was edited in 'Under Review' status","Kayleigh Ann Edgar > Thomas Abraham Lentner > Farrell Jean Rapp > Grant Robert Bowman","2/27/2025 12:21:18 pm > 2/27/2025 05:06:11 pm > 3/5/2025 03:54:52 pm > 2/28/2025 10:26:41 am > 2/27/2025 04:55:28 pm > 2/28/2025 09:29:48 am > 2/27/2025 05:04:08 pm > 2/28/2025 10:25:47 am","Subaward materials submitted to prime applicant > Updating sponsors\n",NA,NA,"Passes pre-award checks.  NSF SBBR subaward","2/27/2025 05:06:32 pm > 2/28/2025 09:36:04 am > 2/28/2025 09:29:48 am > 2/28/2025 10:26:41 am > 2/28/2025 09:36:08 am","Approved > Certified",NA,"282717","103599","386216","A Subrecipient","No",2025-03-05 15:54:52,NA,"FY2025","240463A0002",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"12/19/2023","12/19/2023"
"23-1799-P0001","SCH: Articulating a genome-based collective representation of complex biological dynamics and assessing the causal structure of disease processes",NA,"Not Funded","National Science Foundation",NA,NA,NA,NA,NA,NA,"23-1799",NA,NA,NA,"6/26/2023 09:16:29 am",NA,NA,"SCH: Articulating a genome-based collective representation of complex biological dynamics and assessing the causal structure of disease processes","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Not Funded","Tashina Lemons > John Ruess","6/26/2023 09:16:29 am > 3/28/2024 11:48:48 am","not funded, see declination",NA,"Not Funded",NA,NA,"Not Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,"231799A0001",NA,NA,NA,0,1,0,0,1,NA,NA
"25-0206-P0001","SEA International Program Host Site Agreement | Science Initiative Roadshow","Mark E. Lyford","Funded","ADD NEW",NA,"Science Institute","5/10/2024","9/30/2025","New",NA,"25-0206","Botany","Non-Profit Organizations",NA,"10/8/2024 11:09:55 am","0","5/9/2024","SAE International Program Host Site Agreement 2023-2024","Certified > Status was changed from: Under Review to Approved > Status was changed from: Submitted to Sponsor to Under Consideration > Form was edited in 'Under Review' status > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: Under Consideration to Funded","Karagh K. Brummond > Farrell Jean Rapp > Mark E. Lyford > Thomas Abraham Lentner > Tabatha Patricia Spencer","10/16/2024 04:28:26 pm > 11/5/2024 03:49:53 pm > 10/16/2024 03:04:35 pm > 11/13/2024 08:27:45 am > 11/4/2024 12:34:45 pm > 10/9/2024 12:09:44 pm > 11/13/2024 08:27:31 am > 10/8/2024 11:09:54 am > 11/19/2024 05:12:32 pm","Contract attached. > Post-submission review\n > Funded. $0",NA,NA,"Discussed cost share concerns with PI. > Essentially non-cash agreement for mutual benefit of parties.  Non-cash cost share reporting required.  See notes and attachments.","10/17/2024 10:08:56 am > 10/16/2024 04:39:22 pm > 10/16/2024 03:04:35 pm > 10/17/2024 06:49:47 am > 10/16/2024 04:28:26 pm > 11/5/2024 03:49:53 pm > 10/16/2024 02:56:01 pm","Approved > Certified","2100","0","0","0",NA,"Yes",2024-11-13 08:27:31,"2024-11-19 17:12:32","FY2025","250206A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"11/13/2024",NA
"24-0126-P0002","SEI ITEST","Raya Hegeman-Davis","Submitted to Sponsor","ADD NEW","National Science Foundation","School of Computing","1/1/2025","12/31/2028","Resubmission",NA,"24-0126","School of Computing","Institutions of Higher Education",NA,"7/9/2024 09:03:40 am","404892.91","7/26/2024","Scaling, Expanding, and Iterating Innovations (SEI): Everyday AI for Rural Youth and Teachers (EdAI-R)","Proposal Created > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Certified > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Farrell Jean Rapp > Raya Hegeman-Davis","7/9/2024 09:03:40 am > 7/25/2024 12:51:19 pm > 7/25/2024 10:53:54 am > 7/25/2024 10:52:59 am > 7/22/2024 10:46:50 am > 7/25/2024 11:12:11 am > 7/26/2024 03:58:15 pm > 7/25/2024 10:52:38 am","updating form fields > Submitted to prime applicant on 07/26/2024 at 2:30pm",NA,NA,"Passes pre-award checks.  Much of the budget is allocated for participant support costs for teacher/trainees on project, which limits indirect cost recovery.  Faculty, program materials and employee travel all incur indirect on project.","7/25/2024 10:54:55 am > 7/25/2024 12:51:19 pm > 7/25/2024 11:41:30 am > 7/25/2024 11:12:11 am > 7/25/2024 11:57:29 am","Approved > Certified",NA,"348412.43","56480.48","404892.91","A Subrecipient","No",2024-07-26 15:58:15,NA,"FY2025","240126A0002",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"08/30/2023","02/26/2024"
"25-0156-P0001","SPS NPP","Ankit Saxena","Submitted to Sponsor","National Science Foundation",NA,"Mechanical Engineering","8/1/2025","7/31/2027","New",NA,"25-0156","Mechanical Engineering","U.S. Federal Government",NA,"9/18/2024 05:11:38 pm","199064","10/7/2024","Passive Sesimic protection for nuclear power plants using embedded particle dampers","Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Proposal Created > Status was changed from: Under Review to Approved","Thomas Abraham Lentner > Ankit Saxena > Farrell Jean Rapp","10/7/2024 02:10:27 pm > 10/2/2024 07:03:52 pm > 10/3/2024 01:31:33 pm > 10/3/2024 01:33:32 pm > 10/3/2024 01:35:34 pm > 9/18/2024 05:11:37 pm > 10/4/2024 08:11:43 am","Submitted on 10/7/2024 Proposal - 2501464 > Updating form fields\n",NA,NA,"Passes pre-award checks.  Ready for approval.  NSF ERI.  standard IDC.  Due to sponsor 10/9.  Can be submitted early.","10/3/2024 01:35:34 pm > 10/3/2024 05:14:43 pm > 10/3/2024 04:43:14 pm > 10/4/2024 08:11:43 am > 10/3/2024 01:34:15 pm","Certified > Approved",NA,"145517","53547","199064",NA,"Yes",2024-10-07 14:10:27,NA,"FY2025","250156A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"10/07/2024","10/07/2024"
