"PI Unit","College (Subdivision)","Proposal #","Project Title","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","25-0481-P0001","Ecology of Male Mule Deer: Movement, Growth, and Survival-WGBGLC 2025","Kevin L. Monteith",2025-01-22,NA,NA,"Not Funded Yet","2025","January"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-1179-P0001","The Absaroka Fence Initiative, Fencing Project","James A. Fried",2023-04-27,NA,NA,"Funded","2023","April"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-1567-P0001","Expanding and Institutionalizing Wyoming’s Natural Wealth Accounts: Mule Deer, Pronghorn and Elk","Jacob Paul Hochard",2023-06-06,"9/6/2023 11:16","11/14/2023 10:58","Funded","2023","June"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","25-0479-P0001","The Wyoming Range Mule Deer Project- WGBGLC 2025","Kevin L. Monteith",2025-01-22,NA,NA,"Not Funded Yet","2025","January"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-0141-P0001","Deer-Elk Ecology Project - Year 2","Kevin L. Monteith",2023-04-27,NA,NA,"Funded","2023","April"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-1179-P0002","The Absaroka Fence Initiative, Fencing Project","Tyler Joe Carroll",2024-04-30,"6/25/2024 12:16","8/13/2024 8:56","Funded","2024","April"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-0033-P0001","Deer-Elk Ecology Research Project (WYGF)","Kevin L. Monteith",2023-04-27,NA,NA,"Funded","2023","April"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","23-1858-P0001","Does the Petal Fall Far From the Rose","Kevin L. Monteith",2023-06-27,"7/26/2023 9:52","7/26/2023 9:52","Funded","2023","June"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","25-0369-P0001","NSF R2I2: Increasing the resilience of decision-making across scales in the arid Northern Great Plains","Corrine Noel Knapp",2024-12-11,"1/16/2025 13:58",NA,"Not Funded Yet","2024","December"
"Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","25-0477-P0001","Role of Chronic Carriers and Population Density in Bighorn Sheep","Kevin L. Monteith",2025-01-22,NA,NA,"Not Funded Yet","2025","January"
"History","College of Arts & Sciences","25-0055-P0001","Wyoming Humanities Council Spark Grant","Renee M. Laegreid",2024-08-07,"9/4/2024 12:58","9/17/2024 14:34","Funded","2024","August"
"IMPACT 307","Economic Development","23-1149-P0001","IMPACT 307 Fremont County Start-up Challenge WBC Sponsorship","Brian Daniel Young",2023-04-27,NA,NA,"Funded","2023","April"
"IMPACT 307","Economic Development","23-1292-P0001","IMPACT 307 - Sweetwater County Innovation Launchpad WBC Sponsorship","Monica Jo Patten",2023-04-27,NA,NA,"Funded","2023","April"
"IMPACT 307","Economic Development","24-0555-P0002","IMPACT 307 - Gillette SUC - WBC Award","Derrek Alton Jerred",2024-03-21,"3/27/2024 12:33","3/27/2024 12:34","Funded","2024","March"
"IMPACT 307","Economic Development","23-1506-P0001","IMPACT 307 - Start Up Challenges","Monica Jo Patten",2023-05-01,NA,"5/1/2023 15:10","Funded","2023","May"
"IMPACT 307","Economic Development","24-0555-P0001","IMPACT 307 - Gillette SUC - WBC Award","Derrek Alton Jerred",2023-11-08,"2/12/2024 12:22","3/21/2024 13:22","Funded","2023","November"
"IMPACT 307","Economic Development","23-1918-P0001","Build to Scale Program","Derrek Alton Jerred",2023-06-29,"8/3/2023 10:24",NA,"Not Funded Yet","2023","June"
"IMPACT 307","Economic Development","23-1383-P0001","IMPACT 307 Goshen County Start-Up Challenge WBC Sponsorship","Brian Daniel Young",2023-04-27,NA,NA,"Funded","2023","April"
"IMPACT 307","Economic Development","24-1094-P0001","SBA - Growth Accelerator Fund Competition (GAFC) Phase II","Joshua S. Keefe",2024-06-20,NA,NA,"Not Funded Yet","2024","June"
"IMPACT 307","Economic Development","24-0543-P0001","Statewide Startup Incubation Services","Joshua S. Keefe",2023-11-06,NA,NA,"Not Funded Yet","2023","November"
"INBRE Program","Research & Economic Development","23-1526-P0006","Wyoming IDeA Networks for Biomedical Research Excellence","Robert Scott Seville",2024-01-16,NA,"6/25/2024 9:02","Funded","2024","January"
"INBRE Program","Research & Economic Development","23-1526-P0005","Wyoming IDeA Networks for Biomedical Research Excellence","Robert Scott Seville",2023-09-11,NA,"6/26/2024 16:01","Funded","2023","September"
"Industry & Strategic Partnerships Office","Economic Development","24-0799-P0001","Intermountain-West Nuclear Energy Corridor EDA Tech Hub","Curtis Nathan Biggs",2024-02-06,NA,"5/1/2024 10:23","Funded","2024","February"
"Industry & Strategic Partnerships Office","Economic Development","24-0142-P0015","Wyoming Innovation Partnership (WIP) | Phase II & Phase III","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May"
"Industry & Strategic Partnerships Office","Economic Development","24-0972-P0001","EDA Tech Hubs Intermountain-West Nuclear Energy Corridor (INEC) Phase I Spring 2024","Curtis Nathan Biggs",2024-04-23,"9/13/2024 13:51","10/28/2024 8:22","Funded","2024","April"
"Kinesiology & Health","College of Health Sciences","25-0112-P0001","Outride Biking Grant","Kelly L. Simonton",2024-09-05,"9/25/2024 12:56","10/8/2024 7:25","Funded","2024","September"
"Kinesiology & Health","College of Health Sciences","24-0676-P0001","ASK (After School for Kids) GA Funding","Kelly L. Simonton",2024-01-08,NA,"2/22/2024 8:28","Funded","2024","January"
"Kinesiology & Health","College of Health Sciences","25-0432-P0001","Interactive US-PEPAP Dashboard Project","Ben D Kern",2025-01-14,NA,NA,"Not Funded Yet","2025","January"
"Kinesiology & Health","College of Health Sciences","23-1673-P0001","Developing novel tools for the study of right ventricular health and disease","Danielle R Bruns",2023-06-19,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","24-0277-P0001","Pre-Service teachers' perceptions of the spectrum of teaching styles and it's role in their professional readiness","Kelly L. Simonton",2023-08-18,NA,NA,"Funded","2023","August"
"Kinesiology & Health","College of Health Sciences","24-0143-P0001","Teachers who feel good, do good: Exploring marginalized teacher needs and conceptualizing professional development for psychological well-being","Kelly L. Simonton",2023-08-07,NA,NA,"Not Funded Yet","2023","August"
"Kinesiology & Health","College of Health Sciences","24-0292-P0001","Effects of reverse remodeling on pulmonary right heart failure","Danielle R Bruns",2023-08-18,NA,NA,"Funded","2023","August"
"Kinesiology & Health","College of Health Sciences","25-0423-P0001","Differences in Physiological and Psychological Markers of Stress Between Individuals with and without Anterior Cruciate Ligament Reconstruction","Francesca Genoese",2025-01-10,NA,NA,"Not Funded Yet","2025","January"
"Kinesiology & Health","College of Health Sciences","23-1920-P0001","SUS-UW International Kinesiology Center Nordic Ski FY24","Derek T. Smith",2023-06-29,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","23-1722-P0001","Myocardial protein citrullination in sex-specific cardiac aging","Danielle R Bruns",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","25-0367-P0001","Spencer Teacher Wellbeing","Kelly L. Simonton",2024-12-11,NA,NA,"Not Funded Yet","2024","December"
"Kinesiology & Health","College of Health Sciences","23-1777-P0001","RV dysfunction In diabetes","Danielle R Bruns",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","23-1129-P0001","Investigating the Relationship Between an Intelligent Trunk Exoskeleton and Its Wearer on a Basis for Improved Assistance and Rehabllltatlon","Boyi Dai",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-0145-P0001","pad2 in the aging female heart","Danielle R Bruns",2023-08-08,"10/4/2023 8:53",NA,"Not Funded Yet","2023","August"
"Kinesiology & Health","College of Health Sciences","24-0667-P0002","striated muscle hypoxia MIRA","Danielle R Bruns",2024-08-27,"10/2/2024 12:55",NA,"Not Funded Yet","2024","August"
"Kinesiology & Health","College of Health Sciences","23-1777-P0002","RV dysfunction In diabetes","Danielle R Bruns",2023-09-05,"9/26/2023 11:06",NA,"Not Funded Yet","2023","September"
"Kinesiology & Health","College of Health Sciences","24-0667-P0001","striated muscle hypoxia MIRA","Danielle R Bruns",2023-12-26,NA,NA,"Not Funded Yet","2023","December"
"Kinesiology & Health","College of Health Sciences","24-0653-P0001","Multisectoral Partnerships to Chronicle and Assess the Impact of Climate Change Disaster Events on Affordable Housing and Mental Health Outcomes in Underserved Communities","Lauren Rose Gilbert",2023-12-15,NA,"11/1/2024 15:34","Funded","2023","December"
"Kinesiology & Health","College of Health Sciences","24-0369-P0001","Exoskeleton and reactive balance control","Boyi Dai",2023-09-01,"9/28/2023 11:39",NA,"Not Funded Yet","2023","September"
"Kinesiology & Health","College of Health Sciences","24-0801-P0002","Exploring the fit of naloxone distribution and trainings in Black communities","Lauren Rose Gilbert",2024-10-03,"10/15/2024 13:58","1/23/2025 11:54","Funded","2024","October"
"Kinesiology & Health","College of Health Sciences","24-0001-P0001","Unified Physical Educatin Professional Development","Ben D Kern",2023-07-03,NA,"12/23/2024 12:42","Funded","2023","July"
"Kinesiology & Health","College of Health Sciences","24-0293-P0001","The Influence of Perception and Sweat Sodium Concentration on Water Consumption Volume During Exercise in the Heat Using Ad Libitum vs. Prescribed Fluid Intake Methods","Jimmy Glenn Bautista",2023-08-18,NA,NA,"Funded","2023","August"
"Kinesiology & Health","College of Health Sciences","23-1519-P0001","Lifelong Exercise to Protect a Broken Clock","Emily Elizabeth Schmitt",2023-05-12,"5/12/2023 16:03","6/14/2023 10:36","Funded","2023","May"
"Kinesiology & Health","College of Health Sciences","24-0837-P0001","BBenzyl Butyl Phthalate Effects on Norepinephrine Metabolism","Emily Elizabeth Schmitt",2024-02-20,NA,NA,"Not Funded Yet","2024","February"
"Kinesiology & Health","College of Health Sciences","23-0617-P0001","SUS-UW Center: Nordic Ski Educational Coaching Program","Derek T. Smith",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-0275-P0001","Standards-based assessment in physical education professional learning series","Ben D Kern",2023-08-18,NA,NA,"Funded","2023","August"
"Kinesiology & Health","College of Health Sciences","23-1724-P0001","A novel genetic model for the study of right ventricular health and disease","Danielle R Bruns",2023-06-22,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","23-1607-P0001","Slip Perturbation Training in Older Adults","Boyi Dai",2023-06-08,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","23-1057-P0001","AMPK activation as a novel anti-fibrotic therapy in right heart failure","Benjamin David McNair",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","25-0312-P0001","Use of Virtual Reality Exergaming to Improve Outcomes in Individuals with ACL Reconstruction","Francesca Genoese",2024-11-15,NA,NA,"Not Funded Yet","2024","November"
"Kinesiology & Health","College of Health Sciences","25-0405-P0001","The role of time-dependent exercise in influencing SCN function","Emily Elizabeth Schmitt",2025-01-06,NA,NA,"Not Funded Yet","2025","January"
"Kinesiology & Health","College of Health Sciences","25-0001-P0001","Comparative Effectiveness of In-Person vs. Technology-Delivered Community Health Worker SUD Programs","Jacob Warren",2024-07-02,NA,NA,"Not Funded Yet","2024","July"
"Kinesiology & Health","College of Health Sciences","23-0583-P0001","Professional Development for K-12 Educators, Physical Education","Ben D Kern",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-0390-P0001","Graduate Research Fellowship Program (GRFP)","Michael Torres",2023-09-11,NA,NA,"Not Funded Yet","2023","September"
"Kinesiology & Health","College of Health Sciences","25-0097-P0001","PAD2 and myocardial citrullination in the aging female heart","Danielle R Bruns",2024-08-29,"11/4/2024 14:46",NA,"Not Funded Yet","2024","August"
"Kinesiology & Health","College of Health Sciences","23-0679-P0001","Developing Real-time Interaction and Motion Tracking in Immersive Virtual Reality for Telerehabilitation","Qin Zhu",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-1043-P0001","Mechanisms of right ventricular dysfunction in type 2 diabetes","Danielle R Bruns",2024-05-24,"6/6/2024 10:17","9/25/2024 10:47","Funded","2024","May"
"Kinesiology & Health","College of Health Sciences","24-0511-P0001","Exploring the needs and opportunities to address the drug overdose crisis in underserved populations in Wyoming","Lauren Rose Gilbert",2023-10-24,NA,NA,"Not Funded Yet","2023","October"
"Kinesiology & Health","College of Health Sciences","24-1004-P0001","PAD2 as a novel regulator of diastolic dysfunction in the aging female heart","Danielle R Bruns",2024-05-06,"6/19/2024 13:42",NA,"Not Funded Yet","2024","May"
"Kinesiology & Health","College of Health Sciences","23-1643-P0001","Wyoming School-based Intervention for promoting equity, health, academic achievement and well-being","Ben D Kern",2023-06-13,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","24-0795-P0001","Cardiac myocyte deletion of hypoxia-inducible factor - 1? exacerbates RV dysfunction in aging mice","Emma Rose Mehl",2024-02-05,NA,"3/6/2024 13:48","Funded","2024","February"
"Kinesiology & Health","College of Health Sciences","25-0130-P0001","Assessing Pain-Related Knowledge and Practices Among Secondary School Student-Athletes and Athletic Trainers","Francesca Genoese",2024-09-11,NA,NA,"Not Funded Yet","2024","September"
"Kinesiology & Health","College of Health Sciences","23-1077-P0001","UW Physical Activity and Social-Emotional Learning (PASEL) Afterschool Program","Kelly L. Simonton",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-0895-P0001","Cross-Cultural Investigation of The Spectrum","Kelly L. Simonton",2024-03-20,"3/27/2024 15:51","8/21/2024 9:07","Funded","2024","March"
"Kinesiology & Health","College of Health Sciences","24-0499-P0001","Mechanisms of circadian control by the cardiac molecular clock","Danielle R Bruns",2023-10-18,"11/7/2023 9:39",NA,"Not Funded Yet","2023","October"
"Kinesiology & Health","College of Health Sciences","23-1806-P0001","PAD2 in Cardiac Aging","Danielle R Bruns",2023-06-26,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","24-0496-P0001","A novel role for myocardial citrullination in the aging female heart","Danielle R Bruns",2023-10-17,"11/18/2023 9:43",NA,"Not Funded Yet","2023","October"
"Kinesiology & Health","College of Health Sciences","23-1644-P0001","circadian rhythm in the heart","Danielle R Bruns",2023-06-14,NA,"6/12/2024 15:02","Funded","2023","June"
"Kinesiology & Health","College of Health Sciences","24-0649-P0001","Supporting Underserved Populations and Programs to Optimize Remote Monitoring and Telehealth in managing Diabetes and Hypertension (SUPPORT)","Lauren Rose Gilbert",2023-12-15,NA,NA,"Not Funded Yet","2023","December"
"Kinesiology & Health","College of Health Sciences","23-0793-P0001","Project Physical Education and Least Restrictive Environment","Ben D Kern",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","23-1570-P0001","NIOSH Mountain and Plains Education and Research Center Pilot Projects in Occupational Safety and Health","Kevin Miller",2023-06-06,NA,NA,"Not Funded Yet","2023","June"
"Kinesiology & Health","College of Health Sciences","24-0648-P0001","Evaluating Telemedicine Related Opioid Use Disorder (OUD) Services in  Underserved Populations: A Comparison of Waiver and Post waiver Periods.","Lauren Rose Gilbert",2023-12-15,"4/11/2024 12:35","9/13/2024 15:37","Funded","2023","December"
"Kinesiology & Health","College of Health Sciences","23-0744-P0001","2021 IE3LC - Rachel Watson","Rachel Mim Watson",2023-04-27,NA,NA,"Funded","2023","April"
"Kinesiology & Health","College of Health Sciences","24-0510-P0001","LEADing by example: Developing a mentoring program for substance use prevention in Black youths with individuals with lived experiences","Lauren Rose Gilbert",2023-10-24,"11/14/2023 14:14",NA,"Not Funded Yet","2023","October"
"Kinesiology & Health","College of Health Sciences","25-0176-P0001","Examining the perceptions of harm reduction among peer recovery coaches and recovery organizations in Wyoming","Lauren Rose Gilbert",2024-09-27,"11/15/2024 8:16",NA,"Not Funded Yet","2024","September"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","23-0868-P0001","Wyoming and Eastern Colorado Academic Year 2020-2021 Junior Science and Humanities Symposium","Jonathan F. Prather",2023-04-27,NA,NA,"Funded","2023","April"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","24-0371-P0001","Wyoming and Eastern Colorado Junior Science and Humanities Symposium (JSHS)","Jonathan F. Prather",2023-09-01,"9/1/2023 16:32","9/1/2023 16:32","Funded","2023","September"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","23-0024-P0001","CAREER:  From Perception to Action: What Songbird Mate Choice Can Teach Us About Human Decision Making","Jonathan F. Prather",2023-04-27,NA,NA,"Funded","2023","April"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","23-0987-P0001","Wyoming-Eastern Colorado academic year 2021-22 Junior Science and Humanities Symposium","Jonathan F. Prather",2023-04-27,NA,NA,"Funded","2023","April"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","24-0371-P0002","Wyoming and Eastern Colorado Junior Science and Humanities Symposium (JSHS)","Jonathan F. Prather",2023-09-01,"3/4/2024 10:55","3/4/2024 10:55","Funded","2023","September"
"Life Science Program","College of Agriculture, Life Sciences & Natural Resources","24-0371-P0003","Wyoming and Eastern Colorado Junior Science and Humanities Symposium (JSHS)","Jonathan F. Prather",2024-09-18,"9/20/2024 15:50","10/18/2024 11:11","Funded","2024","September"
"Manufacturing Works","Economic Development","24-0946-P0001","WBC | Manufacturing-Works (M-W)","Rocky S Case",2024-04-16,"7/11/2024 14:30","7/16/2024 9:51","Funded","2024","April"
"Manufacturing Works","Economic Development","23-0165-P0001","Rural Energy for America Program (REAP): Conduct Energy Audits for Rural and Agricultural Businesses in Wyoming and Support their Progression to the REAP Program","Rocky S Case",2023-04-27,NA,NA,"Funded","2023","April"
"Manufacturing Works","Economic Development","23-0739-P0001","Manufacturing-Works (The Wyoming MEP) at the University of Wyoming - Year 5","Rocky S Case",2023-04-27,NA,NA,"Funded","2023","April"
"Manufacturing Works","Economic Development","23-1220-P0001","WBC 2022-2023","Rocky S Case",2023-04-27,NA,NA,"Funded","2023","April"
"Manufacturing Works","Economic Development","24-0977-P0001","IACxMEP Consortium","Rocky S Case",2024-04-24,"6/26/2024 7:06",NA,"Not Funded Yet","2024","April"
"Manufacturing Works","Economic Development","24-1059-P0001","MEP ASPEN","Rocky S Case",2024-05-31,"6/12/2024 13:58",NA,"Not Funded Yet","2024","May"
"Manufacturing Works","Economic Development","24-0897-P0001","2025-26 Biannual WBC Grant","Rocky S Case",2024-03-21,NA,NA,"Not Funded Yet","2024","March"
"Manufacturing Works","Economic Development","23-1147-P0001","Manufacturing-Works (The Wyoming Manufacturing Extension Partnership) at the University of Wyoming (2022-2027)","Rocky S Case",2023-04-27,NA,NA,"Funded","2023","April"
"Manufacturing Works","Economic Development","23-0078-P0001","Manufacturing-Works (The Wyoming Manufacturing Extension Partnership) at the University of Wyoming","Rocky S Case",2023-04-27,NA,NA,"Funded","2023","April"
"Manufacturing Works","Economic Development","23-1837-P0001","National Institute of Standards and Technology (NIST): Hollings Manufacturing Extension Partnership (MEP): Expansion Awards Pilot Program (MEAPP): MEP National Supply Chain Optimization and Intelligence Network","Rocky S Case",2023-06-26,"7/14/2023 17:31","7/14/2023 17:31","Funded","2023","June"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0399-P0001","Villadsen algebras: their classification and connections to dynamical systems","Zhuang Niu",2023-09-13,"10/2/2023 16:53",NA,"Not Funded Yet","2023","September"
"Mathematics & Statistics","College of Engineering & Physical Sciences","25-0280-P0001","An Experimental Examination of Data Quality in Remote Patient Reported Outcomes Measurement","Kenneth Ellis McClure",2024-10-30,NA,NA,"Not Funded Yet","2024","October"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0847-P0001","Equivant - Statistical Support Projects","Timothy J Robinson",2024-02-22,"5/10/2024 11:54","8/13/2024 8:57","Funded","2024","February"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0064-P0001","CAREER:  Brown Measure and non-Hermitian Random Matrices","Ping Zhong",2023-07-17,NA,"8/1/2024 14:14","Funded","2023","July"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0145-P0001","The Structure of Simple Separable Amenable C*â€?Algebras","Zhuang Niu",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0823-P0001","Inviscid Limits, Uniqueness, and Anomalous Dissipation in Hydrodynamics","Hakima Bessaih",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","25-0201-P0001","Sparseness and Bellman Functions in Harmonic Analysis","Irina Holmes Fay",2024-10-07,NA,NA,"Not Funded Yet","2024","October"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0673-P0001","Restoring Adaptive Landscapes and Livelihoods (ReALL) through Use-Inspired Research and Education","Rongsong Liu",2024-01-05,"1/23/2024 16:40",NA,"Not Funded Yet","2024","January"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-1549-P0001","Incorporating Human Behavior in Epidemiological Models: IHBEM","Long Lee",2023-06-02,NA,"8/9/2023 14:08","Funded","2023","June"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0032-P0001","LEAPS-MPS: Some Applications of Free Probability and Random Matrix Theory","Ping Zhong",2023-07-11,NA,"8/8/2023 13:25","Funded","2023","July"
"Mathematics & Statistics","College of Engineering & Physical Sciences","25-0458-P0001","Valuation bounds for pseudointegral polytopes","Tyrrell Bard McAllister",2025-01-20,"1/29/2025 6:01",NA,"Not Funded Yet","2025","January"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0031-P0001","Statistical Support for Inventory and Monitoring Projects","Timothy J Robinson",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-1757-P0001","Structure of simple C*-algebras: classifiability and beyond","Zhuang Niu",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0356-P0001","Left-Censored data and Environmental Statistics","Marie-Agnes S Tellier",2023-08-28,"12/14/2023 14:30",NA,"Not Funded Yet","2023","August"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-1088-P0001","MPOPHC: mechanistic model, particle filter, causality inference, and policy options for future pandemics","Long Lee",2024-06-17,"6/20/2024 12:02",NA,"Not Funded Yet","2024","June"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0203-P0001","Random Vortex Methods for 3D Fluids","Hakima Bessaih",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0054-P0001","Mathematical Foundations of Future Turbulent Flow Simulations","Stefan Heinz",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0720-P0001","COVID-19 Statistical Data Analysis and Data Science Support for the State of Wyoming","Timothy J Robinson",2023-04-27,NA,NA,"Funded","2023","April"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-1759-P0001","Brown measure, free probability, and non-normal random matrices","Ping Zhong",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0617-P0001","The interface of environmental conditions and herbivore genetics","Rongsong Liu",2023-12-01,"12/6/2023 9:01",NA,"Not Funded Yet","2023","December"
"Mathematics & Statistics","College of Engineering & Physical Sciences","25-0279-P0001","Personalized Assessment in Digital Mental Health","Kenneth Ellis McClure",2024-10-30,"11/15/2024 8:13",NA,"Not Funded Yet","2024","October"
"Mathematics & Statistics","College of Engineering & Physical Sciences","25-0491-P0001","Adaptive Survey Methods for Ambulatory Designs: A pilot study on data quality, survey non-response, and subjective engagement","Kenneth Ellis McClure",2025-01-24,NA,NA,"Not Funded Yet","2025","January"
"Mathematics & Statistics","College of Engineering & Physical Sciences","24-0707-P0001","Hybrid RANS/LES methods for turbulent combustion in confined spaces","Stefan Heinz",2024-01-17,"2/28/2024 14:37",NA,"Not Funded Yet","2024","January"
"Mathematics & Statistics","College of Engineering & Physical Sciences","23-0399-P0001","Biostatistics Support for NPS Fire Ecology Program","Kenneth G. Gerow",2023-04-27,NA,NA,"Funded","2023","April"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-1703-P0001","CAREER: Multiscale Reduced-Order Optimization for Composite Materials Under Volumetric and Interfacial Damage: Toward Rapid Discovery and Design of Materials for Extreme Properties","Xiang Zhang",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-0081-P0001","Optimization of Stainless Steel Dome Fatigue Life","Ray Stuart Fertig",2023-04-27,NA,NA,"Funded","2023","April"
"Mechanical Engineering","College of Engineering & Physical Sciences","25-0156-P0001","SPS NPP","Ankit Saxena",2024-09-18,"10/7/2024 14:10",NA,"Not Funded Yet","2024","September"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-1821-P0001","UQPHILE: Scalable Uncertainty Quantification for Physics-Infused Learning of Multiscale Dynamical Systems","Xiang Zhang",2023-06-26,NA,NA,"Not Funded Yet","2023","June"
"Mechanical Engineering","College of Engineering & Physical Sciences","25-0235-P0001","NASA EPSCoR Implementation","Koen Jasper Groot",2024-10-18,NA,NA,"Not Funded Yet","2024","October"
"Mechanical Engineering","College of Engineering & Physical Sciences","24-0706-P0001","High-Fidelity Computational Tools for Arrays of Large Modern Aeroelastic Wind Turbines","Michael Karl Stoellinger",2024-01-17,"2/28/2024 13:18","9/17/2024 9:21","Funded","2024","January"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-1637-P0001","Biofuel Production for Agriculture Decarbonization","Erica L. Belmont",2023-06-13,NA,NA,"Not Funded Yet","2023","June"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-0107-P0001","Implementing General Framework in MFIX for Radiative Heat Transfer in Gas-Solid Reacting Flows","Michael Karl Stoellinger",2023-04-27,NA,NA,"Funded","2023","April"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-1866-P0001","Fiscal Year 2023 Consolidated Innovative Nuclear Research","Xiang Zhang",2023-06-27,NA,NA,"Not Funded Yet","2023","June"
"Mechanical Engineering","College of Engineering & Physical Sciences","25-0148-P0001","ERI: Improving the Vat Photopolymerization 3D-Printing of Soft Elastomers Through a Deeper  Understanding of Process Dynamics","Daniel Andrew Rau",2024-09-17,"10/9/2024 15:34",NA,"Not Funded Yet","2024","September"
"Mechanical Engineering","College of Engineering & Physical Sciences","24-0041-P0001","CAREER: Multiscale Reduced Order Modeling and Design of   Heterogeneous Materials  to Establish Microstructure-Property Relationship for Composite Materials","Xiang Zhang",2023-07-13,"7/31/2023 10:57","2/26/2024 12:53","Funded","2023","July"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-0161-P0001","EAGER: Permeability of Biomass and Impact of Transport on Reaction Rates Under Supercritical Carbon Dioxide Treatment","Erica L. Belmont",2023-04-27,NA,NA,"Funded","2023","April"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-1517-P0001","Development, Evaluation, and Testing of Functional Riblet Fabrication Approaches","Jonathan W. Naughton",2023-05-12,"5/12/2023 14:19","5/12/2023 14:19","Funded","2023","May"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-0369-P0001","Development of Additive Manufacturing for Ceramic Matrix Composite Vanes","Ray Stuart Fertig",2023-04-27,NA,NA,"Funded","2023","April"
"Mechanical Engineering","College of Engineering & Physical Sciences","23-0445-P0001","Riblet Inspection and Efficiency Assessment (RiSPECT)","Jonathan W. Naughton",2023-04-27,NA,NA,"Funded","2023","April"
