"Project Title","Proposal #","PI Unit","College (Subdivision)","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month","Status","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","Obligated Amount in Award Data","Total Expected Amount in Award Data","Direct Costs in Award Data","expected direct in Award Data","expected indirect in Award Data","Indirect Costs in Award Data","Total Project Cost in Award Data"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","640409","640409",533674,"533674","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","309769.6","309769.6",255105,"255105","54664.6",54664.6,"309769.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","203157","203157",203157,"203157","0",0,"203157"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","640409","640410",533674,"533675","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","120000","120000",1e+05,"100000","20000",20000,"120000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","80000","80000","0","80000","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","1203926","1203926",1010142,"1010142","193784",193784,"1203926"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","27000","27000",22500,"22500","4500",4500,"27000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","222845","222845",185704,"185704","37141",37141,"222845"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","1170200","1170200",971000,"971000","199200",199200,"1170200"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","429000","429000",370833,"370833","58167",58167,"429000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","349000","349000",290833,"290833","58167",58167,"349000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","790080","790080",771080,"771080","19000",19000,"790080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","406314","406314",406314,"406314","0",0,"406314"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","200000","200000",2e+05,"200000","0",0,"200000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","446038","446038",401698,"401698","44340",44340,"446038"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","640409","640409",533674,"533674","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","309769.6","309769.6",255105,"255105","54664.6",54664.6,"309769.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","203157","203157",203157,"203157","0",0,"203157"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","640409","640410",533674,"533675","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","120000","120000",1e+05,"100000","20000",20000,"120000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","492076","403396","88680","492076","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","1203926","1203926",1010142,"1010142","193784",193784,"1203926"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","27000","27000",22500,"22500","4500",4500,"27000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","222845","222845",185704,"185704","37141",37141,"222845"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","1170200","1170200",971000,"971000","199200",199200,"1170200"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","429000","429000",370833,"370833","58167",58167,"429000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","349000","349000",290833,"290833","58167",58167,"349000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","790080","790080",771080,"771080","19000",19000,"790080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","406314","406314",406314,"406314","0",0,"406314"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","200000","200000",2e+05,"200000","0",0,"200000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","446038","446038",401698,"401698","44340",44340,"446038"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","640409","640409",533674,"533674","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","309769.6","309769.6",255105,"255105","54664.6",54664.6,"309769.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","676080","676080",676080,"676080","0",0,"676080"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","214704.6","214704.6",175884,"175884","38820.6",38820.6,"214704.6"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","203157","203157",203157,"203157","0",0,"203157"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","943000","943000",943000,"943000","0",0,"943000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","640409","640410",533674,"533675","106735",106735,"640409"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","163651","163651",163651,"163651","0",0,"163651"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","120000","120000",1e+05,"100000","20000",20000,"120000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","120000","100000","20000","120000","600200","600200",496000,"496000","104200",104200,"967400"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"650768.77","650768.77",542307.31,"542307.31","108461.46",108461.46,"650768.77"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"1203926","1203926",1010142,"1010142","193784",193784,"1203926"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"27000","27000",22500,"22500","4500",4500,"27000"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"508694","508694",508694,"508694","0",0,"508694"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"525512","525512",525512,"525512","0",0,"525512"
"Wyoming Innovation Partnership (WIP) | Phase II & Phase III","24-0142-P0015","Industry & Strategic Partnerships Office","Economic Development","Curtis Nathan Biggs",2024-05-07,NA,"10/7/2024 16:07","Funded","2024","May","Closed","247737","231182","$16555",NA,"222845","222845",185704,"185704","37141",37141,"222845"
