Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0333-A0001-2,The Wyoming Digital Newspaper Project (NEH),405169,,,,,,
23-0312-A0001,Immigration and integration in rural Arctic communities,895806,,,,,,
23-0675-A0001,Is Mycoplasma bovis maintained in Wyoming pronghorn antelope (Antilocarpra americana) reservoirs?,4684.08,,,,,,
23-0566-A0001,Wyoming Conservation Corps (AmeriCorps 2020-21),189478,,,,,,
23-1159-A0001-0,Wyoming ADRC Public Health Workforce Expansion,115789,,,,,,
23-1159-A0001-1,Wyoming ADRC Public Health Workforce Expansion,115789,115789,86410,86410,29379,29379,115789
23-0382-A0003-0,Generation and characterization of a mouse model exhibiting beta-amyloidosis and tauopathy with nuclear depletion of TDP-43,89409,89409,61875,61875,27534,27534,89409
23-0382-A0003-1,Generation and characterization of a mouse model exhibiting beta-amyloidosis and tauopathy with nuclear depletion of TDP-43,178818,178818,123750,123750,55068,55068,178818
23-1189-A0001,"WCC crews will work with Wyoming State Parks to construct trail, maintain existing trail, preserve historic buildings, and other small conservation related tasks.",80500,,,,,,
23-1136-A0001,"Rapid CWD Testing, Maximizing Capacity for CWD Detection Using RE-QuIC: Pooled Retropharyngeal Lymph Node & Individual Ear Tissue Studies",78750,,,,,,
23-0551-A0001-0,"Conduct the 2020 WYDOT Customer Satisfaction Survey, statewide and the 2021 Agency-wide WYDOT Employee Satisfaction Survey",144455.76,,,,,,
23-0551-A0001-1,"Conduct the 2020 WYDOT Customer Satisfaction Survey, statewide and the 2021 Agency-wide WYDOT Employee Satisfaction Survey",127003.48,127003.48,,,,,127003.48
23-0551-A0001-2,"Conduct the 2020 WYDOT Customer Satisfaction Survey, statewide and the 2021 Agency-wide WYDOT Employee Satisfaction Survey",176729.49,176729.49,147274.58,147274.58,29454.91,249454.91,176729.49
25-0427-A0001,Data Center and Artificial Intelligence Economic Analysis,30000,30000,22388,22388,7612,7612,60000
23-1182-A0001-0,RESEARCH-PGR: Exploring the Genetics of Drought Resistance with Field-based Phenomics and Biophysical Process-based Modeling,205313,,,,,,
23-1182-A0001-1,RESEARCH-PGR: Exploring the Genetics of Drought Resistance with Field-based Phenomics and Biophysical Process-based Modeling,298939,,,,,,
23-1182-A0001-2,RESEARCH-PGR: Exploring the Genetics of Drought Resistance with Field-based Phenomics and Biophysical Process-based Modeling,298939,298939,,,,,
23-1182-A0001-3,RESEARCH-PGR: Exploring the Genetics of Drought Resistance with Field-based Phenomics and Biophysical Process-based Modeling,$ 348840.00,426356,254134,310246,116110,94706,426356
23-1328-A0001-0,(CFA-22-27138) Engaging Wyoming Communities in an Environmental Justice Approach for Advanced Nuclear Energy Facility Siting,799999.72,,,,,,
23-1328-A0001-1,(CFA-22-27138) Engaging Wyoming Communities in an Environmental Justice Approach for Advanced Nuclear Energy Facility Siting,799998.65,799999.72,654979.38,654979.98,145019.72,145019.27,799998.65
23-0434-A0001-0,Using Water Bears to Identify Biological Countermeasures to Stress During Multigenerational Spaceflight,207081.65,,,,,,
23-0434-A0001-1,Using Water Bears to Identify Biological Countermeasures to Stress During Multigenerational Spaceflight,207081.65,207081,143359,143359,63722,63722,
24-0283-A0001,Natrium Demonstration Project,41236.21,,,,,,
23-0418-A0001-0,Automated Real-Time Weather Detection System using Artificial Intelligence - Federal Portion,239328,,,,,,
23-0418-A0001-1,Automated Real-Time Weather Detection System using Artificial Intelligence - Federal Portion,239328,239328,202951,202951,36377,36377,239328
23-0418-A0001-2,Automated Real-Time Weather Detection System using Artificial Intelligence - Federal Portion,239328,239328,202951,202951,36377,36377,239328
24-0853-A0001-0,Engaging the Aging Brain in STEM: Fostering Socializzation and Health Promotion in Older Individuals through the Science Initiative Roadshow,37348,37348,31123,31123,6225,6225,39344
24-0853-A0001-1,Engaging the Aging Brain in STEM: Fostering Socializzation and Health Promotion in Older Individuals through the Science Initiative Roadshow,37348,37348,31123,31123,6225,6225,39344
23-0754-A0001,Assessing Mineral Licks and Predation as Alternative Mechanisms to Control CWD in the West,467182.55,,,,,,
23-1104-A0001,NL-CAES Nuclear Security Certificate - Working Group 2022,11424.99,,,,,,
23-0796-A0001-0,North Platte Reservoirs Stocked Salmonids Fate,207259,,,,,,
23-0796-A0001-1,North Platte Reservoirs Stocked Salmonids Fate,207259,207259,207259,207259,0,0,207259
23-0796-A0001-2,North Platte Reservoirs Stocked Salmonids Fate,207259,207259,207259,207259,0,0,207259
23-0796-A0001-3,North Platte Reservoirs Stocked Salmonids Fate,207259,207259,207259,207259,0,0,207259
23-1444-A0001-0,Modeling Future Distribution of Habitats and Bird and Mammal Species of Greatest Conservation Need,62162,,,,,,
23-1444-A0001-1,Modeling Future Distribution of Habitats and Bird and Mammal Species of Greatest Conservation Need,117162,117162,106511,106511,10651,10651,117162
23-1444-A0001-2,Modeling Future Distribution of Habitats and Bird and Mammal Species of Greatest Conservation Need,117162,117162,106511,106511,10651,10651,117162
23-0496-A0001-0,Collaborative Research: Ammonia Phase PARtitioning and Transport (APART),224786,,,,,,
23-0496-A0001-1,Collaborative Research: Ammonia Phase PARtitioning and Transport (APART),224786,,,,,,
23-1501-A0001,Water Research Program Projects 2023-2027,442820,,,,,,
23-0155-A0001,Integrating Livestock and Cover Crops into Irrigated Crop Rotations,249952.07,,,,,,
23-1075-A0001,Engineering Fellows Postdoctoral Fellowship Program,259200,,,,,,
23-1451-A0001-0,Slingshot Challenge,20000,,,,,,
23-1451-A0001-1,Slingshot Challenge,20000,,,,,,
23-1346-A0001-0,Arkansas Methamphetamine Prevention Project Evaluation,55528,,,,,,
23-1346-A0001-1,Arkansas Methamphetamine Prevention Project Evaluation,111056,111056,100960,100960,10096,10096,111056
23-1346-A0001-2,Arkansas Methamphetamine Prevention Project Evaluation,111056,111056,100960,100960,10096,10096,111056
23-1346-A0001-3,Arkansas Methamphetamine Prevention Project Evaluation,111056,111056,100960,100960,10096,10096,111056
23-0112-A0001,Fire Effects on Herbaceous Regeneration Across an Invasion Gradient of Grasslands and Shrublands,76611.06,,,,,,
23-0618-A0009,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,32664,32664,24376,24376,8288,8288,32664
23-0586-A0001,Effect of Foliar Micronutrient Application on the Yield of Dry Bean,2962.27,,,,,,
23-1137-A0001-0,Upward Bound PY 2022-2023,562385,,,,,,
23-1137-A0001-1,Upward Bound PY 2022-2023,1147265,2901905,1074886,2713726,188179,72379,2901905
23-1137-A0001-2,Upward Bound PY 2022-2023,1147265,2901905,1074886,2713726,188179,72379,2901905
23-1137-A0001-3,Upward Bound PY 2022-2023,1732145,2901905,1524748,2713726,188179,108368,2901905
23-0456-A0001-0,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal,2420000,,,,,,
23-0456-A0001-1,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal,3280000,,3280000,,,0,
23-0456-A0001-2,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal,3330000,,3330000,,,0,
23-0456-A0001-3,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal,4240000,,4240000,,,0,
23-0715-A0001,Surveys for Aquatic Snails in Wyoming FY2021,49275.21,,,,,,
23-1545-A0001,"In Collaboration with Wyoming Pathways, the Ruckelshaus Institute will coordinate, convene, and lead a trails charrette in Pinedale, Wyoming",4020,4020,3000,3000,1020,1020,4020
23-0137-A0001-0,"Follow-up Surveys of Climb Wyoming Graduates 15, 18, 21 and 24 Months After Graduation",36630,,,,,,
23-0137-A0001-1,"Follow-up Surveys of Climb Wyoming Graduates 15, 18, 21 and 24 Months After Graduation",40776,40776,40776,40776,0,0,40776
23-1797-A0001-0,Hydrogen Production: Thermal Desalination and Steam Methane Reforming ,4997679,4997679,4809964,4809964,187715,187715,9997136
23-1797-A0001-1,Hydrogen Production: Thermal Desalination and Steam Methane Reforming ,4997679,4997679,4809964,4809964,187715,187715,9997136
24-0293-A0001,The Influence of Perception and Sweat Sodium Concentration on Water Consumption Volume During Exercise in the Heat Using Ad Libitum vs. Prescribed Fluid Intake Methods,1000,,,,,,
23-0002-A0001,Development of self-reinforced poypheyneylene as a multi-functional material,32500,,,,,,
23-1300-A0002-0,"Interagency Agreement for Brucellosis supplies, testing, and technician",131915,131915,131915,131915,0,0,131915
23-1300-A0002-1,"Interagency Agreement for Brucellosis supplies, testing, and technician",131915,131915,131915,131915,0,0,131915
23-1229-A0001,Water Research Program Projects 2022-2026,310277,,,,,,
23-1228-A0001,Direct Student Loans 2022-2023,33555678,,,,,,
23-1345-A0001-0,The University of Wyoming will develop a study that will determine if Post-Treatment deferment is needed for the most effective weed control and recovery,31692.63,,,,,,
23-1345-A0001-1,The University of Wyoming will develop a study that will determine if Post-Treatment deferment is needed for the most effective weed control and recovery,31692.63,,,,,,
23-1345-A0001-2,The University of Wyoming will develop a study that will determine if Post-Treatment deferment is needed for the most effective weed control and recovery,31692.63,31692.63,29168.19,29168.19,2524.44,2524.44,31692.63
24-0262-A0001,Installing PM2.5 sensors to provide real-time indicative air quality data for the Greater Yellowstone Ecosystem within the Purple Air citizen science network,25000,,,,,,
24-0032-A0001,LEAPS-MPS: Some Applications of Free Probability and Random Matrix Theory,247480,247480,177541,177541,69939,69939,247480
23-0320-A0001,"Summer Nutrition, Disease, or Predation? Quantifying causes of Poor Lamb Survival in Northwest Wyoming",135000,,,,,,
23-0487-A0002,Bayesian Learning Consortium,,,,,,,250000
23-1272-A0001,Development and function of the Xenopus tadpole retinotegmental projection,582054,,,,,,
24-0209-A0001,"Collaborative Research: Dataâ€�enabled Modeling, Numerical Method, and Data Assimilation for Coupling Dual Porosity Flow with Free Flow",137760.39,,,,,,
23-0883-A0001,Control Invasive Vegetation & Protect Native Vegetation at Devils Tower National Monument,33500,,,,,,
23-1114-A0001-0,Wyoming Advanced Blockchain Lab AY2022,337108.8,,,,,,
23-1114-A0001-1,Wyoming Advanced Blockchain Lab AY2022,337108.8,337108.8,250231,250231,86877.8,86877.8,337108.8
23-1114-A0001-2,Wyoming Advanced Blockchain Lab AY2022,337108.8,337108.8,250231,250231,86877.8,86877.8,337108.8
23-0063-A0001,BLM WY UW WYNDD SSS Wildlife Studies RM CESU: Developing Information on Special Status Species and Habitats in BLM-Managed Portions of Wyoming,235573.06,,,,,,
25-0071-A0001,Wyoming Arts Council Grant,10936,10936,10936,10936,0,0,21872
23-0884-A0001-0,Incentivizing working lands conservation through evidence-based program design,165000,,,,,,
23-0884-A0001-1,Incentivizing working lands conservation through evidence-based program design,165000,,165000,,,0,165000
23-0884-A0001-2,Incentivizing working lands conservation through evidence-based program design,165000,,165000,,,0,165000
24-0351-A0001,Species Overview,,,,,,,140876.8
25-0079-A0001-0,"Collaborative Research: HCC: Small: Robot-Rooms: Giving Form to Domestic Activity, On the Go",89131,265087,65198,,,25933,89131
25-0079-A0001-1,"Collaborative Research: HCC: Small: Robot-Rooms: Giving Form to Domestic Activity, On the Go",89131,265087,65198,,,25933,89131
23-0018-A0001,18th Century Life Journal,55000,,,,,,
23-0685-A0001,Collaboration and support of the Sustainable Rangelands Roundtable,0,,,,,,
24-0180-A0001-0,Aggregate for Concrete,179821,179821,152434,152434,27387,27387,179821
24-0180-A0001-1,Aggregate for Concrete,164321,164321,136934,136934,27387,27387,179821
24-0180-A0001-2,Aggregate for Concrete,164321,164321,136934,136934,27387,27387,179821
23-0570-A0001-0,Ceramic-Based Ultra-High Temperature Thermocouples in Harsh Environments,210000,,,,,,
23-0570-A0001-1,Ceramic-Based Ultra-High Temperature Thermocouples in Harsh Environments,210000,210000,153888,153888,56112,56112,210000
24-0340-A0002,Big Willow Creek Riparian Enhancement Pt. 2,15000,15000,14286,14286,714,714,15000
23-0475-A0001,Systematic study on the phase transition of confined fluid mixture up to the critical region,248848.41,,,,,,
23-0791-A0001,Improving Cryptographic Algorithm Resistance to Side Channel Attacks,9991.73,,,,,,
23-1393-A0001-0,Examination of data and collection of new data to understand the scope of missing and murdered Indigenous persons in Washington and the surrounding region,191429.74,,,,,,
23-1393-A0001-1,Examination of data and collection of new data to understand the scope of missing and murdered Indigenous persons in Washington and the surrounding region,191429.74,,142872.73,,,28574.55,191429.74
23-1393-A0001-2,Examination of data and collection of new data to understand the scope of missing and murdered Indigenous persons in Washington and the surrounding region,191429.74,,142872.73,,,28574.55,191429.74
23-1393-A0001-3,Examination of data and collection of new data to understand the scope of missing and murdered Indigenous persons in Washington and the surrounding region,228174.74,228174.74,173493.56,173493.56,34698.72,34698.72,228174.74
23-1393-A0001-4,Examination of data and collection of new data to understand the scope of missing and murdered Indigenous persons in Washington and the surrounding region,288368.66,288368.66,240307.22,240307.22,48061.44,48061.44,228174.74
23-0854-A0001,Germplasm Collection and Evaluation for Early Maturity and Begin Initial Crossing,3000,,,,,,
23-0289-A0001-0,CS for All:RPP - Booting Up Computer Science in Wyoming,999929,,,,,,
23-0289-A0001-1,CS for All:RPP - Booting Up Computer Science in Wyoming,999929,999929,802670,802670,197259,197259,999929
23-0289-A0001-2,CS for All:RPP - Booting Up Computer Science in Wyoming,999929,999929,802670,802670,197259,197259,999929
24-0402-A0001,Integrating empirical recordings to computaitonal models,174242,$174242,141650,141650,32592,32592,2560959
24-0530-A0001-0,A Brief Cognitive Behavioral Therapy For Self Injury Scars,1500,1500,1500,1500,0,0,1500
24-0530-A0001-1,A Brief Cognitive Behavioral Therapy For Self Injury Scars,1002,1002,1002,1002,0,0,1002
23-0982-A0001,Broadband Map Development - CARES,80000,,,,,,
24-0110-A0001,DEQ Internships,77235.84,77235.84,72864,72864,4371.84,4371.84,77235.84
24-0326-A0001,CRII: OAC: Parallel Algorithmic Advancements in Overset Grid Technologies for Dynamically Adaptive Multiscale Fluid Dynamics Simulations,175000,175000,127748,127748,47252,47252, $175000.00
24-0957-A0001,Career and Technical Education (CTE) Program,94000,94000,94000,94000,0,0,94000
23-1265-A0001,Teacher Education Assistance for College & Higher Ed (TEACH) 2022-2023,16531,,,,,,
23-1916-A0003-0,Jackson Moose - WGBGLC,40000,40000,40000,40000,0,0,40000
23-1916-A0003-1,Jackson Moose - WGBGLC,40000,40000,40000,40000,0,0,40000
23-1526-A0004-0,Wyoming IDeA Networks for Biomedical Research Excellence,3418046,3418046,2500000,2500000,918046,918046,3418046
23-1526-A0004-1,Wyoming IDeA Networks for Biomedical Research Excellence,3418046,3418046,2500000,2500000,918046,918046,3418046
23-1529-A0001-0,Specialized Caseloads' Sanctions and Invectives Pilot Program (SCSIPP) Grant Evaluation ,20102.4,20102.4,16752,16752,3350.4,3350.4,20102.4
23-1529-A0001-1,Specialized Caseloads' Sanctions and Invectives Pilot Program (SCSIPP) Grant Evaluation ,20102.4,20102.4,16752,16752,3350.4,3350.4,20102.4
23-1529-A0001-2,Specialized Caseloads' Sanctions and Invectives Pilot Program (SCSIPP) Grant Evaluation ,53606,53606,44672,44672,8934,8934,53606
23-0374-A0001,FY20 5539-77 Capital Request:  Purchase Shop Equipment,29800,,,,,,
25-0289-A0001,Product testing ,12000,12000,11429,11429,571,571,12000
23-0011-A0001,Formulation and adjuvant research,24500,,,,,,
23-0568-A0001,Interactions between Wind Facilities and Insect,58750,,,,,,
23-0579-A0001-0,Federal and State Technology (FAST) Opportunity in support of enhanced services to SBIR/STTR clients,375000,,,,,,
23-0579-A0001-1,Federal and State Technology (FAST) Opportunity in support of enhanced services to SBIR/STTR clients,375000,375000,279851,279851,95149,95149,562500
23-0579-A0001-2,Federal and State Technology (FAST) Opportunity in support of enhanced services to SBIR/STTR clients,500000,500000,373134.33,373134.33,126865.67,126865.67,750000
23-0579-A0001-3,Federal and State Technology (FAST) Opportunity in support of enhanced services to SBIR/STTR clients,486947.64,486947.64,363393.76,363393.76,123553.88,123553.88,750000
23-0376-A0001,WY Determining Drivers of Community Assembly in Sagebrush Ecosystems RM CESU,38796,,,,,,
25-0164-A0001,Bonneville Cutthroat Trout ICP Application,40000,40000,29850.75,29580.75,10149.25,10149.25,40000
23-1348-A0001,Preservation and Sharing of a Major Tissue Collection of Birds of Prey,12485,,,,,,
23-1128-A0001,NAAB Doak Graduate Fellowship,86690,,,,,,
23-1784-A0001-0,Value-added graphene materials from woody resources,52500,52500,36332,36332,16168,16168,52500
23-1784-A0001-1,Value-added graphene materials from woody resources,52500,52500,36332,36332,16168,16168,52500
24-0193-A0001-0,Wyoming Family to Family Health Information Center,659747.05,,,,,,
24-0193-A0001-1,Wyoming Family to Family Health Information Center,659747.05,204755,163804,163804,40951,40951,204755
24-0193-A0001-2,Wyoming Family to Family Health Information Center,659747.05,659747.05,163804,549789.21,109957.84,40951,204755
24-0193-A0001-3,Wyoming Family to Family Health Information Center,659747.05,659747.05,549789.21,549789.21,109957.84,109957.84,659747.05
24-0193-A0001-4,Wyoming Family to Family Health Information Center,771621.84,771621.84,646539.21,646539,126082.84,126082.84,659747.05
24-0193-A0001-5,Wyoming Family to Family Health Information Center,301505,301505,251254,251254,50251,50251,301505
23-1174-A0001,Tracking Targets for Dark Energy Spectroscopic Instrument Operations,51907.97,,,,,,
23-1170-A0001,Using Elk and Big Game GPS Data for Private Lands Conservation in WY,10000,,,,,,
24-0883-A0001,SuiteWater Maintenance,10553,10553,8794,8794,1759,1759,10553
24-0435-A0002,Storer: FY24 - Wyoming Now and Beyond,35000,35000,31500,31500,3500,3500,35000
23-0131-A0001,Western SARE/NACAA Fellows Program 2017-2018,448082.42,,,,,,
23-1014-A0004-0,Wyoming Innovation Partnership (WIP),3140000,3140000,2453597,2453597,686403,686403,14664000
23-1014-A0004-1,Wyoming Innovation Partnership (WIP),3140000,3140000,2453597,2453597,686403,686403,14664000
23-1014-A0004-2,Wyoming Innovation Partnership (WIP) Phase I,3140000,3140000,2453597,2453597,686403,686403,14664000
24-0084-A0001,REE,90000,180000,65634,131079,48921,24366,180000
24-0098-A0001,Algal Biorefinery Conversion of Utility CO2 to High-Value Products (ABC-UC),204504,350000,146409,251982,98018,58095,350000
23-0596-A0001,Wind River Reservation Migration Study,20000,,,,,,
23-0255-A0001-0,Therapeutic activation of AMPK for the aging right heart,805010,,,,,,
23-0255-A0001-1,Therapeutic activation of AMPK for the aging right heart,805010,,,,,,
23-1158-A0001,FY 2022 Radio Community Service Grant - Unrestricted,379290,,,,,,
23-0957-A0001,Oral Health Program Evaluation 2021-2022,22919.54,,,,,,
23-0151-A0001,Wyoming Heritage Apples Identification and Outreach,16006.87,,,,,,
23-0284-A0001,AML Operations Swap,3107658.92,,,,,,
24-0688-A0001,"Carbon Capture and Storage Assessment for Pete Lie & Sons, Inc. Jonathon Lime Plant",25000,25000,17301,17301,7699,7699,25000
23-0679-A0001,Developing Real-time Interaction and Motion Tracking in Immersive Virtual Reality for Telerehabilitation,90298,,,,,,
23-0028-A0001,Priority Species Inventory Project,38876.88,,,,,,
23-0168-A0001,Integrated Monitoring in Bird Conservation Regions in Wyoming,81900,,,,,,
23-0987-A0001,Wyoming-Eastern Colorado academic year 2021-22 Junior Science and Humanities Symposium,4500,,,,,,
23-0826-A0001,Conservation Priorities for the New Bamboo Extractive Sector in Coastal Ecuador,29843,,,,,,
23-0260-A0001,Thunder Basin Rangeland Research Enhancement,19955.2,,,,,,
23-0758-A0001,Red Teaming Artificial Intelligence Laboratory Directed Research and Development,190885,,,,,,
24-0371-A0002,Wyoming and Eastern Colorado Junior Science and Humanities Symposium (JSHS),7250,7250,7250,7250,0,0,7250
23-0404-A0001,The Wyoming Range Mule DEER Project: Carryover Effects and Factors Limiting Recovery from a Severe Winter RM CESU,272606.97,,,,,,
23-0444-A0001,Preventing Elder Family Financial Exploitation: Risk and Protective Factors within Families by Family-Member Power-of-Attorney Agents,2500,,,,,,
23-0454-A0001,IOHK Research Lab FY 2020-2021,500000,,,,,,
23-1524-A0001,Global to Regional: Origins of Water Stress (GROWS),749696,749696,528885,528885,220811,220811,749696
24-0920-A0002,FY25 5339 WYDOT/FTA Capital Requests,21520,21520,21520,21520,0,0,26900
23-0868-A0001,Wyoming and Eastern Colorado Academic Year 2020-2021 Junior Science and Humanities Symposium,4525,,,,,,
23-0813-A0001,Examination of the presence of Falco sparverius paulus in Sound Carolina,1245,,,,,,
23-1619-A0001-0,Common Ground-Legitimacy in Consent-based Siting for Interim Nuclear Waste Storage ,228536,228537,164463,164463,64074,64074,228536
23-1619-A0001-1,Common Ground-Legitimacy in Consent-based Siting for Interim Nuclear Waste Storage ,228536,228537,164463,164463,64074,64074,228536
23-1684-A0001-0,WY FY23 CAPS Survey,8550,8550,7773,7773,777,777,8550
23-1684-A0001-1,WY FY23 CAPS Survey,34200,34200,31901,31091,3109,3109,34200
23-0576-A0001,Multiscale Electricity Modeling for Evaluating Carbon Capture and Sequestration technologies (MEME-CCS),92988,,,,,,
23-0620-A0002,"An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.",50436,50436,50436,50436,0,0,50436
23-0882-A0001,"The Nature Conservancy, Red Canyon Creek Restoration",23000,,,,,,
23-1711-A0001,Mechanisms of preimplantation developmental programming by choline,69816,69816,48871,48871,20945,20945,69816
24-0240-A0001,Predicting Impacts of Species Loss on Ecosystem Resilience: An Experimental Test of a Novel Theoretical Framework,135343,,,,,,
24-0435-A0001,Storer: FY24 - Wyoming Now and Beyond,35000,35000,31500,31500,3500,3500,35000
23-1193-A0001,Waste Water Surveillance Support,30000,,,,,,
23-1301-A0001,Limiting Factors for Declining Loggerhead Shrikes in Western Wyoming,120100,,,,,,
23-1019-A0001-0,University of Wyoming Smith-Lever Special Needs,43951,,,,,,
23-1019-A0001-1,University of Wyoming Smith-Lever Special Needs,43951,,43951,,,0,
23-1743-A0003-0,North Dakota Chronic Disease Evaluation,27500,27500,20522,20522,6978,6978,$110000.00 
23-1743-A0003-1,North Dakota Chronic Disease Evaluation,27500,27500,20522,20522,6978,6978,$110000.00 
23-1743-A0003-2,North Dakota Chronic Disease Evaluation,27500,27500,20522,20522,6978,6978,$110000.00 
23-0353-A0001,Perineuronal nets and cocaine-associated memories (Legacy Emanuel),311092,,,,,,
23-0611-A0001,Enhancing Regional Decision Making for Invasive Grass Management,150000,,,,,,
24-1024-A0001,"Oro-Agri PREC 2024 Bean, Corn,  Sugar Beet",19000,19000,17272,17272,1728,1728,19000
23-1509-A0001-0,United Way of Albany County Community Needs Assessment,2849,2849,2590,2590,259,259,2849
23-1509-A0001-1,United Way of Albany County Community Needs Assessment,17335,17335,15759,15759,1576,1579,17335
24-0391-A0001,Improving Education and Outreach through Research of Novel Traits in Yearling Bulls ,119995,119995,85059,85059,34936,34936,119995
24-0706-A0001,High-Fidelity Computational Tools for Arrays of Large Modern Aeroelastic Wind Turbines,224697.33,965236.06,167184.44,704346.55,260889.51,57512.89,965236.06
23-1518-A0001,Adult Smoking Cessation Campaign Testing 2023,23751,23751,18308,18308,5443,5443,23751
24-0125-A0001,Secondment Agreement Hess Corporation,151576,151576,151576,151576,0,0,151576
23-0546-A0001,Seeps and Springs Focused Conditions Assessment at Mesa Verde National Park,9713.37,,,,,,
23-0504-A0001,Carbon Valley Podcast,4500,,,,,,
23-0012-A0001,Effect of Phosphorus Rate and Formulation on Sugarbeet Yield,46800,,,,,,
23-0797-A0001-0,Whiskey Mountain Bighorn Sheep - The West Side Story,224000,,,,,,
23-0797-A0001-1,Whiskey Mountain Bighorn Sheep - The West Side Story,284000,284000,284000,284000,0,0,284000
23-0797-A0001-2,Whiskey Mountain Bighorn Sheep - The West Side Story,284000,284000,284000,284000,0,0,284000
24-0598-A0002,Post - Secondary Program Planning and Collaboration,43500,43500,40278,40278,3222,3222,58000
25-0029-A0001,WYNDD facilitation of MTNHP access to AWS,5000,5000,5000,5000,0,0,5000
23-1478-A0001-0,"Indigeneity in the Americas: Bahia, Brazil",33981.46,,,,,,
23-1478-A0001-1,"Indigeneity in the Americas: Bahia, Brazil",31501.88,31501.88,23508.86,23508.86,7993.02,7993.02,31501.88
23-1361-A0001-0,Improving Juvenile Justice Policies by Centralizing Previously Collected and Available Data,18000,,,,,,
23-1361-A0001-1,Improving Juvenile Justice Policies by Centralizing Previously Collected and Available Data,18000,,,,,,
24-1093-A0001,Master Research Collaboration Agreement | Teton Raptor Center,0,0,0,0,0,0,0
23-0279-A0001,Visualizing Obstacles in Big Game Migration Corridors,9250,,,,,,
23-1051-A0001,Assessing Neuronal Ensembles Competition In A Model Of Polysubstance Exposure And Relapse,35000,,,,,,
23-0437-A0001,Enhancing Crash Data Reporting to Highway Safety Partners in Wyoming by Utilizing Big Data Analysis and Survey,117878.92,,,,,,
23-1028-A0001,Blue Bison ATR Advanced CCUS System,216543,,,,,,
24-0324-A0001-0,Establishing a Nuclear Chemistry Core Facility at the University of Wyoming,300000,300000,300000,300000,0,0,350000
24-0324-A0001-1,Establishing a Nuclear Chemistry Core Facility at the University of Wyoming,294392.82,300000,294392.82,300000,0,0,350000
23-0215-A0001-0,"RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",2327354,,,,,,
23-0215-A0001-1,"RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",2327354,,1862846,,,464508,2327354
23-0215-A0001-2,"RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",2363479,,1887846,,,475633,2363479
24-0755-A0002-0,Focus Groups of Wyoming Parents,7376,14753,6147,12816,1937,1229,14753
24-0755-A0002-1,Focus Groups of Wyoming Parents,14753,14753,12816,12816,1937,1937,14753
24-0816-A0001,Season Extension Education Workshops Project,47865,47865,47865,47865,0,0,59831
23-1644-A0001,circadian rhythm in the heart,299996,299996,272727,272727,27270,27270,299996
23-1454-A0001-0,AmeriCorp ServeWyoming FY 2022,187150.09,,,,,,
23-1454-A0001-1,AmeriCorp ServeWyoming FY 2022,122797,122797,119220,,,3577,122797
23-1454-A0001-2,Extension AmeriCorp ServeWyoming ,122797,122797,119220,,,3577,122797
25-0048-A0001,Framework for Knowledge Management and Transfer ,241451,268279,201209,228037,40242,40242,268279
23-0179-A0001-0,Drug Utilization Review and Pharmacy and Therapeutics (P&T) Committee Programs 2018-2021,1934368,,,,,,
23-0179-A0001-1,Drug Utilization Review and Pharmacy and Therapeutics (P&T) Committee Programs 2018-2021,1934368,1934368,1547494,1547494,386874,386874,1934368
24-0350-A0001-0,Macroinvertebrate Monitoring at Agate Fossil Beds NM,62000,62000,52766,52766,9234,9234,62000
24-0350-A0001-1,Macroinvertebrate Monitoring at Agate Fossil Beds NM,102851,102851,87533,87533,15318,15318,102851
23-0686-A0003,Experimental and Numerical Studies of Two-phase Flow Dynamics in Carbonate Reservoir Core Samples,937000,937000,925875,925875,11125,11125,1874000
23-0737-A0001,Highly Accurate Measurements of Cloud Droplets using the Small-Angle Light Scattering Spectral Analyzer (SALSSA) Probe,28481,,,,,,
23-0142-A0001,Piri Sabbatical,88000,,,,,,
23-0262-A0001,REU Site: Wyoming Astronomy,272306,,,,,,
23-1337-A0001,VAWA Implementation Plan Support,40000,,,,,,
23-0449-A0001,Sierra Nevada Bighorn Sheep Population Analysis,393175.25,,,,,,
23-0439-A0001,Investigating Spatiotemporal Responses of Elk to Human Recreation in Northern Colorado: An Assessment within Critical Time Stages,40000,,,,,,
23-1223-A0001,2022 WYCC Vegetation Management Crew at Grand Teton National Park,43810,,,,,,
