Award #,PI,Project Title,Sponsor,Prime Sponsor,Instrument Type,Award Start Date,Award End Date,Admin Unit,Obligated Amount,Project #,Total Expected Amount,Anticipated Amount,Status,Created Date,Award Type,Increment Amount,PI Unit,Modification Number,Modification Type,Modification Date,Modified By,activity type,Admin Unit Primary Code,Award Amount,Award Id,Award Title,college,Direct Costs,expected direct,expected indirect,full proposal title,History Action,History Action By,History Action Date,History Comment,Prime Sponsor Org Type,Prime Sponsor Primary Code,proposal type,proposal type if other,Routing Comment,Routing Date,Routing Status,Sponsor Org Type,sponsor type,sponsor type if other,Total Project Cost
23-0967-A0001-2,Jason P. Gigley,Role of Available Iron in Development of Chronic Toxoplasma gondii and Immunity,National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services,National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services,,9/27/2021,8/31/2025,Molecular Biology,389129,23-0967,389129,,Active,8/22/2024 11:57,,,Molecular Biology,2,Sponsor Approved No Cost Extension,8/22/2024,Kristi Hargis Stockdale,Applied Research,3.00E+14,,63990700-c936-4bbd-a420-073026a1254a,,"Agriculture, Life Sciences,  & Natural Resources",275000,275000,114129,Role of Available Iron in Development of Chronic Toxoplasma gondii and Immunity,Award Created,Legacy Loader,4/24/2023 19:13,,,01-NIAID,Competing Continuation,,,,,,U.S. Federal Government,,389129
23-0967-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Sponsor Approved No Cost Extension,John Ruess,10/2/2023 14:15,NCE,,,,,,,,,,,
23-0967-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,8/7/2024 15:50,,,,,,,,,,,,
23-0967-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Sponsor Approved No Cost Extension,Kristi Hargis Stockdale,8/22/2024 12:50,"No Cost Extension through August 31, 2025",,,,,,,,,,,
23-1362-A0001,Sandra Lee Root-Elledge,AT Act State Grants for Assistive Technology FY 23: Reutilization,Administration for Community Living/Department of Health and Human Services,Administration for Community Living/Department of Health and Human Services,,10/1/2021,9/30/2023,Wyoming Institute for Disabilities WIND,404396,23-1362,,,In Closeout,4/24/2023 19:36,,,Wyoming Institute for Disabilities WIND,0,Original Award,,,Other Sponsored Activity,3.00E+14,,639f3dbb-0920-4300-9d20-f0e68d85453e,,,,,,AT Act State Grants for Assistive Technology FY 23: Reutilization,Award Created,Legacy Loader,4/24/2023 19:36,,,01-ACL,,,,,,,U.S. Federal Government,,
23-1362-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:36,Status set by bulk loader,,,,,,,,,,,
23-1362-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/18/2024 13:12,"The award end date has passed as of 8/30/2024.
 ",,,,,,,,,,,
24-0196-A0001,Brian A Mealor,Research and Extension in Invasive Weed Management,Bayer Corporation US,Bayer Corporation US,,12/22/2015,9/1/2027,R&E Center Sheridan,53000,24-0196,,,Active,8/18/2023 14:53,,,R&E Center Sheridan,0,Original Award,,,,3.00E+14,,63bad698-9297-4ac8-958f-989af2166ba6,,,,,,Research and Extension in Invasive Weed Management,Award Created,Legacy Loader,8/18/2023 14:53,,,05-BAYERUS,,,,,,,,,
24-0196-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,8/18/2023 14:53,Status set by bulk loader,,,,,,,,,,,
23-0204-A0001,Kyle A. Palmquist,Big Sagebrush Plant Community Response to Wildfire and Invasive Annual Grasses in the 21st Century,U.S. Geological Survey/Department of the Interior,U.S. Geological Survey/Department of the Interior,,9/5/2018,9/4/2021,Botany,115658.9,23-0204,,,Closed,4/24/2023 18:29,,,Botany,0,Original Award,,,,3.00E+14,,63d0b8b5-9716-4538-9b21-3af94c964473,,,,,,Big Sagebrush Plant Community Response to Wildfire and Invasive Annual Grasses in the 21st Century,Award Created,Legacy Loader,4/24/2023 18:29,,,01-USGS,,,,,,,,,
23-0204-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:29,Status set by bulk loader,,,,,,,,,,,
24-0228-A0001,,Wyoming Migration Initiative - Knobloch FY20,Knobloch Family Foundation,Knobloch Family Foundation,,7/17/2019,5/31/2020,Wyoming Coop Unit,500000,24-0228,,,Closed,8/18/2023 14:55,,,,0,Original Award,,,,3.00E+14,,642b1981-6d85-49b1-a536-1b0db7a87d23,,,,,,Wyoming Migration Initiative - Knobloch FY20,Award Created,Legacy Loader,8/18/2023 14:55,,,07-KNOBLOCH,,,,,,,,,
24-0228-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,8/18/2023 14:55,Status set by bulk loader,,,,,,,,,,,
23-0500-A0001-0,Paul Edward Hesco,Student Success Services 2020-2021,Department of Education,Department of Education,,9/1/2020,8/31/2023,Student Educational Opportunity,1336230,23-0500,,,Active,4/24/2023 18:47,,,Student Educational Opportunity,0,Original Award,,,,3.00E+14,,6456e62c-508b-445c-8e5a-df44663ddaeb,,,,,,Student Success Services 2020-2021,,,,,,01-DOED,,,,,,,,,
23-0500-A0001-1,Paul Edward Hesco,Student Success Services 2020-2021,Department of Education,Department of Education,,9/1/2020,8/31/2023,Student Educational Opportunity,1336230,23-0500,,,Closed,7/7/2023 14:18,,,Student Educational Opportunity,1,Internal Change ONLY,7/7/2023,Farrell Jean Rapp,,3.00E+14,,6456e62c-508b-445c-8e5a-df44663ddaeb,,,,,,Student Success Services 2020-2021 | DO NOT USE,Award Created,Legacy Loader,4/24/2023 18:47,,,01-DOED,,,,,,,,,
23-0500-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:47,Status set by bulk loader,,,,,,,,,,,
23-0500-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to Closed. Resolution set to: Admin Closed,Farrell Rapp,7/7/2023 14:23,Moved to 24-0016-A0001,,,,,,,,,,,
23-1044-A0001,Danielle Renee Cover,UW Civil Legal Services Clinic and Family & Child Legal Advocacy Clinic 2022,Equal Justice Wyoming Foundation,Equal Justice Wyoming Foundation,,1/1/2022,6/30/2022,College of Law Deans Office,14610,23-1044,,,In Closeout,4/24/2023 19:18,,,College of Law Deans Office,0,Original Award,,,,3.00E+14,,64599e50-2759-4922-b0b0-61e1352d3996,,,,,,UW Civil Legal Services Clinic and Family & Child Legal Advocacy Clinic 2022,Award Created,Legacy Loader,4/24/2023 19:18,,,07-EJWYF,,,,,,,Non-Profit Organizations,,
23-1044-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:18,Status set by bulk loader,,,,,,,,,,,
23-1044-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/7/2023 13:26,Award End date has passed.,,,,,,,,,,,
23-1311-A0001,Eunsook Park,Collaborative Research: Investigation of the molecular and cellular bases of the maize/Puccinia sorghi interaction,National Science Foundation,National Science Foundation,,8/15/2022,7/31/2026,Molecular Biology,762886,23-1311,,,Active,4/24/2023 19:33,,,Molecular Biology,0,Original Award,,,Basic Research,3.00E+14,,646374e3-55f4-4c98-8a35-13a201962ee7,,,,,,Collaborative Research: Investigation of the molecular and cellular bases of the maize/Puccinia sorghi interaction,Award Created,Legacy Loader,4/24/2023 19:33,,,01-NSF,,,,,,,U.S. Federal Government,,
23-1311-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:33,Status set by bulk loader,,,,,,,,,,,
24-0917-A0001,Joseph Dale Holbrook,Colorado Lynx Work ,Colorado Division of Wildlife,U.S. Fish & Wildlife Service/Department of the Interior,,5/29/2024,6/30/2025,Haub School of Environment & Natural Resources,106666,24-0917,106666,,Active,5/30/2024 15:09,,,Haub School of Environment & Natural Resources,0,Original Award,,,Applied Research,3.00E+14,,6468497c-67fa-43a3-a769-dad8794584f6,,Haub School of Environmental & Natural Resources,92753,92753,13913,Colorado Lynx Work,Award Created,Kristi Hargis Stockdale,5/30/2024 15:09,,,01-USFWS,New,,,,,,Other State and Local Governmental Entities,,106666
24-0917-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Hargis Stockdale,5/30/2024 15:24,,,,,,,,,,,,
24-0917-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Hargis Stockdale,5/30/2024 15:24,,,,,,,,,,,,
24-0917-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Hargis Stockdale,5/30/2024 15:24,"Funded $106,666",,,,,,,,,,,
23-0526-A0001,Meredith Eden Minear,"Creating, Testing and Sharing Affordable 3D Printable Models and Visualization Techniques for Use in Active Learning Classrooms",Association for Psychological Science,Association for Psychological Science,,7/10/2020,10/31/2022,Psychology,5000,23-0526,,,Closed,4/24/2023 18:49,,,Psychology,0,Original Award,,,,3.00E+14,,6481bfcf-c4b9-4c6d-ab41-f86000bceb32,,,,,,"Creating, Testing and Sharing Affordable 3D Printable Models and Visualization Techniques for Use in Active Learning Classrooms",Award Created,Legacy Loader,4/24/2023 18:49,,,07-AFPS,,,,,,,,,
23-0526-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:49,Status set by bulk loader,,,,,,,,,,,
23-0424-A0001,Sandra Lee Root-Elledge,Wyoming Assistive Technology Resources 2019-2021:  Reutilization,Administration for Community Living/Department of Health and Human Services,Administration for Community Living/Department of Health and Human Services,,10/1/2019,9/30/2022,Wyoming Institute for Disabilities WIND,390325,23-0424,,,Closed,4/24/2023 18:42,,,Wyoming Institute for Disabilities WIND,0,Original Award,,,,3.00E+14,,6493b71d-8f1b-4669-82de-5f22a117d672,,,,,,Wyoming Assistive Technology Resources 2019-2021:  Reutilization,Award Created,Legacy Loader,4/24/2023 18:42,,,01-ACL,,,,,,,,,
23-0424-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:42,Status set by bulk loader,,,,,,,,,,,
23-1257-A0001-0,Ian M. Abernethy,"Biodiversity Inventory of Red Creek Badlands Wilderness Study Area, Wyoming",Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,1/1/2023,12/31/2024,Wyo Natural Diversity Database,39961.19,23-1257,,,Active,4/24/2023 19:30,,,Wyo Natural Diversity Database,0,Original Award,,,Other Sponsored Activity,3.00E+14,,64a264e2-d1b0-4104-ab6d-ce937a896f1b,,,,,,"Biodiversity Inventory of Red Creek Badlands Wilderness Study Area, Wyoming",,,,,,01-BLM,,,,,,,U.S. Federal Government,,
23-1257-A0001-1,Ian M. Abernethy,"Biodiversity Inventory of Red Creek Badlands Wilderness Study Area, Wyoming",Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,1/1/2023,12/31/2024,Wyo Natural Diversity Database,39961.19,23-1257,,,Active,1/4/2024 13:40,,,Wyo Natural Diversity Database,1,Internal Change ONLY,1/4/2024,Ashlee Marie Kupilik,Applied Research,3.00E+14,,64a264e2-d1b0-4104-ab6d-ce937a896f1b,,,,,,"Biodiversity Inventory of Red Creek Badlands Wilderness Study Area, Wyoming",Award Created,Legacy Loader,4/24/2023 19:30,,,01-BLM,,,,,,,U.S. Federal Government,,
23-1257-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:30,Status set by bulk loader,,,,,,,,,,,
23-1257-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Internal Change ONLY,Ashlee Marie Kupilik,1/4/2024 13:40,Changed/updated Activity Type from Other Sponsored Activity to Applied Research per response to KP inquiry to PI for the HERD survey. Email saved to Warehouse folder.,,,,,,,,,,,
23-0403-A0001,Daniel Bryan Tinker,Ecosystem Response and Recovery Following Severe Bark Beetle and Wildfire- Beaver Creek Fire,Forest Service/Department of Agriculture,Forest Service/Department of Agriculture,,9/24/2019,7/31/2024,Botany,100000,23-0403,,,Closed,4/24/2023 18:41,,,Botany,0,Original Award,,,,3.00E+14,,64c1f9d1-c5e8-4504-b246-92eac665e670,,,,,,Ecosystem Response and Recovery Following Severe Bark Beetle and Wildfire- Beaver Creek Fire,Award Created,Legacy Loader,4/24/2023 18:41,,,01-FSUSDA,,,,,,,,,
23-0403-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:41,Status set by bulk loader,,,,,,,,,,,
23-0403-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/4/2024 15:20,"Waiting for the final award for closeout, but we have recieved a closeout ticket from OSP for this award.",,,,,,,,,,,
23-0403-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Closeout to Closed. Resolution set to: Complete,Bryce William Howard,9/6/2024 15:38,Final reprt is attached to the record and the award is set to be closed.,,,,,,,,,,,
24-0619-A0001,Corrine Noel Knapp,CASC Subaward,"University of Colorado, Boulder",U.S. Geological Survey/Department of the Interior,,10/1/2024,9/30/2025,Haub School of Environment & Natural Resources,13120,24-0619,197247.76,,Closed,10/23/2024 14:41,,,Haub School of Environment & Natural Resources,0,Original Award,,,Applied Research,3.00E+14,,64c5dab7-a9e1-409e-8598-55383e121aee,,Haub School of Environmental & Natural Resources,9080,133527.86,59419.9,"CU-Hosted NC CASC: Advancing the development and delivery of actionable science to help fish, wildlife, water, land and people in the North Central region adapt to a changing environment",Award Created,Kristi Hargis Stockdale,10/23/2024 14:41,,,01-USGS,Renewal,,,,,,U.S. Federal Government,,197247.76
24-0619-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Ericka Sue Smith,10/25/2024 13:39,Started review 10/24/2025,,,,,,,,,,,
24-0619-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Set Up In Progress,Kristi Hargis Stockdale,11/18/2024 17:01,Moved back to Set Up In Progress so I can push to OSP.,,,,,,,,,,,
24-0619-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Ericka Sue Smith,11/20/2024 15:35,Reviewed,,,,,,,,,,,
24-0619-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Closed. Resolution set to: Unable to Negotiate,Kristi Hargis Stockdale,12/3/2024 12:38,Glitch in RW caused us to have to create a new proposal and award.  New RW number is 25-0348,,,,,,,,,,,
23-0453-A0001,Andrea Carneal-Burrows Borowczak,GenCyber Wyoming: Inspiring Cybersecurity Champions,National Security Agency/Department of Defense,National Security Agency/Department of Defense,,5/1/2020,3/31/2022,College of Education Deans Office,58873.35,23-0453,,,Closed,4/24/2023 18:44,,,College of Education Deans Office,0,Original Award,,,,3.00E+14,,650b1b55-5eae-4ac4-86ec-9de2fab8285d,,,,,,GenCyber Wyoming: Inspiring Cybersecurity Champions,Award Created,Legacy Loader,4/24/2023 18:44,,,01-NSA,,,,,,,,,
23-0453-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:44,Status set by bulk loader,,,,,,,,,,,
23-0309-A0001,Jeffrey L. Beck,Response of Greater Sage Grouse to Treatments in Wyoming Big Sagebrush,Wyoming Game and Fish Department,U.S. Fish & Wildlife Service/Department of the Interior,,7/29/2019,9/30/2024,Ecosystem Science & Management,93956.86,23-0309,93956.86,,Active,4/24/2023 18:35,,,Ecosystem Science & Management,0,Original Award,,,Basic Research,3.00E+14,,652ad103-be07-4509-b122-070f333493a1,,"Agriculture, Life Sciences,  & Natural Resources",,,,Response of Greater Sage Grouse to Treatments in Wyoming Big Sagebrush,Award Created,Legacy Loader,4/24/2023 18:35,,,01-USFWS,New,,,,,,Wyoming State Governmental Entities,,93956.86
23-0309-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:35,Status set by bulk loader,,,,,,,,,,,
23-0309-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/7/2023 11:28,Award End date has passed.,,,,,,,,,,,
23-0309-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Closeout to Set Up In Progress,Tashina Lemons,10/20/2023 12:10,"NCE provided, Legacy loaded to 2022. Updates to RW award needed. ",,,,,,,,,,,
23-0309-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Tashina Lemons,10/20/2023 12:15,"NCE provided, Award documents in attachment tab. ",,,,,,,,,,,
23-0701-A0001,Jerod Andrew Merkle,Behavioral plasticity of large mammals in response to heat,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2020,6/30/2022,Zoology & Physiology,4999.96,23-0701,,,Closed,4/24/2023 18:58,,,Zoology & Physiology,0,Original Award,,,,3.00E+14,,657a6a55-ad3f-4e82-a582-d10e36d8e5eb,,,,,,Behavioral plasticity of large mammals in response to heat,Award Created,Legacy Loader,4/24/2023 18:58,,,02-WGAFD,,,,,,,Wyoming State Governmental Entities,,
23-0701-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:58,Status set by bulk loader,,,,,,,,,,,
24-0738-A0001,Kevin L. Monteith,Moose Habitat Project-WGBGLC 2024,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2024,12/31/2028,Haub School of Environment & Natural Resources,40000,24-0738,40000,,Active,6/14/2024 9:16,,,Haub School of Environment & Natural Resources,0,Original Award,,,Applied Research,3.00E+14,,659bd9ef-e9c2-4a4d-8372-5d985c1da086,,Haub School of Environmental & Natural Resources,40000,40000,0,Evaluating the Efficacy of Treatments for Enhancing Moose Habitat 2024 - 2028,Award Created,Farrell Jean Rapp,6/14/2024 9:16,,,02-WGAFD,Competing Continuation,,,,,,Wyoming State Governmental Entities,,40000
24-0738-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Farrell Jean Rapp,7/3/2024 8:22,,,,,,,,,,,,
24-0738-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Farrell Jean Rapp,7/3/2024 8:22,,,,,,,,,,,,
24-0738-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Farrell Jean Rapp,7/3/2024 8:23,Award Rec'd,,,,,,,,,,,
23-1284-A0001,Marcia L. Peterson,Inventory Archaeological Resources in Thirsty Creek Watershed,National Park Service/Department of the Interior,National Park Service/Department of the Interior,,9/1/2022,12/1/2026,Anthropology,90032.09,23-1284,,,Active,4/24/2023 19:31,,,Anthropology,0,Original Award,,,Basic Research,3.00E+14,,65c1f574-f432-4a6c-a1f9-37da0613f02a,,,,,,Inventory Archaeological Resources in Thirsty Creek Watershed,Award Created,Legacy Loader,4/24/2023 19:31,,,01-NPS,,,,,,,U.S. Federal Government,,
23-1284-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:31,Status set by bulk loader,,,,,,,,,,,
23-0862-A0001,Alyssa Danielle McElwain,Alabama Youth Relationship Education (AYRE) Project,Auburn University,,,9/30/2020,9/29/2021,Family & Consumer Sciences,33504.4,23-0862,,,Closed,4/24/2023 19:07,,,Family & Consumer Sciences,0,Original Award,,,Experimental Development,3.00E+14,,65d07c8e-85d5-41db-870c-cd21b24d972d,,,,,,Alabama Youth Relationship Education (AYRE) Project,Award Created,Legacy Loader,4/24/2023 19:07,,,,,,,,,,Institutions of Higher Education,,
23-0862-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 19:07,Status set by bulk loader,,,,,,,,,,,
23-1563-A0001-0,Matthew Kauffman,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use",Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,9/1/2023,8/31/2024,Wyoming Coop Unit,26400.7,23-1563,26400.7,,Active,7/18/2023 7:15,,,Wyoming Coop Unit,0,Original Award,,,Applied Research,3.00E+14,,65d09f8e-3d40-435a-a522-3a17f91c078d,,"Agriculture, Life Sciences,  & Natural Resources",23194,23194,3206.7,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use",,,,,,01-BLM,New,,,,,,U.S. Federal Government,,26400.7
23-1563-A0001-1,Matthew Kauffman,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use",Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,9/1/2023,8/31/2024,Wyoming Coop Unit,26400.7,23-1563,26400.7,,Active,7/19/2023 9:37,,,Wyoming Coop Unit,1,Administrative Change,7/19/2023,Kristi Stockdale,Applied Research,3.00E+14,,65d09f8e-3d40-435a-a522-3a17f91c078d,,"Agriculture, Life Sciences,  & Natural Resources",23194,23194,3206.7,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use FY24",Award Created,Kristi Stockdale,7/18/2023 7:15,,,01-BLM,New,,,,,,U.S. Federal Government,,26400.7
23-1563-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,7/19/2023 7:52,,,,,,,,,,,,
23-1563-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,7/19/2023 7:52,,,,,,,,,,,,
23-1563-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,7/19/2023 7:52,"Funded
",,,,,,,,,,,
23-1563-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Administrative Change,Kristi Stockdale,7/19/2023 9:39,Added FY 24 to the title to distinguish between the existing award in ROAMWyo.,,,,,,,,,,,
23-1143-A0001-0,Camellia Moses Okpodu,GP-EXTRA: Using a Multidisciplinary Approach to Environment Geo-Risk Analysis Careers,National Science Foundation,National Science Foundation,,10/1/2021,11/30/2023,Botany,320443,23-1143,,,Active,4/24/2023 19:23,,,Botany,0,Original Award,,,,3.00E+14,,65d75dc6-897c-423a-b9d1-a151e2ff42de,,,,,,GP-EXTRA: Using a Multidisciplinary Approach to Environment Geo-Risk Analysis Careers,,,,,,01-NSF,,,,,,,U.S. Federal Government,,
23-1143-A0001-1,Camellia Moses Okpodu,GP-EXTRA: Using a Multidisciplinary Approach to Environment Geo-Risk Analysis Careers,National Science Foundation,National Science Foundation,,10/1/2021,11/30/2024,Botany,320443,23-1143,320442,,Active,9/26/2023 14:46,,,Botany,1,Sponsor Approved No Cost Extension,9/26/2023,Farrell Jean Rapp,Basic Research,3.00E+14,,65d75dc6-897c-423a-b9d1-a151e2ff42de,,"Agriculture, Life Sciences,  & Natural Resources",269181,269181,51261,GP-EXTRA: Using a Multidisciplinary Approach to Environment Geo-Risk Analysis Careers,Award Created,Legacy Loader,4/24/2023 19:23,,,01-NSF,Transfer,,,,,,U.S. Federal Government,,320443
23-1143-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Sponsor Approved No Cost Extension,Farrell Jean Rapp,9/26/2023 15:12,Sponsor Approved NCE.,,,,,,,,,,,
23-1143-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: Thomas Abraham Lentner,Inna Willis,7/8/2024 11:57,,,,,,,,,,,,
23-0714-A0001,Jason P. Gigley,Iron regulation of chronic Toxoplasma gondii infection and immunity,National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services,National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services,,3/2/2021,3/31/2023,Molecular Biology,413010,23-0714,,,In Closeout,4/24/2023 18:59,,,Molecular Biology,0,Original Award,,,,3.00E+14,,66165aae-e903-471d-a742-44f857ca7958,,,,,,Iron regulation of chronic Toxoplasma gondii infection and immunity,Award Created,Legacy Loader,4/24/2023 18:59,,,01-NIAID,,,,,,,U.S. Federal Government,,
23-0714-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:59,Status set by bulk loader,,,,,,,,,,,
23-0714-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Farrell Rapp,7/30/2023 13:42,End Date has passed.,,,,,,,,,,,
23-0629-A0001,Kevin L. Monteith,Deer-Ecology Research Project,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2020,6/30/2022,Haub School of Environment & Natural Resources,1984.1,23-0629,,,Closed,4/24/2023 18:54,,,Haub School of Environment & Natural Resources,0,Original Award,,,Basic Research,3.00E+14,,6620c284-9521-4980-8087-c85d990b268b,,,,,,Deer-Ecology Research Project,Award Created,Legacy Loader,4/24/2023 18:54,,,02-WGAFD,,,,,,,,,
23-0629-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,4/24/2023 18:54,Status set by bulk loader,,,,,,,,,,,
24-0245-A0001,,CARES Act Provider Relief Fund,Health Resources and Services Administration/Department of Health and Human Services,Health Resources and Services Administration/Department of Health and Human Services,,4/17/2020,6/30/2022,,114971.81,24-0245,,,Closed,8/18/2023 14:56,,,,0,Original Award,,,,,,6637465e-d16d-4c4a-9afa-e4bc7ad5ecb7,,,,,,CARES Act Provider Relief Fund,Award Created,Legacy Loader,8/18/2023 14:56,,,01-HRSA,,,,,,,,,
24-0245-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Legacy Loader,8/18/2023 14:56,Status set by bulk loader,,,,,,,,,,,
