"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"23-0861-P0004","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello","Wyoming Survey & Analysis Center","Funded","New Mexico Department of Health",NA,"Wyoming Survey & Analysis Center","7/1/2024","6/30/2025","Non-Competing Continuation","23-0861","5/24/2024 11:30:52 AM","65000","6/7/2024 12:00:00 AM",NA,NA,"New Mexico 23-0020  Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Kristi Hargis Stockdale > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Tashina Lemons > Thao Pham McVay > Humphrey John Costello > Ahad Zwooqar > Farrell Jean Rapp > Inna Willis","5/24/2024 11:30:51 AM > 6/4/2024 11:54:06 AM > 6/4/2024 01:06:40 PM > 6/4/2024 01:25:22 PM > 6/4/2024 04:49:04 PM > 6/4/2024 04:49:46 PM > 6/4/2024 04:50:12 PM > 6/25/2024 01:23:38 PM > 6/26/2024 10:04:09 AM > 8/19/2024 12:40:06 PM","After the fact submission. Agreement under review. > Funded.",NA,"6db403a4-00e0-4c88-ac15-f1548aa3f1fc",NA,NA,"6/4/2024 01:05:32 PM > 6/4/2024 01:25:22 PM > 6/4/2024 01:06:40 PM > 6/4/2024 02:21:50 PM > 6/4/2024 02:21:45 PM > 6/4/2024 01:28:06 PM > 6/4/2024 04:50:12 PM","Approved > Certified",NA,"48507.46","16492.54","65000",NA,"Yes",2024-06-26 10:04:09,"2024-08-19 12:40:06","65000","48507.46","16492.54","65000","FY2024","230861A0004",65000,"34MTDC1","Research",0,1,0,0,0,0,0,0,0,1
"23-1001-P0001","New Proposal Growing Beginning Farmers and Ranchers in Wyoming                                               Growing Beginning Farmers and Ranchers in Wyoming",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-1001","4/27/2023 07:34:22 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:34:22 PM > 4/27/2023 07:34:25 PM","Status set by bulk loader",NA,"1d6aeae4-0f94-4503-9729-d3fe57b7ac3d","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231001A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1650-P0001","New insights in precipitation mechanisms in wintertime orographic clouds","Bart Geerts","Atmospheric Science","Submitted to Sponsor","University Corporation for Atmospheric Research","U.S. Department of Energy","Atmospheric Science","9/1/2023","8/31/2026","New","23-1650","6/14/2023 02:25:23 PM","326706","2/23/2023 12:00:00 AM",NA,NA,"New insights in precipitation mechanisms in wintertime orographic clouds based on SAIL observations and simulations: low-level terrain-flow interactions and cloud top generating cells","Proposal Created > Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Bryce Howard > Tashina Lemons > Farrell Jean Rapp","6/14/2023 02:25:23 PM > 6/15/2023 07:43:39 AM > 3/1/2024 03:20:55 PM > 12/23/2024 11:45:17 AM","FY23 data, greensheet attached, items reviewed, moving to submitted to sponsor > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"7d5b49b7-5592-40c1-a1b2-2cfe579ae468","Not Funded",NA,NA,"Not Completed",NA,"236157","90549","326706","A Subrecipient","No",NA,NA,"326706","236157","90549","326706",NA,"231650A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"24-0048-P0001","New tank mixes for leafy surge control","Brian A Mealor","R&E Center Sheridan","Funded","FMC Corporation",NA,"Plant Sciences","4/1/2023","12/30/2027","New","24-0048","7/14/2023 06:14:34 AM","5500","3/1/2023 12:00:00 AM",NA,NA,"Evaluating New Tank Mixes for Leafy Spurge Control","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Kristi Stockdale","7/14/2023 06:14:34 AM > 7/17/2023 07:53:51 AM > 7/17/2023 07:54:00 AM","submitted > funded",NA,"85f69f89-ef32-4f63-885c-d3bb5ec9ba51",NA,NA,"7/14/2023 06:26:47 AM","Cancelled > Not Yet Active",NA,"5238","262","5500",NA,"Yes",2023-07-17 07:53:51,"2023-07-17 07:54:00","5500","5238","262","5500","FY2024","240048A0001",5500,"5TDC",NA,0,1,0,0,0,0,0,0,0,1
"24-1019-P0002","News Media Survey","Michael D. Dorssom","Wyoming Survey & Analysis Center","Funded","Wyoming Community Foundation",NA,"Wyoming Survey & Analysis Center","5/23/2024","9/5/2024","Other","24-1019","8/16/2024 02:51:08 PM","5000","8/23/2024 12:00:00 AM",NA,NA,"News Media Survey","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Closed. Resolution set to: Funded (Project Complete)","Thao Pham McVay > Thomas Abraham Lentner > Kayleigh Ann Edgar","8/16/2024 02:51:07 PM > 8/16/2024 03:19:00 PM > 8/18/2024 06:11:16 PM > 8/23/2024 08:26:32 AM > 8/28/2024 12:04:06 PM","Moving to development to update form fields, update deadline and re-open so that department can attach scope of work > Amendment complete for award 24-1019-A0001-2. TD ticket 21708007",NA,"c877e708-c769-483b-9d45-35b09939199c","Funded (Project Complete)","Passes pre-award checks.  Agreement review of amendment underway.  Approval required for change in funding, scope and project period.","8/23/2024 08:27:04 AM","Approved > Not Completed",NA,"4545.45","454.55","5000",NA,"Yes",NA,NA,"5000","4545.45","454.55","5000",NA,"241019A0002",NA,NA,"Research",0,1,0,0,0,0,0,0,0,1
"24-0432-P0001","Next Generation Warning System","Christina Kuzmych","Wyoming Public Media","Funded","Corporation for Public Broadcasting",NA,"Wyoming Public Media","1/1/2024","9/30/2025","New","24-0432","9/22/2023 08:54:41 AM","3500000","10/27/2023 12:00:00 AM",NA,NA,"CPB: FY24 - Next Generation Warning System - KUWR","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Sandra L. Roller > Bryce William Howard > Tashina Lemons > Christina Kuzmych > Farrell Jean Rapp","9/22/2023 08:54:41 AM > 9/22/2023 03:39:45 PM > 10/20/2023 04:17:21 PM > 10/20/2023 04:30:27 PM > 10/25/2023 01:33:36 PM > 10/25/2023 01:41:40 PM > 10/25/2023 02:09:19 PM > 10/25/2023 02:12:15 PM > 10/25/2023 05:50:08 PM > 10/27/2023 01:55:30 PM > 1/2/2025 04:56:36 PM","updates needed. > Updates needed > Proposal was submitted to sponsor 10/26/23 > Invited to Round 2. See P0002.",NA,"1966c328-4879-4cc6-ab69-6c38c8a376f8",NA,NA,"10/25/2023 05:50:08 PM > 10/25/2023 02:20:04 PM > 10/25/2023 02:19:48 PM > 10/25/2023 02:12:15 PM > 10/25/2023 02:11:17 PM > 10/25/2023 01:33:43 PM > 10/25/2023 01:11:19 PM","Approved > Certified > Cancelled",NA,"3500000","0","350000",NA,"Yes",2023-10-27 13:55:30,"2025-01-02 16:56:36","3500000","3500000","0","350000","FY2024","240432A0001",NA,NA,"Research & Economic Development",0,1,0,0,0,0,0,0,0,1
"23-1066-P0001","Next Steps Assessment Clinic for the Wyoming Department of Education Wyoming Project for Children and Youth Who are Deaf-Blind",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1066","4/27/2023 07:38:51 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:38:50 PM > 4/27/2023 07:38:54 PM","Status set by bulk loader",NA,"a28f9850-8a42-444d-8691-9f5b7bbde05a","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231066A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0695-P0001","Next-Generation Monitoring and Prediction System for Available  Solar Energy in the U.S. Mountain West","Masanori Saito","Atmospheric Science","Submitted to Sponsor","U.S. Department of Energy",NA,"Atmospheric Science","1/1/2025","12/31/2028","New","24-0695","1/16/2024 10:12:41 AM","999602","2/28/2024 12:00:00 AM",NA,NA,"Next-Generation Monitoring and Prediction System for Available  Solar Energy in the U.S. Mountain West","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Assigned to SP Proposal Administrator: John Ruess > Unassigned from SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Masanori Saito > Thomas Abraham Lentner > John Ruess > Farrell Jean Rapp","1/16/2024 10:12:41 AM > 1/17/2024 09:58:19 AM > 2/5/2024 09:42:25 AM > 2/9/2024 10:36:30 AM > 2/27/2024 10:08:08 AM > 2/27/2024 10:09:37 AM > 2/27/2024 02:38:09 PM > 2/28/2024 04:25:15 PM > 8/22/2024 02:36:41 PM","see confirmation > Not selected for funding.",NA,"e3e616c0-4fea-4871-babc-805289cd74ed","Not Funded",NA,"2/27/2024 10:08:15 AM > 2/27/2024 10:09:37 AM > 2/27/2024 02:30:38 PM > 2/27/2024 02:36:32 PM > 2/27/2024 02:38:09 PM","Approved > Certified",NA,"713102","286500","999602",NA,"Yes",NA,NA,"999602","713102","286500","999602",NA,"240695A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"23-1782-P0001","NextGen Growing Season: Preparing BIPOC Students to Enrich US Food and Agriculture","Tarissa Spoonhunter","Haub School of Environment & Natural Resources","Submitted to Sponsor","ADD NEW","National Institute of Food and Agriculture/Department of Agriculture","Haub School of Environment & Natural Resources","9/1/2023","8/31/2028","New","23-1782","6/23/2023 04:22:26 PM","999995","11/15/2022 12:00:00 AM",NA,"Tuskegee University","NextGen Growing Season: Preparing BIPOC Students to Enrich US Food and Agriculture","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Form was edited in 'Submitted to Sponsor' status > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > Thomas Abraham Lentner > Farrell Jean Rapp","6/23/2023 04:22:26 PM > 3/14/2024 04:51:58 PM > 12/23/2024 10:36:11 AM > 12/23/2024 10:36:23 AM","Submitted in October 2022.  Unable to locate submission correspondence. > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"0c96a9a5-daf9-464d-8e31-842018868d3c","Not Funded",NA,NA,"Not Completed",NA,"835071","164924","999995","A Subrecipient","No",NA,NA,"999995","835071","164924","999995",NA,"231782A0001",NA,NA,"Haub School of Environment & Natural Resources",0,0,0,1,0,0,0,0,0,1
"23-0634-P0001","Nitrogen Limitation in High-Elevation Hay Meadows: Understanding Processes for Improved Agroecosystem Health, Function, and Management",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0634","4/27/2023 07:08:47 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:08:47 PM > 4/27/2023 07:08:50 PM","Status set by bulk loader",NA,"236361f3-c247-4519-8b91-8361dc0b01fa","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230634A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1432-P0001","Nitrogen Mineralization in High-Elevation Hay Meadow Soils for Improved Fertility Management",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1432","4/27/2023 08:04:42 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:04:42 PM > 4/27/2023 08:04:45 PM","Status set by bulk loader",NA,"9bb71c1c-8c8d-4c47-8aa5-815e00ecefbc","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231432A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-1069-P0001","Non-Soil Fumigation Manual","Jeffrey Michael Edwards","UW Extension","Not Submitted to Sponsor","eXtension Foundation","Environmental Protection Agency","UW Extension","1/1/2024","12/31/2024",NA,"24-1069","6/4/2024 11:46:14 AM","18685","6/14/2024 12:00:00 AM",NA,NA,"Non-Soil Fumigation Manual","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Thomas Abraham Lentner","6/4/2024 11:46:14 AM > 6/4/2024 11:50:10 AM > 6/10/2024 02:27:24 PM","Duplicate of 24-0559-P0001",NA,"f5cbc645-9ad1-415f-8140-2046808462fe","PI Abandoned",NA,NA,"Not Completed",NA,"13826.9","4858.1",NA,"A Subrecipient","No",NA,NA,"18685","13826.9","4858.1",NA,NA,"241069A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,0,0,0,0,0,0
"24-0849-P0001","Non-Vinsol Resin Air Entraining Concrete Admixtures in SD","Kam Weng Ng","Civil & Architectural Engineering & Construction Management","Submitted to Sponsor","ADD NEW",NA,"Civil & Architectural Engineering & Construction Management","7/1/2024","12/31/2025","New","24-0849","2/25/2024 11:32:47 AM","2e+05","3/20/2024 12:00:00 AM",NA,"South Dakota Department of Transportation","Performance and Use of Non-Vinsol Resin Air Entraining Concrete Admixtures in South Dakota","Proposal Created > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Unassigned from SP Proposal Administrator: Kasi Smart > Assigned to SP Proposal Administrator: Courtney Peatross > Status was changed from: Approved to Submitted to Sponsor","Kam Weng Ng > Courtney Peatross > ChooiKim Lau > Farrell Jean Rapp","2/25/2024 11:32:47 AM > 2/28/2024 06:47:11 AM > 3/3/2024 02:18:48 PM > 3/4/2024 08:26:07 AM > 3/4/2024 08:26:24 AM > 3/4/2024 08:32:55 AM > 3/7/2024 07:33:06 AM > 3/7/2024 03:31:14 PM > 3/12/2024 09:27:53 AM > 3/12/2024 09:27:58 AM > 3/14/2024 07:11:33 AM","Updating credit split. > PI submitted to sponsor via e-mail on 03/13/2024.",NA,"4a23387c-680e-4680-a71f-83d2cdd5e6ba",NA,"Routing for approvals.","3/4/2024 08:26:35 AM > 3/7/2024 07:33:06 AM > 3/4/2024 08:32:55 AM > 3/7/2024 12:08:26 PM > 3/7/2024 12:08:21 PM > 3/7/2024 01:17:57 PM > 3/7/2024 03:31:14 PM","Approved > Certified",NA,"143497","56503","2e+05",NA,"Yes",2024-03-14 07:11:33,NA,"200000","143497","56503","200000","FY2024","240849A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"23-0614-P0001","Noncommutative Distributions and Limit Theorems in Free Probability, and their Applications",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0614","4/27/2023 07:07:27 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:07:26 PM > 4/27/2023 07:07:30 PM","Status set by bulk loader",NA,"d79d16fb-ddcc-49d2-a318-fdb64d76cf35","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230614A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"25-0043-P0001","Norcross NSF Collaboration","Anna Lisa D. Chalfoun","Wyoming Coop Unit","Approved","National Science Foundation",NA,"Wyoming Coop Unit","10/1/2025","9/30/2030","New","25-0043","8/1/2024 09:46:11 AM","408521","1/31/2025 12:00:00 AM",NA,NA,"The impact of human-induced fear on the biodiversity and processes in forest ecosystems","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Unassigned from SP Proposal Administrator: Thomas Abraham Lentner > Assigned to SP Proposal Administrator: Kayleigh Ann Edgar > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved","Vanessa Danielle Simoneau > Inna Willis > Janissa Marie Analissia Martinez > Kayleigh Ann Edgar > Anna Lisa D. Chalfoun > Farrell Jean Rapp","8/1/2024 09:46:11 AM > 8/1/2024 01:26:39 PM > 10/14/2024 09:58:37 AM > 10/14/2024 09:58:43 AM > 1/30/2025 09:06:49 AM > 1/30/2025 09:14:05 AM > 1/30/2025 02:16:42 PM",NA,NA,"099cbb33-010f-4798-a759-f0a2be82156c",NA,"Passes pre-award checks
","1/30/2025 09:11:01 AM > 1/30/2025 09:14:05 AM > 1/30/2025 12:34:29 PM > 1/30/2025 09:54:31 AM > 1/30/2025 02:16:43 PM","Approved > Certified",NA,"298503","110018","408521","A collaborative proposal","No",NA,NA,"408521","298503","110018","408521",NA,"250043A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,0,0,0,0,1,0
"23-1911-P0001","North Bighorn Mule Deer","Matthew Kauffman","Wyoming Coop Unit","Funded","Wyoming Game and Fish Department",NA,"Wyoming Coop Unit","7/1/2023","12/31/2025","New","23-1911","6/29/2023 11:40:15 AM","10000","1/31/2023 12:00:00 AM",NA,NA,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Tashina Lemons > Farrell Jean Rapp","6/29/2023 11:40:14 AM > 8/10/2023 11:48:38 AM > 8/10/2023 11:48:45 AM","Legacy. > Awarded",NA,"71b1b747-25aa-432a-af91-b71bf823c6b9",NA,NA,"8/4/2023 03:23:07 PM","Cancelled > Not Yet Active",NA,"10000","0","10000",NA,"Yes",2023-08-10 11:48:38,"2023-08-10 11:48:45","10000","10000","0","10000","FY2024","231911A0001",10000,"NONE","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-1936-P0001","North Bighorn Mule Deer Movements","Matthew Kauffman","Wyoming Coop Unit","Submitted to Sponsor","Bureau of Land Management/Department of the Interior",NA,"Wyoming Coop Unit","9/1/2022","8/31/2024","Supplement","23-1936","6/30/2023 09:09:00 AM","75000","7/22/2022 12:00:00 AM",NA,NA,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Not Funded","Tashina Lemons","6/30/2023 09:08:59 AM > 7/3/2023 01:25:46 PM","Letter of decline in attachment tab, FY23 legacy data submission. Submitted to sponsor on 7/22/22",NA,"192aeffc-a895-4f54-8b17-85ffdd15c871","Not Funded",NA,"7/3/2023 01:23:22 PM","Cancelled > Not Yet Active",NA,"64577.3","10422.7","75000",NA,"Yes",NA,NA,"75000","64577.3","10422.7","75000",NA,"231936A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"23-1563-P0001","North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use","Matthew Kauffman","Wyoming Coop Unit","Funded","Bureau of Land Management/Department of the Interior",NA,"Wyoming Coop Unit","9/1/2023","8/31/2024","New","23-1563","6/5/2023 03:33:48 PM","26400","4/10/2023 12:00:00 AM",NA,NA,"North Bighorn Mule Deer Movements, Seasonal Ranges and Habitat Use","Proposal Created > Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Bryce Howard > Tashina Lemons > Farrell Rapp","6/5/2023 03:33:48 PM > 6/12/2023 02:03:05 PM > 7/6/2023 01:01:44 PM > 7/6/2023 01:02:00 PM","Greensheet. Legacy. > Rec'd Award 07.06.2023",NA,"7702f5ed-f936-4728-9e2c-9a65309dc990",NA,NA,"7/6/2023 12:58:24 PM","Cancelled > Not Yet Active",NA,"22870","3207","26400",NA,"Yes",2023-07-06 13:01:44,"2023-07-06 13:02:00","26400","22870","3207","26400","FY2024","231563A0001",26400.46,"175MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-0828-P0001","North Country Trail Construction",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0828","4/27/2023 07:22:23 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:22:23 PM > 4/27/2023 07:22:26 PM","Status set by bulk loader",NA,"7ae3116c-c771-46ea-9fd1-69f3cd193641","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230828A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1743-P0001","North Dakota Chronic Disease Evaluation","Laran Henry Despain","Wyoming Survey & Analysis Center","Funded","ADD NEW",NA,"Wyoming Survey & Analysis Center","6/30/2023","6/29/2024","Renewal","23-1743","6/22/2023 02:15:44 PM","102473","6/29/2023 12:00:00 AM",NA,"North Dakota Department of Health and Human Services","North Dakota Chronic Disease evaluation FY 2024","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Ashley Schnell > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Laran Despain > Tashina Lemons > Farrell Jean Rapp > Ashley Schnell","6/22/2023 02:15:44 PM > 6/22/2023 03:31:50 PM > 6/23/2023 01:15:36 PM > 6/27/2023 10:12:12 AM > 6/27/2023 11:05:32 AM > 6/28/2023 08:34:32 AM > 6/28/2023 08:34:42 AM","No formal proposal, partially signed agreement submitted to sponsor > Award received",NA,"9e21b7d0-b317-4bb7-991e-cb137639bec9",NA,"I have reviewed and approve this admendment for the North Dakota Chronic Disease Evaluation for FY 2024.","6/27/2023 11:05:32 AM > 6/27/2023 10:47:28 AM > 6/27/2023 10:22:11 AM > 6/27/2023 10:12:12 AM > 6/27/2023 09:58:08 AM > 6/27/2023 09:48:03 AM","Approved > Certified",NA,"76472","26001","102473",NA,"Yes",2023-06-28 08:34:32,"2023-06-28 08:34:42","102473","76472","26001","102473","FY2023","231743A0001",82562.11,"34TDC","Research",0,1,0,0,0,0,0,0,0,1
"23-1171-P0001","North Dakota Community Readiness Survey 2022",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1171","4/27/2023 07:46:05 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:46:05 PM > 4/27/2023 07:46:08 PM","Status set by bulk loader",NA,"ce3383be-facc-4733-a450-0552c90794f7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231171A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0343-P0001","North Dakota Oral Health Program Evaluation","Sandra J. Biller","Wyoming Survey & Analysis Center","Funded","North Dakota Department of Health and Human Services",NA,"Wyoming Survey & Analysis Center","9/1/2023","8/31/2024","Non-Competing Continuation","24-0343","8/25/2023 02:09:38 PM","27875","5/31/2023 12:00:00 AM",NA,NA,"North Dakota Oral Health Program Evaluation 2023-2024","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Farrell Jean Rapp","8/25/2023 02:09:38 PM > 8/25/2023 02:15:47 PM > 8/25/2023 02:16:00 PM","Legacy. Greensheet. > Agreement under review.",NA,"64106f6b-7cad-41a7-b8e5-1985107fc938",NA,NA,"8/25/2023 02:15:25 PM","Cancelled > Not Yet Active",NA,"20802.22","7072.76","27875",NA,"Yes",2023-08-25 14:15:47,"2023-08-25 14:16:00","27875","20802.22","7072.76","27875","FY2024","240343A0001",27875,"34TDC","Research",0,1,0,0,0,0,0,0,0,1
"23-1291-P0001","North Dakota Oral Health Program Evaluation 2022-2023",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1291","4/27/2023 07:55:04 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:55:04 PM > 4/27/2023 07:55:07 PM","Status set by bulk loader",NA,"2ba3bbdf-1b02-4fa1-bfc0-520ee569ebc8","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231291A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-1065-P0001","North Fork Tincup Creek Process-Based Restoration Project Phase 2","Tyler Joe Carroll","Haub School of Environment & Natural Resources","Funded","ADD NEW",NA,"Haub School of Environment & Natural Resources","7/1/2024","12/31/2024","New","24-1065","6/3/2024 08:54:00 AM","15000","6/21/2024 12:00:00 AM",NA,"Trout Unlimited Salt River Chapter","North Fork Tincup Creek Process-Based Restoration Project Phase 2","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Submitted to Sponsor to Funded","Tyler Joe Carroll > Thomas Abraham Lentner > Farrell Jean Rapp > Inna Willis > Kristi Hargis Stockdale","6/3/2024 08:53:59 AM > 6/3/2024 09:01:54 AM > 6/11/2024 02:39:55 PM > 6/11/2024 02:40:27 PM > 6/11/2024 03:19:19 PM > 6/11/2024 03:28:14 PM > 6/25/2024 12:15:14 PM > 6/25/2024 12:15:23 PM > 9/12/2024 10:14:42 AM","Updating form fields > Submitted to sponsor > Funded.",NA,"5d20f86e-1842-4656-8b84-6f59c77d072c",NA,"Passes pre-award checks.  Ready for review and approval","6/11/2024 02:40:46 PM > 6/11/2024 03:19:19 PM > 6/11/2024 03:22:29 PM > 6/11/2024 03:22:00 PM > 6/11/2024 03:28:14 PM","Approved > Certified",NA,"14286","714","15000",NA,"Yes",2024-06-25 12:15:14,"2024-09-12 10:14:42","15000","14286","714","15000","FY2024","241065A0001",15000,"5TDC","Haub School of Environment & Natural Resources",0,1,0,0,0,0,0,0,0,1
