"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Status","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Submitted to Sponsor","Under Consideration","Not Funded","Transfer","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date","Matched_Pattern","Project Manager","Joining Date","Total Start Up Funds","Months_to_submit_first_proposal","Months_to_submit_first_federal_grant"
"25-0176-P0001","Examining the perceptions of harm reduction among peer recovery coaches and recovery organizations in Wyoming","Lauren Rose Gilbert","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Kinesiology & Health","12/1/2024","11/30/2025","New",NA,"25-0176","Kinesiology & Health","Institutions of Higher Education",NA,"9/27/2024 02:04:49 pm","55800","11/14/2024","Examining the perceptions of harm reduction among peer recovery coaches and recovery organizations in Wyoming","Proposal Created","Lauren Rose Gilbert","9/27/2024 02:04:49 pm",NA,NA,NA,NA,"10/30/2024 01:06:00 pm","Approved",NA,"38616","17184",55800,"A Subrecipient","No",2024-11-15 15:16:11,NA,"FY2025","250176A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2023-11-14,2023-11-14,"Lauren.*Gilbert","Lauren Gilbert",2023-08-22,"  73331.50",2.8,2.8
"25-0337-P0001","Expanding Industrial Markets for Mass Timber through Novel Insulated CLT Panels","Garrett Andrew Tatum","Submitted to Sponsor","Forest Service/Department of Agriculture",NA,"Civil & Architectural Engineering & Construction Management","8/18/2025","8/17/2027","New",NA,"25-0337","Civil & Architectural Engineering & Construction Management","U.S. Federal Government",NA,"11/21/2024 02:26:36 pm","121751","12/11/2024","Expanding Industrial Markets for Mass Timber through Novel Insulated CLT Panels","Proposal Created","Garrett Andrew Tatum","11/21/2024 02:26:36 pm",NA,NA,NA,"Passes pre-award checks.  Requires 1:1 cost match.  Cash match from 3rd party, unrecovered indirect and faculty start up.","11/26/2024 12:32:17 pm","Approved",122275,"88624","33128",244027,NA,"Yes",2024-12-16 17:53:10,NA,"FY2025","250337A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-09,2024-10-09,"Garrett.*Tatum","Garrett Tatum",2024-08-20," 200000.00",1.7,1.7
"24-1078-P0001","Experiential Data Science Across Wyoming","Dane Robert Taylor","Not Funded","National Science Foundation",NA,"School of Computing","7/1/2025","6/30/2028","New",NA,"24-1078","School of Computing","U.S. Federal Government",NA,"6/10/2024 04:53:38 pm","1107431","6/21/2024","DSC: Experiential Data Science Across Wyoming","Proposal Created","Dane Robert Taylor","6/10/2024 04:53:38 pm",NA,NA,"Not Funded",NA,"6/18/2024 04:17:33 pm","Approved",NA,"904210","203221",1107431,NA,"Yes",2024-06-21 15:40:53,NA,"FY2024","241078A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2023-08-18,2023-08-18,"Dane.*Taylor","Dane Taylor",2023-08-22," 183642.98",-0.1,-0.1
"24-0801-P0002","Exploring the fit of naloxone distribution and trainings in Black communities","Lauren Rose Gilbert","Funded","The Regents of the University of California, San Francisco","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","Kinesiology & Health","7/1/2024","4/30/2025","Renewal",NA,"24-0801","Kinesiology & Health","Institutions of Higher Education","Institution of Higher Education - State","10/3/2024 10:57:20 am","16482","10/11/2024","Exploring the fit of naloxone distribution and trainings in Black communities","Proposal Created","Kara Ann Enyeart","10/3/2024 10:57:19 am",NA,NA,NA,"Passes pre-award checks.  IDC limited to 8% training rate by NIH FOA.  New subaward on existing project.  See 24-0801-P0001 for previous subaward on project.","10/11/2024 11:23:40 am","Approved",NA,"15428","1054",16482,"A Subrecipient","No",2024-10-15 19:58:20,2025-02-04 09:09:31,"FY2025","240801A0002","ACTIVE",16482.24,"8MTDC1","College of Health Sciences",1,0,0,0,0,1,2023-11-14,2023-11-14,"Lauren.*Gilbert","Lauren Gilbert",2023-08-22,"  73331.50",2.8,2.8
"24-0511-P0001","Exploring the needs and opportunities to address the drug overdose crisis in underserved populations in Wyoming","Lauren Rose Gilbert","Not Funded","National Institutes of Health/Department of Health and Human Services",NA,"Kinesiology & Health","10/1/2024","9/30/2026","New",NA,"24-0511","Kinesiology & Health","U.S. Federal Government",NA,"10/24/2023 12:09:05 pm","100000","11/16/2023","Exploring the needs and opportunities to address the drug overdose crisis in underserved populations in Wyoming","Proposal Created","Tashina Lemons","10/24/2023 12:09:05 pm",NA,NA,"Not Funded",NA,"11/10/2023 03:40:24 pm","Cancelled",NA,"100000","0",1e+05,NA,"Yes",2023-11-30 17:39:49,NA,"FY2024","240511A0001",NA,NA,NA,"College of Health Sciences",0,0,0,1,0,1,2023-11-14,2023-11-14,"Lauren.*Gilbert","Lauren Gilbert",2023-08-22,"  73331.50",2.8,2.8
"24-0433-P0001","Food Byproduct - Biomedical Applications","Roberta Maia Sabino","Not Funded","USDA Foreign Agricultural Service/Department of Agriculture",NA,"Chemical & Biomedical Engineering","5/1/2024","4/30/2026","New",NA,"24-0433","Chemical & Biomedical Engineering","U.S. Federal Government",NA,"9/22/2023 11:18:56 am","299970","10/5/2023","Investigation of the Biomedical Potential of Biopolymers Derived from a Sugar Beet By-Product","Proposal Created","Roberta Maia Sabino","9/22/2023 11:18:56 am",NA,NA,"Not Funded",NA,"10/4/2023 02:24:01 pm","Approved",NA,"221195","78775",299982,NA,"Yes",2023-10-05 17:42:56,NA,"FY2024","240433A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2023-10-05,2023-10-05,"Roberta.*Maia","Roberta Maia",2023-08-22," 256000.00",1.5,1.5
"25-0173-P0001","Forage Barley variety testing","Clint William Beiermann","Submitted to Sponsor","Montana State University",NA,"Plant Sciences","12/1/2024","11/30/2029","Other",NA,"25-0173","Plant Sciences","Institutions of Higher Education",NA,"9/26/2024 10:55:19 am","19800","10/21/2024","Forage barley variety testing","Proposal Created","Clint William Beiermann","9/26/2024 10:55:18 am",NA,NA,NA,NA,"1/15/2025 02:40:39 pm","Approved",NA,"18858","942",19800,NA,"Yes",2025-01-23 15:26:14,NA,"FY2025","250173A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-05-01,2024-05-01,"Clint.*Beiermann","Clint Beiermann",2023-01-17," 125000.00",15.7,15.7
"24-0911-P0001","HHS Secondary Analyses of Head Start Data","Amy Encinger","Funded","The Administration for Children and Families/Department of Health and Human Services",NA,"School of Teacher Education","9/30/2024","3/29/2026","New",NA,"24-0911","School of Teacher Education","U.S. Federal Government",NA,"3/28/2024 02:10:06 pm","96517","4/26/2024","Encinger Secondary Analyses of Head Start Data HHS Administration for Children and Families","Proposal Created","Thomas Abraham Lentner","3/28/2024 02:10:05 pm",NA,NA,NA,NA,"4/23/2024 04:25:09 pm","Approved",NA,"68469","28048",96517,NA,"Yes",2024-04-29 23:19:49,2024-09-09 17:26:33,"FY2024","240911A0001","ACTIVE",96517,"445MTDC1","College of Education",1,0,0,0,0,1,2024-04-29,2024-04-29,"Amy.*Encinger","Amy Encinger",2024-08-20,"   8985.00",-3.8,-3.8
"25-0391-P0001","HIEH: Historical Insights Engine for Humanities","Shivanand Venkanna Sheshappanavar","Submitted to Sponsor","National Endowment for the Humanities",NA,"Electrical Engineering & Computer Science","9/1/2025","8/31/2027","New",NA,"25-0391","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"12/27/2024 02:30:07 am","149661","1/9/2025","HIEH: Historical Insights Engine for Humanities","Proposal Created","Shivanand Venkanna Sheshappanavar","12/27/2024 02:30:06 am",NA,NA,NA,"Passes pre-award checks.","1/3/2025 02:40:48 pm","Approved",NA,"110943","38718",149661,NA,"Yes",2025-01-10 19:53:11,NA,"FY2025","250391A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-09-18,2024-09-18,"Shivanand.*Venkanna","Shivanand Venkanna",2023-08-22," 164828.00",13.1,13.1
"23-0446-P0002","Hazardous Materials Commodity Flow Study 2019-2021","Yu Song","Funded","Wyoming Office of Homeland Security",NA,"Civil & Architectural Engineering & Construction Management","10/1/2022","9/30/2025","New",NA,"23-0446","Civil & Architectural Engineering & Construction Management","U.S. Federal Government",NA,"6/26/2024 01:06:23 pm","40000","8/27/2024","Hazardous Materials Commodity Flow Study 2022-2025","Proposal Created","Inna Willis","6/26/2024 01:06:23 pm",NA,NA,NA,"IDC rate is 20% TDC  for state agencies.  Cost share budget is needed","8/25/2024 01:28:19 pm","Declined",10000,"33333","6667",50000,NA,"Yes",2024-09-04 19:00:25,2024-09-25 16:04:35,"FY2025","230446A0002","ACTIVE",120000,"20TDC","College of Engineering & Physical Sciences",1,0,0,0,0,1,2024-09-04,2024-09-04,"Yu.*Song","Yu Song",2023-08-22,"  66601.00",12.6,12.6
"25-0118-P0001","Helicity-resolved magneto-Raman microscopy for topological chiral phonon studies in 2D magnet-semiconductor lateral multijunction","Yu-Tsung Tsai","Submitted to Sponsor","National Science Foundation",NA,"Physics & Astronomy","4/9/2025","4/8/2027","New",NA,"25-0118","Physics & Astronomy","U.S. Federal Government",NA,"9/6/2024 05:04:13 pm","199928","10/9/2024","ERI: Helicity-resolved magneto-Raman microscopy for topological chiral phonon studies in 2D magnet-semiconductor lateral multijunction","Proposal Created","Shawna M. McBride","9/6/2024 05:04:13 pm",NA,NA,NA,"Passes pre-award checks.","10/3/2024 04:38:20 pm","Approved",NA,"145722","54206",199928,NA,"Yes",2024-10-04 15:35:41,NA,"FY2025","250118A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-04,2024-10-04,"Yu-Tsung.*Tsai","Yu-Tsung Tsai",2024-01-09," 595000.00",9,9
"25-0076-P0001","Honey Bee Commensal as a Neisseria gonorrhoeae Vaccine.","David W Pascual","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Veterinary Science","4/1/2025","3/31/2030","New",NA,"25-0076","Veterinary Science","U.S. Federal Government",NA,"8/21/2024 09:32:52 am","3244874","10/7/2024","Honey Bee Commensal as a Neisseria gonorrhoeae Vaccine","Proposal Created","John Ruess","8/21/2024 09:32:51 am",NA,NA,NA,NA,"10/3/2024 09:56:52 am","Approved",NA,"2599537","645337",3244874,NA,"Yes",2024-10-04 17:20:57,NA,"FY2025","250076A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"25-0373-P0001","How does amphibian movement and density after sudden habitat loss influence the prevalence of chytridiomycosis?","Gabriel Maturani Barrile","Submitted to Sponsor","Morris Animal Foundation",NA,"Zoology & Physiology","7/1/2025","6/30/2028","New",NA,"25-0373","Zoology & Physiology","Non-Profit Organizations",NA,"12/12/2024 03:32:14 pm","108000","1/22/2025","How does amphibian movement and density after sudden habitat loss influence the prevalence of chytridiomycosis?","Proposal Created","John Ruess","12/12/2024 03:32:14 pm",NA,NA,NA,NA,"1/15/2025 03:49:47 pm","Approved",NA,"100000","8000",108000,NA,"Yes",2025-01-22 21:11:05,NA,"FY2025","250373A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-11-22,NA,"Gabriel.*Barrile","Gabriel Barrile",2022-09-06," 200000.00",26.9,NA
"25-0094-P0001","Hypersonic Step","Koen Jasper Groot","Submitted to Sponsor","University of Arizona","Air Force Office of Scientific Research/Department of Defense","Mechanical Engineering","7/1/2025","6/30/2028","New",NA,"25-0094","Mechanical Engineering","Institutions of Higher Education",NA,"8/28/2024 10:42:57 am","447850","1/10/2025","The impact of steps and gaps on crossflow instability in hypersonic boundary layers","Proposal Created","Farrell Jean Rapp","8/28/2024 10:42:56 am",NA,NA,NA,"passes pre-award checks","12/6/2024 04:18:56 pm","Approved",NA,"334027","113823",447850,"A Subrecipient","No",2024-12-11 21:01:30,NA,"FY2025","250094A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-12-11,NA,"Koen.*Groot","Koen Groot",2024-08-20,"  55090.00",3.8,NA
"25-0142-P0001","IMRAST: Rapid Identification of Bacteria and Antimicrobial Resistance Testing for Food Safety","Bledar Bisha","Submitted to Sponsor","ADD NEW","National Institute of Food and Agriculture/Department of Agriculture","Animal Science","1/1/2025","8/29/2025","New",NA,"25-0142","Animal Science","Industry",NA,"9/13/2024 04:09:33 pm","56663","9/17/2024","IMRAST: Rapid Identification of Bacteria and Antimicrobial Resistance Testing for Food Safety","Proposal Created","Bledar Bisha","9/13/2024 04:09:32 pm",NA,NA,NA,"Passes pre-award checks.  SBIR subaward.","9/17/2024 10:25:55 am","Approved",NA,"41140","15522",56663,"A Subrecipient","No",2024-09-17 21:08:15,NA,"FY2025","250142A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-06-21,2023-06-21,"Bledar.*Bisha","Bledar Bisha",2013-08-20,"  67500.00",119.7,119.7
"24-1112-P0001","Immunity and Protection in a Brucella melitensis Challenge Study in Pregnant Goats,","David W Pascual","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Veterinary Science","5/1/2025","4/30/2028","Resubmission",NA,"24-1112","Veterinary Science","U.S. Federal Government",NA,"6/27/2024 01:23:29 pm","650000","8/8/2024","Immunity and Protection in a Brucella melitensis Challenge Study in Pregnant Goats,","Proposal Created","John Ruess","6/27/2024 01:23:28 pm",NA,NA,NA,NA,"8/5/2024 04:14:04 pm","Approved",NA,"482518","167482",650000,NA,"Yes",2024-08-07 21:53:27,NA,"FY2025","241112A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"25-0563-P0001","Impacts of a seaweed-based supplement on productive performance, ruminal fermentation, health parameters, and methane emissions of finishing lambs","Paulo De Mello Tavares Lima","Under Consideration","ADD NEW",NA,"Animal Science","2/28/2025","2/28/2026","New",NA,"25-0563","Animal Science","Industry",NA,"2/20/2025 04:07:41 pm","37435","2/25/2025","Impacts of a seaweed-based supplement on productive performance, ruminal fermentation, health parameters, and methane emissions of finishing lambs","Proposal Created","Paulo De Mello Tavares Lima","2/20/2025 04:07:41 pm",NA,NA,NA,"Passes pre-award checks.  Routed as fixed price industry contract.  If leadership should decide to limit indirect costs later, it will have no impact on total funding provided by sponsor.  IDC waiver is under consideration by REDD senior leadership.","3/4/2025 10:20:31 am","Approved",NA,"25906","11528",37435,NA,"Yes",2025-03-07 15:16:31,NA,"FY2025","250563A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,0,1,2023-12-06,2023-12-06,"Paulo.*De","Paulo De",2023-01-11," 175000.00",11,11
"25-0589-P0001","Improved Rheological Methods to Understand the Spatial and Temporal Curing Behavior of Photopolymers","Daniel Andrew Rau","Submitted to Sponsor","American Chemical Society",NA,"Mechanical Engineering","9/1/2026","8/31/2027","New",NA,"25-0589","Mechanical Engineering","Non-Profit Organizations",NA,"3/3/2025 08:38:32 am","110000","3/7/2025","Improved Rheological Methods to Understand the Spatial and Temporal Curing Behavior of Photopolymers","Proposal Created","Daniel Andrew Rau","3/3/2025 08:38:31 am",NA,NA,NA,"Sponsor IDC limits under review - decision pending.  Otherwise, passes pre-award checks.","3/4/2025 10:55:18 am","Approved",NA,"110000","0",110000,NA,"Yes",2025-03-07 22:41:49,NA,"FY2025","250589A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-09,2024-10-09,"Daniel.*Rau","Daniel Rau",2024-08-20," 234500.00",1.7,1.7
"25-0258-P0001","Investigating Ribosomal Dysregulation as a Mechanism Distinguishing Suicide from Depression","Rammohan Shukla","Submitted to Sponsor","ADD NEW",NA,"Zoology & Physiology","10/1/2025","9/30/2027","New",NA,"25-0258","Zoology & Physiology","Non-Profit Organizations",NA,"10/24/2024 12:46:09 pm","152173","11/15/2024","Investigating Ribosomal Dysregulation as a Mechanism Distinguishing Suicide from Depression","Proposal Created","Rammohan Shukla","10/24/2024 12:46:09 pm",NA,NA,NA,NA,"11/12/2024 08:50:15 am","Approved",NA,"140000","12173",151200,NA,"Yes",2024-11-15 16:38:01,NA,"FY2025","250258A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-23,2024-07-05,"Rammohan.*Shukla","Rammohan Shukla",2023-08-22," 407500.00",6.2,10.6
"25-0394-P0001","Investigating Ribosomal Heterogeneity in Stress-Related Mood Disorder","Rammohan Shukla","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Zoology & Physiology","12/1/2025","11/30/2030","New",NA,"25-0394","Zoology & Physiology","U.S. Federal Government",NA,"1/1/2025 09:42:16 am","3149615","2/5/2025","Role of Ribosomal Heterogeneity in Stress-Related Mood Disorder","Proposal Created","Rammohan Shukla","1/1/2025 09:42:16 am",NA,NA,NA,"Passes pre-award checks.","2/3/2025 09:34:42 am","Approved",NA,"2198142","951473",3149615,NA,"Yes",2025-02-04 22:37:30,NA,"FY2025","250394A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-23,2024-07-05,"Rammohan.*Shukla","Rammohan Shukla",2023-08-22," 407500.00",6.2,10.6
"25-0123-P0001","Investigation of the Bioactive Properties of Biopolymers Derived from a Sugar Beet By-Product","Roberta Maia Sabino","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Chemical & Biomedical Engineering","6/1/2025","5/31/2027","Resubmission",NA,"25-0123","Chemical & Biomedical Engineering","U.S. Federal Government",NA,"9/9/2024 05:00:59 pm","299970","10/3/2024","Investigation of the Bioactive Properties of Biopolymers Derived from a Sugar Beet By-Product","Proposal Created","Roberta Maia Sabino","9/9/2024 05:00:58 pm",NA,NA,NA,NA,"10/1/2024 04:06:30 pm","Approved",NA,"222127","77843",299970,NA,"Yes",2024-10-03 21:53:25,NA,"FY2025","250123A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2023-10-05,2023-10-05,"Roberta.*Maia","Roberta Maia",2023-08-22," 256000.00",1.5,1.5
"24-0876-P0001","Joyce TESS GI proposal","Meridith Paige Joyce","Under Consideration","National Aeronautics and Space Administration",NA,"Physics & Astronomy","1/1/2025","12/31/2025","New",NA,"24-0876","School of Computing","U.S. Federal Government",NA,"3/6/2024 08:25:54 am","70000","9/27/2024","A FIVE-FOLD INCREASE IN “HOLY GRAIL” CALIBRATORS FOR STELLAR MODELS: DOUBLY-OSCILLATING BINARIES PRE-SCREENED WITH GAIA","Proposal Created","Thomas Abraham Lentner","3/6/2024 08:25:54 am",NA,NA,NA,"Phase-2 budgetary proposal for TESS GI NASA funding.  Passes Pre-award checks.  Unfunded foreign collaboration with Konkoly observatory in Hungary.  Subaward to STScI for $7,000, subaward documents are being prepared and should be available this week (see attachments).","9/23/2024 12:54:26 pm","Approved",NA,"52124","17876",70000,NA,"Yes",2024-09-25 23:21:50,NA,"FY2025","240876A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,1,2024-09-25,2024-09-25,"Meridith.*Joyce","Meridith Joyce",2024-08-20," 210915.00",1.2,1.2
"24-0510-P0001","LEADing by example: Developing a mentoring program for substance use prevention in Black youths with individuals with lived experiences","Lauren Rose Gilbert","Not Funded","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services",NA,"Kinesiology & Health","7/1/2024","6/30/2029","New",NA,"24-0510","Kinesiology & Health","U.S. Federal Government",NA,"10/24/2023 12:06:36 pm","3499744","11/14/2023","LEADing by example: Developing a dual-phased substance use prevention mentoring program for justice involved Black youths with individuals with lived experiences and workforce development training","Proposal Created","Tashina Lemons","10/24/2023 12:06:36 pm",NA,NA,"Not Funded",NA,"11/13/2023 04:15:44 pm","Approved",NA,"2899304","600440",3500000,NA,"Yes",2023-11-14 21:14:57,NA,"FY2024","240510A0001",NA,NA,NA,"College of Health Sciences",0,0,0,1,0,1,2023-11-14,2023-11-14,"Lauren.*Gilbert","Lauren Gilbert",2023-08-22,"  73331.50",2.8,2.8
"24-0708-P0001","LEAPS-MPS: Microwave Spectroscopy of Engineered Triplet Superconductors","Alexander Paul Petrovic","Funded","National Science Foundation",NA,"Physics & Astronomy","10/1/2024","9/30/2026","New",NA,"24-0708","Physics & Astronomy","U.S. Federal Government",NA,"1/17/2024 03:58:09 pm","249559.4","1/25/2024","LEAPS-MPS: Microwave Spectroscopy of Engineered Triplet Superconductors","Proposal Created","Tashina Lemons","1/17/2024 03:58:09 pm",NA,NA,NA,NA,"1/24/2024 09:35:14 am","Approved",NA,"190222.1","59337.24",249559.4,NA,"Yes",2024-02-28 18:46:14,2024-07-02 08:14:48,"FY2024","240708A0001","ACTIVE",249889,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,0,1,2024-02-28,2024-02-28,"Alexander.*Petrovic","Alexander Petrovic",2023-08-22,"1270000.00",6.3,6.3
"23-1611-P0001","Laboratory capacity for wildlife-focused diagnostics","Bledar Bisha","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Animal Science","5/24/2023","5/23/2026","New",NA,"23-1611","Animal Science","U.S. Federal Government",NA,"6/9/2023 01:35:50 pm","6000000","5/24/2023","Further development and continued support of laboratory capacity for wildlife-focused diagnostics","Proposal Created","Bryce Howard","6/9/2023 01:35:50 pm",NA,NA,NA,NA,"6/21/2023 09:22:07 am","Cancelled",NA,"5454545.45","545454.55",6e+06,NA,"Yes",2023-06-21 15:22:52,2023-06-21 09:24:07,"FY2023","231611A0001","ACTIVE",606,"10TDC","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,0,1,2023-06-21,2023-06-21,"Bledar.*Bisha","Bledar Bisha",2013-08-20,"  67500.00",119.7,119.7
"25-0414-P0001","MIRA","Nicole Lara Bedford","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,"Zoology & Physiology","1/1/2026","12/31/2030","New",NA,"25-0414","Zoology & Physiology","U.S. Federal Government",NA,"1/8/2025 04:48:13 pm","1750479","2/3/2025","Neuroprotection","Proposal Created","Nicole Lara Bedford","1/8/2025 04:48:13 pm",NA,NA,NA,"Passes pre-award checks","2/3/2025 08:14:35 am","Approved",NA,"1250000","500478",1806250,NA,"Yes",2025-02-04 15:52:18,NA,"FY2025","250414A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-12-13,2023-12-13,"Nicole.*Bedford","Nicole Bedford",2021-08-17," 314926.00",28.3,28.3
"24-0956-P0002","MPSG Facilitation and Engagement","Melanie Armstrong","Funded","Forest Service/Department of Agriculture",NA,"Haub School of Environment & Natural Resources","9/6/2024","8/4/2029","New",NA,"24-0956","Haub School of Environment & Natural Resources","U.S. Federal Government",NA,"8/26/2024 02:38:16 pm","191300","9/6/2024","Mountain Planning Service Group (MPSG) Engagement and Facilitation 2024-2029","Proposal Created","Thomas Abraham Lentner","8/26/2024 02:38:15 pm",NA,NA,NA,"Passes Pre-Award Checks.  Includes 20% cost share ($75,159) 17.5% IDC.  Please see notes for potentially un-funded components to scope of work.","8/26/2024 05:07:15 pm","Approved",75158.74,"162808.51","28491.49",266458.74,NA,"Yes",2024-08-29 01:59:32,2024-09-09 11:29:48,"FY2025","240956A0002","ACTIVE",191300,"175MTDC1","Haub School of Environment & Natural Resources",1,0,0,0,0,1,2024-07-22,2024-08-29,"Melanie.*Armstrong","Melanie Armstrong",2023-01-03,"  69000.00",18.9,20.1
"25-0283-P0001","Machine Learning-Guided Discovery of Mitochondrial-Targeted Therapeutics for Progressive Neurodegeneration","Khaled M. Elokely","Submitted to Sponsor","ADD NEW","National Academy of Sciences","School of Pharmacy","5/1/2026","4/30/2028","New",NA,"25-0283","School of Pharmacy","Institutions of Higher Education",NA,"10/31/2024 10:07:56 am","198777","12/3/2024","Machine Learning-Guided Discovery of Mitochondrial-Targeted Therapeutics for Progressive Neurodegeneration","Proposal Created","Khaled M. Elokely","10/31/2024 10:07:56 am",NA,NA,NA,NA,"11/15/2024 10:04:23 am","Approved",NA,"145435","53341",198777,"A Subrecipient","No",2024-12-04 16:57:40,NA,"FY2025","250283A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2024-08-12,2025-02-12,"Khaled.*Elokely","Khaled Elokely",2024-08-20," 180000.00",-0.3,5.9
"24-1093-P0001","Master Research Collaboration Agreement | Teton Raptor Center","Ellen Overton Aikens","Funded","Teton Raptor Center",NA,"School of Computing","6/17/2024","8/31/2027","Other",NA,"24-1093","School of Computing","Non-Profit Organizations",NA,"6/20/2024 10:54:37 am","0","11/1/2024","Master Research Collaboration Agreement | Teton Raptor Center","Proposal Created","Farrell Jean Rapp","6/20/2024 10:54:36 am",NA,NA,NA,NA,NA,"Not Completed",NA,"0","0",0,NA,"Yes",2024-12-05 23:10:36,2024-12-05 16:10:50,"FY2025","241093A0001",NA,0,NA,"College of Engineering & Physical Sciences",1,0,0,0,0,1,2023-12-08,2023-12-08,"Ellen.*Aikens","Ellen Aikens",2023-08-22," 475000.00",3.6,3.6
"23-1584-P0001","Measurement of methane emissions from grazing sheep in western US rangelands","Paulo De Mello Tavares Lima","Not Funded","ADD NEW",NA,"Animal Science","8/1/2023","6/15/2026","New",NA,"23-1584","Animal Science","Industry",NA,"6/7/2023 02:36:49 pm","270379","3/15/2023","Measurement of methane emissions from grazing sheep in western US rangelands","Proposal Created","Bryce Howard","6/7/2023 02:36:48 pm",NA,NA,"Not Funded",NA,NA,"Not Completed",NA,"270379","0",270379,NA,"Yes",2024-02-26 20:58:50,NA,"FY2024","231584A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,1,2023-12-06,2023-12-06,"Paulo.*De","Paulo De",2023-01-11," 175000.00",11,11
"25-0157-P0001","Morphological and Molecular Profiling of the Amygdala-Hippocampal Circuit in Sleep Dependent Memory Consolidation Processes","Rammohan Shukla","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","7/1/2025","6/30/2030","New",NA,"25-0157","Zoology & Physiology","U.S. Federal Government",NA,"9/19/2024 08:36:35 am","312614.85","10/5/2024","Morphological and Molecular Profiling of the Amygdala-Hippocampal Circuit in Sleep Dependent Memory Consolidation Processes","Proposal Created","Rammohan Shukla","9/19/2024 08:36:35 am",NA,NA,NA,NA,"9/19/2024 09:03:50 am","Approved",NA,"216467.04","96147.81",312614.85,"A Subrecipient","No",2024-09-23 15:02:37,NA,"FY2025","250157A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-23,2024-07-05,"Rammohan.*Shukla","Rammohan Shukla",2023-08-22," 407500.00",6.2,10.6
