"Award #","PI","Project Title","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Increment Amount","PI Unit","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Amount","Award Id","Award Notice Received","Award Title","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","History Comment","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","nifa capacity grant","Prime Sponsor Org Type","Prime Sponsor Primary Code","project location","proposal type","Resolution","Routing Comment","Routing Date","Routing Status","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-1397-A0001-1","Kelly Keith Crane","University of Wyoming Smith-Lever RREA FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","UW Extension",47897,"23-1397",47897,NA,"Active","5/14/2023 04:07:57 PM",NA,NA,"UW Extension",1,"New Funding Increment","5/14/2023","Farrell Jean Rapp","Other Sponsored Activity",300000007170503,NA,"5f9e9e33-7fdc-442d-aa3b-650a5221cf2b","11/22/2022",NA,"9/30/2024","10/1/2022","10.515",NA,NA,47897,NA,"NI23RREAFXXXG023",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Other",NA,NA,NA,NA,"NI23RREAFXXXG023",NA,"01-USDANIFA","U.S. Federal Government",NA,"47,897.00"
"23-1397-A0001-2","Kelly Keith Crane","University of Wyoming Smith-Lever RREA FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","UW Extension",47897,"23-1397",47897,NA,"In Closeout","11/27/2024 12:32:43 PM",NA,NA,"UW Extension",2,"Other Modifications","11/27/2024","Kristi Hargis Stockdale","Other Sponsored Activity",300000007170503,NA,"5f9e9e33-7fdc-442d-aa3b-650a5221cf2b","11/22/2022",NA,"9/30/2024","10/1/2022","10.515",NA,NA,47897,NA,"NI23RREAFXXXG023","Award Created","Legacy Loader","4/24/2023 07:38:26 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Other",NA,NA,NA,NA,"NI23RREAFXXXG023",NA,"01-USDANIFA","U.S. Federal Government",NA,"47,897.00"
"23-1317-A0001-0","Bridger Feuz","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2022","8/31/2023","UW Extension",87220,"23-1317",NA,NA,"Active","4/24/2023 07:33:45 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"60df25ce-0662-4257-9dfe-6da036f7ae19",NA,NA,"8/31/2023","9/1/2022","10.500",NA,NA,NA,NA,"20224158037964",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2022-41580-37964",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1317-A0001-1","Bridger Feuz","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2022","8/31/2023","UW Extension",194940,"23-1317",NA,NA,"Active","8/29/2023 12:36:29 PM",NA,NA,"UW Extension",1,"New Funding Increment","8/29/2023","Tashina Lemons","Other Sponsored Activity",300000007170503,NA,"60df25ce-0662-4257-9dfe-6da036f7ae19",NA,NA,"8/31/2024","9/1/2022","10.500",NA,NA,194940,NA,"20224158037964",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2022-41580-37964",NA,"01-USDANIFA","U.S. Federal Government",NA,"194,940.00"
"23-1317-A0001-2","Bridger Feuz","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2022","8/31/2024","UW Extension",194940,"23-1317",NA,NA,"Active","9/7/2023 09:22:31 AM",NA,NA,"UW Extension",2,"Other Modifications","9/7/2023","Tashina Lemons","Other Sponsored Activity",300000007170503,NA,"60df25ce-0662-4257-9dfe-6da036f7ae19",NA,NA,"8/31/2024","9/1/2022","10.500",NA,NA,194940,NA,"20224158037964",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2022-41580-37964",NA,"01-USDANIFA","U.S. Federal Government",NA,"194,940.00"
"23-1317-A0001-3","Bridger Feuz","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2022","8/31/2025","UW Extension",295985,"23-1317",295985,NA,"Active","7/30/2024 03:13:42 PM",NA,NA,"UW Extension",3,"New Funding Increment","7/30/2024","Inna Willis","Other Sponsored Activity",300000007170503,NA,"60df25ce-0662-4257-9dfe-6da036f7ae19",NA,NA,"8/31/2025","9/1/2022","10.500",NA,NA,295985,NA,"20224158037964",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2022-41580-37964",NA,"01-USDANIFA","U.S. Federal Government",NA,"295,985.00"
"23-1317-A0001-4","Matthew Dolan Helie","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2022","8/31/2025","UW Extension",295985,"23-1317",295985,NA,"Active","6/4/2025 01:57:26 PM",NA,NA,"UW Extension",4,"Key Personnel Change","6/4/2025","Thomas Abraham Lentner","Other Sponsored Activity",300000007170503,NA,"60df25ce-0662-4257-9dfe-6da036f7ae19",NA,NA,"8/31/2025","9/1/2022","10.500",NA,NA,295985,NA,"20224158037964","Award Created","Legacy Loader","4/24/2023 07:33:44 PM",NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2022-41580-37964",NA,"01-USDANIFA","U.S. Federal Government",NA,"295,985.00"
"24-1005-A0001-0","Jill Fabricius Keith","Native American student support and mentoring","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"9/1/2024","8/31/2028","Family & Consumer Sciences",31250,"24-1005",250000,NA,"Active","8/15/2024 03:37:43 PM",NA,NA,"Family & Consumer Sciences",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170164,NA,"6a55379f-a4f8-4b58-acbb-2625e4089692","8/14/2024",NA,"8/31/2028","9/1/2024","10.527","Family & Consumer Sciences",300000007170164,23321,"No","20247041143329",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"34% MTDC",7929,NA,NA,NA,"On Campus","New",NA,NA,NA,NA,"2024-70411-43329",NA,"01-USDANIFA","U.S. Federal Government","250,000.00","499,308.00"
"24-1005-A0001-1","Jill Fabricius Keith","Native American student support and mentoring","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"9/1/2024","8/31/2028","Family & Consumer Sciences",31250,"24-1005",250000,NA,"Active","8/23/2024 08:18:45 AM",NA,NA,"Family & Consumer Sciences",1,"Terms & Conditions Change","8/23/2024","Farrell Jean Rapp","Other Sponsored Activity",300000007170164,NA,"6a55379f-a4f8-4b58-acbb-2625e4089692","8/22/2024",NA,"8/31/2028","9/1/2024","10.527","Family & Consumer Sciences",300000007170164,23321,"No","20247041143329",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"34% MTDC",7929,NA,NA,NA,"On Campus","New",NA,NA,NA,NA,"2024-70411-43329",NA,"01-USDANIFA","U.S. Federal Government","250,000.00","499,308.00"
"24-1005-A0001-2","Jill Fabricius Keith","Native American student support and mentoring","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"9/1/2024","8/31/2028","Family & Consumer Sciences",250000,"24-1005",250000,NA,"Active","12/19/2024 09:11:50 AM",NA,NA,"Family & Consumer Sciences",2,"New Funding Increment","12/19/2024","Farrell Jean Rapp","Other Sponsored Activity",300000007170164,NA,"6a55379f-a4f8-4b58-acbb-2625e4089692","12/18/2024",NA,"8/31/2028","9/1/2024","10.527","Family & Consumer Sciences",300000007170164,186567,"No","20247041143329","Award Created","Farrell Jean Rapp","8/15/2024 03:37:42 PM",NA,"No","Other Sponsored Activities",NA,"34% MTDC",63433,NA,NA,NA,"On Campus","New",NA,NA,NA,NA,"2024-70411-43329",NA,"01-USDANIFA","U.S. Federal Government","250,000.00","500,000.00"
"24-0483-A0002-0","Eric P Webster","Animal Health and Disease Research Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",4138,"24-0483",4138,NA,"Active","12/18/2024 02:15:48 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Basic Research",300000007170680,NA,"6f115068-2b9a-402e-ab65-f942a5fe2eb9","12/17/2024",NA,"9/30/2026","10/1/2024","10.207","Agricultural Experiment Station",300000007170680,4138,"No","NI25AHDRXXXXG0206",NA,NA,NA,NA,"No","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25AHDRXXXXG026",NA,"01-USDANIFA","U.S. Federal Government",NA,"18,804.00"
"24-0483-A0002-1","Eric P Webster","Animal Health and Disease Research Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",8502,"24-0483",8502,NA,"Active","4/1/2025 12:11:12 PM",NA,NA,"Agricultural Experiment Station",1,"New Funding Increment","4/1/2025","Evelyn Renee Kelley","Basic Research",300000007170680,NA,"6f115068-2b9a-402e-ab65-f942a5fe2eb9","3/28/2025",NA,"9/30/2026","10/1/2024","10.207","Agricultural Experiment Station",300000007170680,8502,"No","NI25AHDRXXXXG026-0001",NA,NA,NA,NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25AHDRXXXXG026-0001",NA,"01-USDANIFA","U.S. Federal Government",NA,"18,804.00"
"24-0483-A0002-2","Eric P Webster","Animal Health and Disease Research Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",12024,"24-0483",16032,NA,"Active","5/19/2025 09:13:00 AM",NA,NA,"Agricultural Experiment Station",2,"New Funding Increment","5/19/2025","Evelyn Renee Kelley","Basic Research",300000007170680,NA,"6f115068-2b9a-402e-ab65-f942a5fe2eb9","3/28/2025",NA,"9/30/2026","10/1/2024","10.207","Agricultural Experiment Station",300000007170680,12024,"No","NI25AHDRXXXXG026-0002","Award Created","Kristi Hargis Stockdale","12/18/2024 02:15:47 PM",NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25AHDRXXXXG026-0002",NA,"01-USDANIFA","U.S. Federal Government",NA,"16,032.00"
"24-0457-A0002-0","Amanda Sue Marney","Smith Lever 3(b) & 3(c) (SLBC)","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","UW Extension",10502,"24-0457",10502,NA,"Active","12/13/2024 11:41:36 AM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"701739e8-b8b2-45c2-a252-35f43b3b8af0","12/12/2024",NA,"9/30/2026","10/1/2024","10.515","UW Extension",300000007170503,10502,"No","NI25RREAFXXXG067",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","New",NA,NA,NA,NA,"NI25RREAFXXXG067",NA,"01-USDANIFA","U.S. Federal Government","1,800,592.00","3,601,184.00"
"24-0457-A0002-1","Amanda Sue Marney","Smith Lever 3(b) & 3(c) (SLBC)","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","UW Extension",0,"24-0457",0,NA,"Closed","1/16/2025 12:34:17 PM",NA,NA,"UW Extension",1,"De-Obligation","1/16/2025","Farrell Jean Rapp","Other Sponsored Activity",300000007170503,NA,"701739e8-b8b2-45c2-a252-35f43b3b8af0","12/12/2024",NA,"9/30/2026","10/1/2024","10.515","UW Extension",300000007170503,0,"No",NA,"Award Created","Kristi Hargis Stockdale","12/13/2024 11:41:35 AM",NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","New","Admin Closed",NA,NA,NA,NA,NA,"01-USDANIFA","U.S. Federal Government","1,800,592.00","3,601,184.00"
"23-0884-A0001-0","Hilary Joy Flint","Incentivizing working lands conservation through evidence-based program design","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2023","Haub School of Environment & Natural Resources",165000,"23-0884",NA,NA,"Active","4/24/2023 07:09:08 PM",NA,NA,"Haub School of Environment & Natural Resources",0,"Original Award",NA,NA,"Basic Research",300000007170093,NA,"74e035a4-3844-49cd-8ae0-18caf26eb5b8",NA,NA,"8/31/2023","9/1/2021","10.310",NA,NA,NA,NA,"20216703435005",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35005",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0884-A0001-1","Hilary Joy Flint","Incentivizing working lands conservation through evidence-based program design","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2024","Haub School of Environment & Natural Resources",165000,"23-0884",NA,NA,"In Closeout","8/21/2023 11:48:15 AM",NA,NA,"Haub School of Environment & Natural Resources",1,"Grantee Approved No Cost Extension","8/21/2023","John Ruess","Basic Research",300000007170093,NA,"74e035a4-3844-49cd-8ae0-18caf26eb5b8",NA,NA,"8/31/2023","9/1/2021","10.310",NA,NA,165000,NA,"20216703435005",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35005",NA,"01-USDANIFA","U.S. Federal Government",NA,"165,000.00"
"23-0884-A0001-2","Hilary Joy Flint","Incentivizing working lands conservation through evidence-based program design","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2024","Haub School of Environment & Natural Resources",165000,"23-0884",NA,NA,"In Closeout","11/18/2024 10:07:15 AM",NA,NA,"Haub School of Environment & Natural Resources",2,"Other Modifications","11/18/2024","Kristi Hargis Stockdale","Basic Research",300000007170093,NA,"74e035a4-3844-49cd-8ae0-18caf26eb5b8",NA,NA,"8/31/2023","9/1/2021","10.310",NA,NA,165000,NA,"20216703435005","Award Created","Legacy Loader","4/24/2023 07:09:07 PM",NA,"No","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35005",NA,"01-USDANIFA","U.S. Federal Government",NA,"165,000.00"
"23-1019-A0001-0","Kelly Keith Crane","University of Wyoming Smith-Lever Special Needs","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2021","9/30/2026","UW Extension",43951,"23-1019",NA,NA,"Active","4/24/2023 07:16:41 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Experimental Development",300000007170503,NA,"7bc390a2-474e-4588-a96f-bdaf736a4d36","11/19/2021",NA,"9/30/2026","10/1/2021","10.511",NA,NA,NA,NA,"NI22SLSNXXXXG005",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI22SLSNXXXXG005",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1019-A0001-1","Amanda Sue Marney","University of Wyoming Smith-Lever Special Needs","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2021","9/30/2026","UW Extension",43951,"23-1019",NA,NA,"Active","12/19/2024 11:22:27 AM",NA,NA,"UW Extension",1,"Key Personnel Change","12/19/2024","Kristi Hargis Stockdale","Experimental Development",300000007170503,NA,"7bc390a2-474e-4588-a96f-bdaf736a4d36","11/19/2021",NA,"9/30/2026","10/1/2021","10.511",NA,NA,43951,NA,"NI22SLSNXXXXG005","Award Created","Legacy Loader","4/24/2023 07:16:40 PM",NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI22SLSNXXXXG005",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0435-A0001","Kelly Keith Crane","University of Wyoming Extension - EFNEP (2019-2024)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2019","9/30/2024","UW Extension",278135,"23-0435",NA,NA,"Closed","4/24/2023 06:43:31 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"823772c4-1f35-4f1f-b15e-d8a6b625199d","4/8/2020",NA,"9/30/2024","10/1/2019","10.514",NA,NA,NA,NA,"NI20EFNEPXXXG053","Award Created","Legacy Loader","4/24/2023 06:43:31 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Complete",NA,NA,NA,"NI20EFNEPXXXG053",NA,"01-USDANIFA",NA,NA,NA
"24-0484-A0002-0","Eric P Webster","Hatch-Regular Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",298899,"24-0484",1358635,NA,"Active","1/6/2025 09:10:53 AM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Basic Research",300000007170680,NA,"83729c51-5336-44d2-819f-16d265eaba84","12/5/2024",NA,"9/30/2026","10/1/2024","10.203","Agricultural Experiment Station",300000007170680,298899,"No","NI25HFPXXXXXG046",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25HFPXXXXXG046",NA,"01-USDANIFA","U.S. Federal Government","1,358,635.00","2,717,270.00"
"24-0484-A0002-1","Eric P Webster","Hatch-Regular Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",614102,"24-0484",614102,NA,"Active","5/16/2025 09:18:25 AM",NA,NA,"Agricultural Experiment Station",1,"New Funding Increment","5/16/2025","Evelyn Renee Kelley","Basic Research",300000007170680,NA,"83729c51-5336-44d2-819f-16d265eaba84","3/18/2025",NA,"9/30/2026","10/1/2024","10.203","Agricultural Experiment Station",300000007170680,614102,"No","NI25HFPXXXXXG046",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25HFPXXXXXG046-0002",NA,"01-USDANIFA","U.S. Federal Government","614,102.00","2,717,270.00"
"24-0484-A0002-2","Eric P Webster","Hatch-Regular Capacity","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",1015347,"24-0484",1015347,NA,"Active","5/16/2025 10:37:27 AM",NA,NA,"Agricultural Experiment Station",2,"New Funding Increment","5/16/2025","Evelyn Renee Kelley","Basic Research",300000007170680,NA,"83729c51-5336-44d2-819f-16d265eaba84","5/7/2025",NA,"9/30/2026","10/1/2024","10.203","Agricultural Experiment Station",300000007170680,1015347,"No","NI25HFPXXXXXG046","Award Created","Farrell Jean Rapp","1/6/2025 09:10:53 AM",NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Competing Continuation",NA,NA,NA,NA,"NI25HFPXXXXXG046-0002",NA,"01-USDANIFA","U.S. Federal Government","1,353,795.00","2,717,270.00"
"23-0217-A0001","Randa Jabbour","Integration of Early Harvest with Biological Control for Sustainable Alfalfa Production","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2018","8/31/2023","Plant Sciences",324998,"23-0217",NA,NA,"In Closeout","4/24/2023 06:30:06 PM",NA,NA,"Plant Sciences",0,"Original Award",NA,NA,NA,300000007170664,NA,"8a02cbb6-3fea-4814-85e8-891f5d581598","9/12/2018",NA,"8/31/2023","9/1/2018","10.329",NA,NA,NA,NA,"20187000628918","Award Created","Legacy Loader","4/24/2023 06:30:06 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2018-70006-28918",NA,"01-USDANIFA",NA,NA,NA
"23-0228-A0001","Barbara Ann Rasco","FFY19 (2018-2020) Hatch Regular Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2021","College of Agriculture, Life Sciences & Natural Resources Deans Office",1363403,"23-0228",NA,NA,"Closed","4/24/2023 06:30:42 PM",NA,NA,"College of Agriculture, Life Sciences & Natural Resources Deans Office",0,"Original Award",NA,NA,NA,300000006254272,NA,"8c4b9e0d-7c2d-4ba8-ba9d-bee18e10b8d4",NA,NA,"9/30/2021","10/1/2018","10.203",NA,NA,NA,NA,"NI19HFPXXXXXG007","Award Created","Legacy Loader","4/24/2023 06:30:41 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI19HFPXXXXXG007",NA,"01-USDANIFA",NA,NA,NA
"24-0220-A0001",NA,"FFY19 Smith Lever 3(b) & (c) Special Needs (2018-2023)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2019","UW Extension",43951,"24-0220",NA,NA,"Closed","8/18/2023 02:55:15 PM",NA,NA,NA,0,"Original Award",NA,NA,NA,300000007170503,NA,"8d7b4bbc-76b2-48f0-b013-82321234133f",NA,NA,"9/30/2019","10/1/2018","10.511",NA,NA,NA,NA,NA,"Award Created","Legacy Loader","8/18/2023 02:55:14 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Complete",NA,NA,NA,"NI19SLSNXXXXXG013",NA,"01-USDANIFA",NA,NA,NA
"23-1747-A0001-0","Anders T. Van Sandt","Responding to America's Rural Health Challenge: Data Driven Support for a Critical Era","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"8/1/2023","7/31/2027","Agriculture & Applied Economics",649943,"23-1747",649943,NA,"Active","11/14/2023 11:20:11 AM",NA,NA,"Agriculture & Applied Economics",0,"Original Award",NA,NA,"Basic Research",300000007170651,NA,"9047b565-12be-4b18-b3ee-d6c6822e81bb",NA,NA,"7/31/2027","8/1/2023","10.310","Agriculture & Applied Economics",300000007170651,498858,NA,"20236900640299",NA,NA,NA,NA,"No","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,151085,NA,NA,NA,"[Off Campus]","New",NA,NA,NA,NA,"2023-69006-40299",NA,"01-USDANIFA","U.S. Federal Government",NA,"649,943.00"
"23-1747-A0001-1","Anders T. Van Sandt","Responding to America's Rural Health Challenge: Data Driven Support for a Critical Era","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"8/1/2023","7/31/2027","Agriculture & Applied Economics",649943,"23-1747",649943,NA,"Active","12/14/2023 10:46:15 AM",NA,NA,"Agriculture & Applied Economics",1,"Administrative Change","12/14/2023","Kristi Stockdale","Basic Research",300000007170651,NA,"9047b565-12be-4b18-b3ee-d6c6822e81bb",NA,NA,"7/31/2027","8/1/2023","10.310","Agriculture & Applied Economics",300000007170651,498858,NA,"20236900640299",NA,NA,NA,NA,"No","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,151085,NA,NA,"01-USDANIFA","[Off Campus]","New",NA,NA,NA,NA,"2023-69006-40299",NA,"01-USDANIFA","U.S. Federal Government",NA,"649,943.00"
"23-1747-A0001-2","Anders T. Van Sandt","Responding to America's Rural Health Challenge: Data Driven Support for a Critical Era","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"8/1/2023","7/31/2027","Agriculture & Applied Economics",649943,"23-1747",649943,NA,"Active","2/28/2024 03:21:40 PM",NA,NA,"Agriculture & Applied Economics",2,"Administrative Change","2/28/2024","Courtney Peatross","Basic Research",300000007170651,NA,"9047b565-12be-4b18-b3ee-d6c6822e81bb",NA,NA,"7/31/2027","8/1/2023","10.310","Agriculture & Applied Economics",300000007170651,498858,NA,"20236900640299","Award Created","Tashina Lemons","11/14/2023 11:20:11 AM",NA,"No","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,151085,NA,NA,"01-USDANIFA","[Off Campus]","New",NA,NA,NA,NA,"2023-69006-40299",NA,"01-USDANIFA","U.S. Federal Government",NA,"649,943.00"
