"Award #","PI","PI Unit","Admin Unit","Project Title","Sponsor","Prime Sponsor","Award Start Date","Award End Date","Obligated Amount","Project #","Total Expected Amount","Status","Created Date","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Id","Award Notice Received","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","Prime Sponsor Primary Code","project location","proposal type","Resolution","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-1358-A0001","Erica L. Belmont","Mechanical Engineering","Mechanical Engineering","Monolithic wood-derived cathodes for lithium-sulfur batteries","Evoseer, LLC","National Institute of Food and Agriculture/Department of Agriculture","7/1/2022","2/28/2024",57880,"23-1358",,"In Closeout","4/24/2023 07:36:15 PM",0,"Original Award",,,"Applied Research",300000007166550,"2e81bf83-ca62-4e00-8426-f7eda75b927a",,"2/28/2024","7/1/2022","10.212",,,,,,"Award Created","Legacy Loader","4/24/2023 07:36:15 PM",,"Research",,,,"01-USDANIFA","Off Campus",,,"2022-33530-37233 Subaward",,"05-EVO","Industry",,
"23-1396-A0001-0","Melinda Denise Meuli","UW Extension","UW Extension","University of Wyoming Extension Expanded Food and Nutrition Program (EFNEP) FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2027",58408,"23-1396",,"Active","4/24/2023 07:38:24 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"9ce1f32f-ee7e-41e4-8a1d-2b11f9f21edc",,"9/30/2027","10/1/2022","10.514",,,,,"NI23EFNEPXXXG029",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23EFNEPXXXG029",,"01-USDANIFA","U.S. Federal Government",,
"23-1396-A0001-1","Melinda Denise Meuli","UW Extension","UW Extension","University of Wyoming Extension Expanded Food and Nutrition Program (EFNEP) FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2027",278891,"23-1396",278891,"Active","5/12/2023 09:17:06 AM",1,"New Funding Increment","5/12/2023","Farrell Jean Rapp","Other Sponsored Activity",300000007170503,"9ce1f32f-ee7e-41e4-8a1d-2b11f9f21edc","11/18/2022","9/30/2027","10/1/2022","10.514","UW Extension",300000007170503,,,"NI23EFNEPXXXG029",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus","Other",,"NI23EFNEPXXXG029",,"01-USDANIFA","U.S. Federal Government",,"278,891.00"
"23-1397-A0001-0","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever RREA FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",10058,"23-1397",,"Active","4/24/2023 07:38:27 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"5f9e9e33-7fdc-442d-aa3b-650a5221cf2b","11/22/2022","9/30/2024","10/1/2022","10.515",,,,,"NI23RREAFXXXG023",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23RREAFXXXG023",,"01-USDANIFA","U.S. Federal Government",,
"23-1397-A0001-1","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever RREA FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",47897,"23-1397",47897,"Active","5/14/2023 04:07:57 PM",1,"New Funding Increment","5/14/2023","Farrell Jean Rapp","Other Sponsored Activity",300000007170503,"5f9e9e33-7fdc-442d-aa3b-650a5221cf2b","11/22/2022","9/30/2024","10/1/2022","10.515",,,47897,,"NI23RREAFXXXG023",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","Other",,"NI23RREAFXXXG023",,"01-USDANIFA","U.S. Federal Government",,"47,897.00"
"23-1398-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2027",371899,"23-1398",,"Active","4/24/2023 07:38:30 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"eab15de9-3fea-489e-a8d3-e73bb010285f","11/23/2022","9/30/2027","10/1/2022","10.511",,,,,"NI23SLBCXXXXG043",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23SLBCXXXXG043",,"01-USDANIFA","U.S. Federal Government",,
"23-1398-A0001-1","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2027",1800592,"23-1398",1800592,"Active","5/11/2023 08:52:52 AM",1,"New Funding Increment","5/11/2023","John Ruess","Other Sponsored Activity",300000007170503,"eab15de9-3fea-489e-a8d3-e73bb010285f","11/23/2022","9/30/2027","10/1/2022","10.511",,,1800592,,"NI23SLBCXXXXG043",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23SLBCXXXXG043",,"01-USDANIFA","U.S. Federal Government","1,800,592.00","3,601,184.00"
"23-1399-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever Special Needs FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2027",9196,"23-1399",,"Active","4/24/2023 07:38:33 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"d9d69616-3085-407d-90fc-a8d86b649794","11/23/2022","9/30/2027","10/1/2022","10.511",,,,,"NI23SLSNXXXXG015",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23SLSNXXXXG015",,"01-USDANIFA","U.S. Federal Government",,
"23-1399-A0001-1","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever Special Needs FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/30/2022","9/29/2027",43951,"23-1399",43951,"Active","6/28/2023 07:34:26 AM",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170503,"d9d69616-3085-407d-90fc-a8d86b649794","11/23/2022","9/30/2027","10/1/2022","10.511",,,43951,,"NI23SLSNXXXXG015",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23SLSNXXXXG015",,"01-USDANIFA","U.S. Federal Government","43,951.00","87,902.00"
"23-1400-A0001-0","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",284313,"23-1400",,"Active","4/24/2023 07:38:36 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170680,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022","9/30/2024","10/1/2022","10.203",,,,,"NI23HFPXXXXXG039",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23HFPXXXXXG039",,"01-USDANIFA","U.S. Federal Government",,
"23-1400-A0001-1","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/30/2022","9/29/2024",1363034,"23-1400",1363034,"Active","6/28/2023 12:02:13 PM",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022","9/30/2024","10/1/2022","10.203",,,1363034,,"NI23HFPXXXXXG039",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23HFPXXXXXG039",,"01-USDANIFA","U.S. Federal Government","1,363,034.00","2,726,068.00"
"23-1400-A0001-4","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",1367659.51,"23-1400",1367659.51,"In Closeout","8/13/2023 11:57:29 AM",4,"New Funding Increment","8/13/2023","Farrell Jean Rapp","Other Sponsored Activity",300000007170680,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","11/22/2022","9/30/2024","10/1/2022","10.203",,,1367659.51,,"NI23HFPXXXXXG039",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23HFPXXXXXG039",,"01-USDANIFA","U.S. Federal Government","1,367,659.51","2,735,319.02"
"23-1402-A0001-0","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Multistate Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",161278,"23-1402",,"Active","4/24/2023 07:38:43 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170680,"f167d897-a825-484b-a9eb-acb9548c37b1","11/23/2022","9/30/2024","10/1/2022","10.203",,,,,"NI23HMFPXXXXG044",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23HMFPXXXXG044",,"01-USDANIFA","U.S. Federal Government",,
"23-1402-A0001-1","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Multistate Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/30/2022","9/29/2024",771511,"23-1402",771511,"Active","6/28/2023 11:25:42 AM",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,"f167d897-a825-484b-a9eb-acb9548c37b1","11/23/2022","9/30/2024","10/1/2022","10.203","Agricultural Experiment Station",300000007170680,771511,,"NI23HMFPXXXXG044",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23HMFPXXXXG044",,"01-USDANIFA","U.S. Federal Government","847,141.00","1,618,652.00"
"23-1402-A0001-4","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Multistate Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",847141,"23-1402",847141,"Active","7/31/2023 06:45:07 PM",4,"New Funding Increment","7/31/2023","Kristi Stockdale","Basic Research",300000007170680,"f167d897-a825-484b-a9eb-acb9548c37b1","11/23/2022","9/30/2024","10/1/2022","10.203","Agricultural Experiment Station",300000007170680,847141,,"NI23HMFPXXXXG044",,,,"Yes","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23HMFPXXXXG044",,"01-USDANIFA","U.S. Federal Government","847,141.00","1,694,282.00"
"23-1403-A0001-0","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","McIntire-Stennis Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",51316,"23-1403",,"Active","4/24/2023 07:38:46 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170680,"d169fb70-d278-447b-be24-1ddf2692c1d9","11/23/2022","9/30/2024","10/1/2022","10.202",,,,,"NI23MSCFRXXXG066",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23MSCFRXXXG066",,"01-USDANIFA","U.S. Federal Government",,
"23-1403-A0001-1","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","McIntire-Stennis Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/30/2022","9/29/2024",256424,"23-1403",256424,"Active","6/28/2023 06:44:07 AM",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Other Sponsored Activity",300000007170680,"d169fb70-d278-447b-be24-1ddf2692c1d9","11/23/2022","9/30/2024","10/1/2022","10.202","Agricultural Experiment Station",300000007170680,256424,,"NI23MSCFRXXXG066",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23MSCFRXXXG066",,"01-USDANIFA","U.S. Federal Government","256,424.00","512,848.00"
"23-1424-A0001-0","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2022","9/30/2024",4432,"23-1424",,"Active","4/24/2023 07:40:01 PM",0,"Original Award",,,"Basic Research",300000007170680,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",,"9/30/2024","10/1/2022","10.207",,,,,"NI23AHDRXXXXG063",,,,,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI23AHDRXXXXG063",,"01-USDANIFA","U.S. Federal Government",,
"23-1424-A0001-1","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/30/2022","9/29/2024",20385,"23-1424",20385,"Active","6/28/2023 09:24:59 AM",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Basic Research",300000007170680,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",,"9/30/2024","10/1/2022","10.207","Agricultural Experiment Station",300000007170680,20385,,"NI23AHDRXXXXG063",,,,"Yes","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus","New",,"NI23AHDRXXXXG063",,"01-USDANIFA","U.S. Federal Government",,"20,385.00"
"23-1432-A0001","Urszula Norton","Plant Sciences","Plant Sciences","Nitrogen Mineralization in High-Elevation Hay Meadow Soils for Improved Fertility Management","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2023","12/31/2024",29921,"23-1432",,"In Closeout","4/24/2023 07:40:29 PM",0,"Original Award",,,"Applied Research",300000007170664,"ef64f4ec-04ce-45af-ab8e-d9064d882619","11/18/2022","12/31/2024","1/1/2023","10.215",,,,,"20213864034695","Award Created","Legacy Loader","4/24/2023 07:40:28 PM",,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"G209-23-W9212",,"06-MTSU","Institutions of Higher Education",,
"23-1435-A0001-0","Bridger Feuz","UW Extension","UW Extension","SARE State Implementation Grant 2020","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2022","12/31/2023",45886,"23-1435",,"Active","4/24/2023 07:40:38 PM",0,"Original Award",,,"Experimental Development",300000007170503,"517b4859-451e-433c-8dbe-a42dd3f786b8","11/16/2022","12/31/2023","1/1/2022","10.215",,,,,"20193864029880",,,,,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"G200-23-W7905",,"06-MTSU","Institutions of Higher Education",,
"23-1435-A0002","Bridger Feuz","UW Extension","UW Extension","SARE State Implementation Grant 2020","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2023","12/31/2025",90000,"23-1435",90000,"Active","1/10/2024 11:47:40 AM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"62e111f7-6bb9-4f51-8d1a-37f081ebf061",,"12/31/2025","1/1/2023","10.215","UW Extension",300000007170503,81818,,"20223864037490","Award Created","Tashina Lemons","1/10/2024 11:47:40 AM","No","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",8182,"01-USDANIFA","On Campus","Renewal",,"G194-24-W9987",,"06-MTSU","Institutions of Higher Education",,"90,000.00"
"23-1458-A0001-0","Jean L. Williams-Woodward","Plant Sciences","Plant Sciences","Great Plains Diagnostic Network (GPDN) WY Component","Kansas State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2023",15000,"23-1458",,"Active","4/24/2023 07:41:57 PM",0,"Original Award",,,"Basic Research",300000007170664,"0d619262-0ceb-4119-b860-49eb5159118d","10/18/2022","8/31/2023","9/1/2022","10.304",,,,,"20223762138262",,,,,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"A23-0126-S007",,"06-KSUNI","Institutions of Higher Education",,
"23-1458-A0001-1","Jean L. Williams-Woodward","Plant Sciences","Plant Sciences","Great Plains Diagnostic Network (GPDN) WY Component","Kansas State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2024",30000,"23-1458",30000,"Active","10/11/2023 01:11:32 PM",1,"New Funding Increment","10/11/2023","Kristi Stockdale","Basic Research",300000007170664,"0d619262-0ceb-4119-b860-49eb5159118d","10/18/2022","8/31/2024","9/1/2022","10.304","Plant Sciences",300000007170664,27272,,"20223762138262",,,,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",2728,"01-USDANIFA","[On Campus]","New",,"A23-0126-S007",,"06-KSUNI","Institutions of Higher Education",,"30,000.00"
"23-1458-A0001-2","Jean L. Williams-Woodward","Plant Sciences","Plant Sciences","Great Plains Diagnostic Network (GPDN) WY Component","Kansas State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2025",45000,"23-1458",45000,"Active","8/19/2024 02:35:55 PM",2,"New Funding Increment","8/19/2024","Inna Willis","Basic Research",300000007170664,"0d619262-0ceb-4119-b860-49eb5159118d","10/18/2022","8/31/2025","9/1/2022","10.304","Plant Sciences",300000007170664,40908,,"20223762138262",,,,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",4092,"01-USDANIFA","On Campus","New",,"A23-0126-S007",,"06-KSUNI","Institutions of Higher Education",,"45,000.00"
"23-1653-A0001","Jenna Meeks","UW Extension","UW Extension","Western SARE Regional Host Institution","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2023","12/31/2024",50000,"23-1653",50000,"Closed","6/16/2023 03:43:34 PM",0,"Original Award",,,"Basic Research",300000007170503,"e34ecb7b-fed4-4819-8865-cc1f540f40da",,"12/31/2024","1/1/2023","10.215","UW Extension",300000007170503,45000,,,"Award Created","Shauna Bury","6/16/2023 03:43:34 PM","Yes","Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",5000,"01-USDANIFA","[On Campus, Off Campus]","New","Admin Closed","PREAWARD",,"06-MTSU","Institutions of Higher Education",,"348,128.00"
"23-1668-A0001-0","Vardges Hovhannisyan","Agriculture & Applied Economics","Agriculture & Applied Economics","Implications of Table Sugar and Natural & Artificial Sweetener Consumption for Bodyweight, Welfare, and Public Policy","National Institute of Food and Agriculture/Department of Agriculture",,"6/1/2023","6/30/2026",513595,"23-1668",513595,"Active","6/16/2023 01:24:01 PM",0,"Original Award",,,"Basic Research",300000007170651,"e02f3213-af11-4b26-a0d3-cf2462318875","5/31/2023","6/30/2026","6/1/2023","10.310","Agriculture & Applied Economics",300000007170651,428517,,"20236702440062",,,,"No","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",85078,,"[On Campus]","New",,"2023-67024-40062",,"01-USDANIFA","U.S. Federal Government",,"513,595.00"
"23-1711-A0001","Christopher Jeremy Block","Animal Science","Animal Science","Mechanisms of preimplantation developmental programming by choline","University of Florida","National Institute of Food and Agriculture/Department of Agriculture","9/1/2023","8/31/2026",69816,"23-1711",69816,"Active","12/14/2023 04:06:37 PM",0,"Original Award",,,"Basic Research",300000007169996,"7b16a40f-2b61-4571-8562-ae1679f630ec",,"8/31/2026","9/1/2023","10.310","Animal Science",300000007169996,48871,,"2023-67015-40730","Award Created","Tashina Lemons","12/14/2023 04:06:37 PM","No","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",20945,"01-USDANIFA","On Campus","Resubmission",,"SUB00003882",,"06-UFLOR","Institutions of Higher Education",,"69,816.00"
"23-1747-A0001-0","Anders T. Van Sandt","Agriculture & Applied Economics","Agriculture & Applied Economics","Responding to America's Rural Health Challenge: Data Driven Support for a Critical Era","National Institute of Food and Agriculture/Department of Agriculture",,"8/1/2023","7/31/2027",649943,"23-1747",649943,"Active","11/14/2023 11:20:11 AM",0,"Original Award",,,"Basic Research",300000007170651,"9047b565-12be-4b18-b3ee-d6c6822e81bb",,"7/31/2027","8/1/2023","10.310","Agriculture & Applied Economics",300000007170651,498858,,"20236900640299",,,,"No","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,151085,,"[Off Campus]","New",,"2023-69006-40299",,"01-USDANIFA","U.S. Federal Government",,"649,943.00"
"23-1784-A0001-0","Patrick A. Johnson","Chemical & Biomedical Engineering","Chemical & Biomedical Engineering","Value-added graphene materials from woody resources","Acadian Research and Development LLC","National Institute of Food and Agriculture/Department of Agriculture","7/1/2023","6/30/2024",52500,"23-1784",52500,"Active","8/7/2023 04:20:56 PM",0,"Original Award",,,"Basic Research",300000007170537,"77b92877-96d6-4f7f-ae32-0c653ca61d00","8/10/2023","6/30/2024","7/1/2023","10.212","Chemical & Biomedical Engineering",300000007170537,36332,,"20235140239207",,,,"No","Research",,"44.5% MTDC",16168,"01-USDANIFA","[On Campus]","New",,"NONE","Industry","05-ARD","Industry",,"52,500.00"
"23-1794-A0001","Cody Lynn Gifford","Animal Science","Animal Science","Lamb feeding strategies and meat quality assessment in a novel sheep breed","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","6/1/2023","5/31/2026",75000,"23-1794",75000,"Active","8/30/2023 05:08:25 PM",0,"Original Award",,,"Basic Research",300000007169996,"2ff4ca3c-10b9-4ad6-a23d-390e6c404589","8/31/2023","5/31/2026","6/1/2023","10.215","Animal Science",300000007169996,68182,,"20223864037490","Award Created","Farrell Jean Rapp","8/30/2023 05:08:25 PM","No","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",6818,"01-USDANIFA","[On Campus]","New",,"G349-23-W9983",,"06-MTSU","Institutions of Higher Education",,"75,000.00"
"24-0085-A0001","Dana Kristen Dittoe","Animal Science","Animal Science","Dittoe USDA SEED","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","7/1/2024","6/30/2026",300000,"24-0085",300000,"Active","7/3/2024 02:16:20 PM",0,"Original Award",,,"Applied Research",300000007169996,"44c3c486-6a4c-4db2-aef3-d2a342790f34","5/23/2024","6/30/2026","7/1/2024","10.310","Animal Science",300000007169996,243552,,"20246701642386","Award Created","Kristi Hargis Stockdale","7/3/2024 02:16:20 PM","No","Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",56448,"01-USDANIFA","On Campus","New",,"2024-67016-42386",,"01-USDANIFA","U.S. Federal Government",,"299,980.00"
"24-0124-A0001-0","Hannah Crocker Cunningham","Animal Science","Animal Science","Novel methods for characterization of beef steer temperament and association with feed efficiency, metabolic profile, stress, health, and methane flux","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","8/1/2024","7/31/2026",300000,"24-0124",300000,"Active","6/18/2024 07:22:39 AM",0,"Original Award",,,"Basic Research",300000007169996,"d410b1bc-be7c-4b29-bd67-3c709e5c48fa","5/10/2024","7/31/2026","8/1/2024","10.310","Animal Science",300000007169996,240555,,"20246701642387",,,,"No","Research",,"44.5% MTDC",59445,"01-USDANIFA","On Campus","New",,"2024-67016-42387",,"01-USDANIFA","U.S. Federal Government",,"300,000.00"
"24-0162-A0001-0","Kristiana Marie Hansen","Agriculture & Applied Economics","Agriculture & Applied Economics","Extension Weather/Climate Variability","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","4/1/2024","3/31/2028",129626.25,"24-0162",1000000,"Active","1/29/2024 04:35:11 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170651,"d71e517a-b5c9-40ab-981f-ad0ca59dda17","1/25/2024","3/31/2028","4/1/2024","10.310","UW Extension",300000007170503,96736,,"20246701941660",,,,"Yes","Other Sponsored Activities",,"34% MTDC",32890.25,"01-USDANIFA","On Campus","Resubmission",,"2024-67019-41660",,"01-USDANIFA","U.S. Federal Government",,"1,000,000.00"
"24-0173-A0002","Melinda Denise Meuli","UW Extension","UW Extension","Supplemental Nutrition Assistance Program Education","Wyoming Department of Family Services","National Institute of Food and Agriculture/Department of Agriculture","10/1/2024","9/30/2025",2230282,"24-0173",2291194,"Active","9/24/2024 09:56:56 AM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"8105ebb1-a089-4386-a322-936d99328bfd","9/30/2024","9/30/2025","10/1/2024","10.551","UW Extension",300000007170503,1864318,"No",,"Award Created","Thomas Abraham Lentner","9/24/2024 09:56:55 AM","No","Other Sponsored Activities","20% MTDC",,365964,"01-USDANIFA","Off Campus","New",,,,"02-WYFMSV","Wyoming State Governmental Entities",,"2,230,282.00"
"24-0297-A0001","John P. Hewlett","Agriculture & Applied Economics","Agriculture & Applied Economics","Building Negotiation Knowledge and Skills for Enhanced Economic and Environmental Sustainability of Western Farm Businesses","University of Idaho","National Institute of Food and Agriculture/Department of Agriculture","7/1/2022","6/30/2025",13824,"24-0297",,"Active","8/18/2023 03:01:57 PM",0,"Original Award",,,"Experimental Development",300000007170651,"a9101509-3e47-463d-8e5f-a276744bd131","11/30/2022","6/30/2025","7/1/2022","10.215",,,,,"20213864034695","Award Created","Legacy Loader","8/18/2023 03:01:56 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"AD6564-884702",,"06-UID","Institutions of Higher Education",,
